Unnamed: 0,IND,CIN
First Downs,19,17
Rush-Yds-TDs,28-115-0,21-58-0
Cmp-Att-Yd-TD-INT,25-39-233-2-1,17-29-243-2-0
Sacked-Yards,4-17,3-25
Net Pass Yards,216,218
Total Yards,331,276
Fumbles-Lost,0-0,4-2
Turnovers,1,2
Penalties-Yards,7-45,5-54
Third Down Conv.,8-16,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,33:13,26:47
