Quarter,Time,Tm,Detail,BAL,CIN
1.0,8:08,Ravens,Justin Tucker 34 yard field goal,3,0
,3:48,Ravens,Miles Boykin 43 yard pass from Lamar Jackson (Justin Tucker kick),10,0
2.0,4:26,Ravens,Marquise Brown 18 yard pass from Lamar Jackson (Justin Tucker kick),17,0
,0:32,Bengals,Austin Seibert 38 yard field goal,17,3
3.0,9:55,Ravens,J.K. Dobbins 4 yard rush (Justin Tucker kick),24,3
,3:44,Ravens,Marquise Brown 9 yard pass from Lamar Jackson (Justin Tucker kick),31,3
,1:45,Ravens,J.K. Dobbins 72 yard rush (Justin Tucker kick),38,3
