Unnamed: 0,BAL,CIN
First Downs,24,10
Rush-Yds-TDs,54-404-2,19-147-0
Cmp-Att-Yd-TD-INT,11-19-121-3-1,6-21-48-0-2
Sacked-Yards,0-0,0-0
Net Pass Yards,121,48
Total Yards,525,195
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,6-49,3-29
Third Down Conv.,11-17,1-9
Fourth Down Conv.,1-2,0-0
Time of Possession,40:31,19:29
