Quarter,Time,Tm,Detail,LAR,GNB
1.0,8:39,Packers,Mason Crosby 24 yard field goal,0,3
,4:36,Rams,Matt Gay 37 yard field goal,3,3
2.0,11:37,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),3,10
,3:29,Packers,Aaron Rodgers 1 yard rush (pass failed),3,16
,0:29,Rams,Van Jefferson 4 yard pass from Jared Goff (Matt Gay kick),10,16
,0:00,Packers,Mason Crosby 39 yard field goal,10,19
3.0,12:10,Packers,Aaron Jones 1 yard rush (pass failed),10,25
,1:41,Rams,Cam Akers 7 yard rush (Cam Akers pass from Jared Goff),18,25
4.0,6:52,Packers,Allen Lazard 58 yard pass from Aaron Rodgers (Mason Crosby kick),18,32
