Unnamed: 0,LAR,GNB
First Downs,17,28
Rush-Yds-TDs,19-96-1,36-188-2
Cmp-Att-Yd-TD-INT,21-27-174-1-0,23-36-296-2-0
Sacked-Yards,4-26,0-0
Net Pass Yards,148,296
Total Yards,244,484
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,3-35,3-22
Third Down Conv.,2-8,8-12
Fourth Down Conv.,0-1,0-0
Time of Possession,23:48,36:12
