Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
1,8:03,2,2,LAR 27,0,3,Jared Goff pass complete short left to Robert Woods for 3 yards (tackle by Kevin King and Krys Barnes),0.750,0.940
1,7:31,1,10,LAR 30,0,3,Jared Goff pass complete deep middle to Josh Reynolds for 28 yards (tackle by Darnell Savage),0.940,2.790
1,7:05,1,10,GNB 42,0,3,Jared Goff pass complete deep middle to Robert Woods for 19 yards (tackle by Krys Barnes),2.790,4.040
1,6:44,1,10,GNB 23,0,3,Cam Akers right end for 2 yards (tackle by Krys Barnes),4.040,3.770
1,6:05,2,8,GNB 21,0,3,Cam Akers left tackle for 6 yards (tackle by Preston Smith),3.770,4.050
1,5:27,3,2,GNB 15,0,3,Cam Akers left tackle for 1 yard (tackle by Preston Smith),4.050,2.660
1,4:40,,,,,,Timeout #1 by Los Angeles Rams,,
1,4:40,4,1,GNB 14,0,3,"Penalty on Austin Corbett: False Start, 5 yards (no play)",2.660,2.210
1,4:40,4,6,GNB 19,3,3,Matt Gay 37 yard field goal good,2.210,3.000
1,4:36,,,LAR 35,3,3,"Matt Gay kicks off 66 yards, returned by Malik Taylor for 17 yards (tackle by Johnny Mundt)",0.000,-0.140
1,4:29,1,10,GNB 16,3,3,Jamaal Williams right guard for 3 yards (tackle by Sebastian Joseph),-0.140,-0.180
1,3:50,2,7,GNB 19,3,3,Jamaal Williams right tackle for 6 yards (tackle by Troy Reeder),-0.180,-0.200
1,3:10,3,1,GNB 25,3,3,Jamaal Williams up the middle for 8 yards (tackle by Justin Hollins and Troy Reeder),-0.200,1.140
1,2:32,1,10,GNB 33,3,3,Aaron Rodgers pass complete short right to Robert Tonyan for 9 yards (tackle by John Johnson),1.140,1.810
1,2:01,2,1,GNB 42,3,3,AJ Dillon left tackle for 5 yards (tackle by Troy Reeder and Nick Scott),1.810,2.060
1,1:20,1,10,GNB 47,3,3,Aaron Rodgers pass complete short left to Robert Tonyan for 6 yards (tackle by Kenny Young),2.060,2.330
1,0:38,2,4,LAR 47,3,3,Aaron Jones right tackle for 8 yards (tackle by Justin Hollins and Michael Brockers),2.330,2.980
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 39,3,3,Aaron Jones right tackle for 3 yards (tackle by John Johnson),2.980,2.850
2,14:36,2,7,LAR 36,3,3,"Aaron Rodgers pass incomplete short left intended for Davante Adams. Penalty on Aaron Donald: Unnecessary Roughness, 15 yards",2.850,4.170
2,14:33,1,10,LAR 21,3,3,Aaron Jones up the middle for 4 yards (tackle by Greg Gaines),4.170,4.200
2,13:50,2,6,LAR 17,3,3,Aaron Rodgers pass complete short right to Allen Lazard for 8 yards (tackle by Troy Reeder and Nick Scott),4.200,5.140
2,13:06,1,9,LAR 9,3,3,Aaron Jones right guard for 3 yards (tackle by Michael Brockers),5.140,4.950
2,12:23,2,6,LAR 6,3,3,Jamaal Williams left guard for 5 yards (tackle by Jordan Fuller and Troy Reeder),4.950,5.170
2,11:40,3,1,LAR 1,3,9,"Aaron Rodgers pass complete short right to Davante Adams for 1 yard, touchdown",5.170,7.000
2,11:37,,,LAR 15,3,10,Mason Crosby kicks extra point good,0.000,0.000
2,11:37,,,GNB 35,3,10,"Mason Crosby kicks off 64 yards, returned by Nsimba Webster for 21 yards (tackle by Oren Burks)",0.000,0.410
2,11:33,1,10,LAR 22,3,10,Cam Akers right end for 3 yards (tackle by Christian Kirksey),0.410,0.270
2,10:49,2,7,LAR 25,3,10,Jared Goff sacked by Za'Darius Smith for -7 yards,0.270,-1.490
2,10:04,3,14,LAR 18,3,10,Jared Goff pass complete short middle to Malcolm Brown for 4 yards (tackle by Christian Kirksey),-1.490,-1.900
2,9:25,4,10,LAR 22,3,10,"Johnny Hekker punts 48 yards, returned by Tavon Austin for 8 yards (tackle by Nsimba Webster). Penalty on Nsimba Webster: Unsportsmanlike Conduct, 15 yards",-1.900,-2.460
2,9:15,1,10,LAR 47,3,10,Aaron Rodgers pass complete short left to Davante Adams for 1 yard (tackle by Justin Hollins),2.460,2.050
2,8:50,2,9,LAR 46,3,10,Aaron Rodgers pass complete short right to Aaron Jones for 14 yards (tackle by Troy Reeder and Jordan Fuller),2.050,3.450
2,8:02,1,10,LAR 32,3,10,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 11 yards (tackle by Troy Reeder),3.450,4.170
2,7:21,1,10,LAR 21,3,10,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 6 yards (tackle by Kenny Young and Jalen Ramsey),4.170,4.550
2,6:44,2,4,LAR 15,3,10,"Aaron Jones left end for 11 yards (tackle by Troy Reeder). Penalty on Robert Tonyan: Offensive Holding, 10 yards (no play)",4.550,3.090
2,6:16,2,14,LAR 25,3,10,Aaron Rodgers pass complete short right to Davante Adams for 12 yards (tackle by Nick Scott),3.090,4.240
2,5:33,3,2,LAR 13,3,10,Jamaal Williams right tackle for 5 yards (tackle by Morgan Fox),4.240,5.370
2,5:00,,,,,,Timeout #2 by Los Angeles Rams,,
2,5:00,1,8,LAR 8,3,10,Jamaal Williams up the middle for 4 yards (tackle by Leonard Floyd and Michael Brockers),5.370,5.340
2,4:22,2,4,LAR 4,3,10,Jamaal Williams up the middle for 3 yards (tackle by Troy Reeder and Aaron Donald),5.340,5.170
2,3:36,,,,,,Timeout #1 by Green Bay Packers,,
2,3:36,3,1,LAR 1,3,16,"Aaron Rodgers right end for 1 yard, touchdown",5.170,7.000
2,3:29,,,LAR 15,3,16,"Two Point Attempt: JK Scott pass complete to Mason Crosby, conversion fails",1.000,-1.000
2,3:29,,,GNB 35,3,16,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,3:29,1,10,LAR 25,3,16,Cam Akers right tackle for 6 yards (tackle by Dean Lowry),0.610,0.870
2,2:50,2,4,LAR 31,3,16,Cam Akers up the middle for 10 yards (tackle by Chandon Sullivan),0.870,1.660
2,2:09,1,10,LAR 41,3,16,Cam Akers left end for 4 yards (tackle by Kevin King and Adrian Amos),1.660,1.660
2,2:00,2,6,LAR 45,3,16,Cam Akers right tackle for 13 yards (tackle by Krys Barnes),1.660,2.790
2,1:41,1,10,GNB 42,3,16,Jared Goff pass complete short middle to Josh Reynolds for 21 yards (tackle by Darnell Savage and Krys Barnes),2.790,4.170
2,1:21,1,10,GNB 21,3,16,Cam Akers left tackle for 6 yards (tackle by Krys Barnes and Chandon Sullivan),4.170,4.550
2,0:54,2,4,GNB 15,3,16,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Adrian Amos),4.550,4.910
2,0:50,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:50,1,10,GNB 10,3,16,Jared Goff pass complete short left to Cam Akers for 6 yards (tackle by Kevin King),4.910,5.340
2,0:33,2,4,GNB 4,9,16,"Jared Goff pass complete short left to Van Jefferson for 4 yards, touchdown",5.340,7.000
2,0:29,,,GNB 15,10,16,Matt Gay kicks extra point good,0.000,0.000
2,0:29,,,LAR 35,10,16,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,0:29,1,10,GNB 25,10,16,Aaron Rodgers pass complete deep right to Davante Adams for 21 yards (tackle by Darious Williams),0.610,1.990
2,0:24,,,,,,Timeout #2 by Green Bay Packers,,
2,0:24,1,10,GNB 46,10,16,Aaron Rodgers pass complete deep right to Robert Tonyan for 33 yards (tackle by John Johnson),1.990,4.170
2,0:14,1,10,LAR 21,10,16,Aaron Rodgers pass incomplete deep left intended for Allen Lazard (defended by Troy Hill),4.170,3.630
2,0:08,2,10,LAR 21,10,16,Aaron Rodgers pass incomplete deep middle intended for Marquez Valdes-Scantling (defended by John Johnson),3.630,2.940
2,0:04,3,10,LAR 21,10,19,Mason Crosby 39 yard field goal good,2.940,3.000
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,10,19,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,10,19,Aaron Jones up the middle for 60 yards (tackle by Jordan Fuller),0.610,4.580
3,14:20,1,10,LAR 15,10,19,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,4.580,3.950
3,14:15,2,10,LAR 15,10,19,AJ Dillon left tackle for 8 yards (tackle by Kenny Young),3.950,4.680
3,13:34,3,2,LAR 7,10,19,Jamaal Williams up the middle for 4 yards (tackle by Sebastian Joseph and Jordan Fuller),4.680,6.510
3,12:52,1,3,LAR 3,10,19,Aaron Jones left guard for 2 yards (tackle by Michael Brockers),6.510,5.910
3,12:14,2,1,LAR 1,10,25,"Aaron Jones left guard for 1 yard, touchdown",5.910,7.000
3,12:10,,,LAR 2,10,25,"Two Point Attempt: Aaron Rodgers pass incomplete intended for Aaron Jones, conversion fails",1.000,-1.000
3,12:10,,,GNB 35,10,25,"Mason Crosby kicks off 65 yards, returned by Nsimba Webster for 27 yards (tackle by Dominique Dafney and Henry Black)",0.000,0.740
3,12:04,1,10,LAR 27,10,25,Cam Akers left end for 3 yards (tackle by Chandon Sullivan),0.740,0.600
3,11:24,2,7,LAR 30,10,25,Jared Goff pass incomplete short right,0.600,-0.100
3,11:19,3,7,LAR 30,10,25,Jared Goff sacked by and Kenny Clark for -9 yards and Rashan Gary for -9 yards,-0.100,-1.960
3,10:42,4,16,LAR 21,10,25,Johnny Hekker punts 64 yards downed by Justin Hollins,-1.960,0.220
3,10:31,1,10,GNB 15,10,25,"Jamaal Williams right tackle for 19 yards (tackle by Troy Reeder and Derek Rivers). Penalty on Ricky Wagner: Offensive Holding, 7 yards (no play)",-0.220,-0.650
3,10:09,1,17,GNB 8,10,25,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,-0.650,-1.290
3,10:03,2,17,GNB 8,10,25,Aaron Rodgers pass complete deep right to Allen Lazard for 21 yards (tackle by John Johnson),-1.290,0.870
3,9:15,1,10,GNB 29,10,25,Jamaal Williams right guard for 11 yards (tackle by John Johnson and Jalen Ramsey),0.870,1.600
3,8:34,1,10,GNB 40,10,25,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,1.600,1.050
3,8:29,2,10,GNB 40,10,25,AJ Dillon right guard for 2 yards (tackle by Sebastian Joseph and Michael Brockers),1.050,0.630
3,7:44,3,8,GNB 42,10,25,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Darious Williams),0.630,-0.590
3,7:37,4,8,GNB 42,10,25,JK Scott punts 37 yards downed by Kamal Martin,-0.590,-0.340
3,7:26,1,10,LAR 21,10,25,Jared Goff pass complete short left to Van Jefferson for 4 yards (tackle by Kevin King),0.340,0.340
3,6:49,2,6,LAR 25,10,25,Jared Goff pass complete short left to Robert Woods for 6 yards (tackle by Kevin King),0.340,1.000
3,6:26,1,10,LAR 31,10,25,Jared Goff pass complete deep left to Josh Reynolds for 16 yards (tackle by Adrian Amos),1.000,2.060
3,6:09,1,10,LAR 47,10,25,Jared Goff pass complete short left to Tyler Higbee for 4 yards (tackle by Adrian Amos),2.060,2.060
3,5:50,2,6,GNB 49,10,25,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Chandon Sullivan),2.060,2.020
3,5:22,3,1,GNB 44,10,25,Jared Goff pass complete deep right to Van Jefferson for 16 yards (tackle by Kevin King),2.020,3.710
3,4:56,,,,,,Timeout #1 by Green Bay Packers,,
3,4:56,1,10,GNB 28,10,25,Jared Goff right end for 6 yards (tackle by Krys Barnes),3.710,3.980
3,4:14,2,4,GNB 22,10,25,Cam Akers right tackle for 5 yards (tackle by Preston Smith and Brian Price),3.980,4.440
3,3:32,1,10,GNB 17,10,25,Cam Akers right tackle for no gain (tackle by Dean Lowry and Brian Price),4.440,3.850
3,2:48,2,10,GNB 17,10,25,"Penalty on Brian Price: Neutral Zone Infraction, 5 yards (no play)",3.850,4.690
3,2:27,2,5,GNB 12,10,25,Cam Akers up the middle for 5 yards (tackle by Chandon Sullivan and Kevin King),4.690,5.600
3,1:45,1,7,GNB 7,16,25,"Cam Akers right guard for 7 yards, touchdown",5.600,7.000
3,1:41,,,GNB 2,18,25,"Two Point Attempt: Jared Goff pass complete to Cam Akers, conversion succeeds",1.000,1.000
3,1:41,,,LAR 35,18,25,"Matt Gay kicks off 65 yards, returned by Malik Taylor for 26 yards (tackle by J.R. Reed)",0.000,0.670
3,1:36,1,10,GNB 26,18,25,Aaron Jones right guard for 4 yards (tackle by Sebastian Joseph and Kenny Young),0.670,0.670
3,0:58,2,6,GNB 30,18,25,Aaron Rodgers pass incomplete short right,0.670,-0.030
3,0:52,3,6,GNB 30,18,25,Aaron Rodgers pass complete short right to Allen Lazard for 9 yards (tackle by John Johnson),-0.030,1.530
3,0:10,1,10,GNB 39,18,25,Aaron Rodgers pass complete short middle to Davante Adams for 7 yards (tackle by Jalen Ramsey),1.530,1.930
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,GNB 46,18,25,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Darious Williams),1.930,2.260
4,14:20,1,10,GNB 50,18,25,Aaron Jones left tackle for 3 yards (tackle by Justin Hollins and Jalen Ramsey),2.260,2.120
4,13:37,2,7,LAR 47,18,25,Aaron Rodgers pass incomplete short left intended for Aaron Jones,2.120,1.420
4,13:33,3,7,LAR 47,18,25,Aaron Rodgers pass incomplete short right,1.420,0.130
4,13:26,4,7,LAR 47,18,25,JK Scott punts 41 yards downed by KeiVarae Russell,0.130,0.380
4,13:17,1,10,LAR 6,18,25,Jared Goff pass complete short left to Van Jefferson for 8 yards (tackle by Krys Barnes),-0.380,-0.170
4,12:52,2,2,LAR 14,18,25,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Kevin King),-0.170,0.150
4,12:11,1,10,LAR 19,18,25,Cam Akers left end for 4 yards (tackle by Krys Barnes),0.150,0.210
4,11:34,2,6,LAR 23,18,25,Jared Goff pass complete short right to Van Jefferson for 9 yards (tackle by Chandon Sullivan),0.210,1.070
4,11:03,1,10,LAR 32,18,25,Jared Goff pass incomplete short right intended for Josh Reynolds,1.070,0.530
4,11:00,2,10,LAR 32,18,25,Jared Goff sacked by Kenny Clark for -6 yards,0.530,-0.960
4,10:17,,,,,,Timeout #1 by Los Angeles Rams,,
4,10:17,3,16,LAR 26,18,25,Jared Goff pass complete short left to Van Jefferson for 5 yards (tackle by Chandon Sullivan),-0.960,-1.310
4,9:53,4,11,LAR 31,18,25,"Johnny Hekker punts 42 yards, fair catch by Tavon Austin at GB-27",-1.310,-0.740
4,9:46,1,10,GNB 27,18,25,Aaron Jones left tackle for 6 yards (tackle by A'Shawn Robinson),0.740,1.010
4,9:06,2,4,GNB 33,18,25,"AJ Dillon up the middle for no gain (tackle by A'Shawn Robinson and Troy Reeder). AJ Dillon fumbles (forced by A'Shawn Robinson), recovered by Aaron Rodgers at GB-31 and returned for 1 yard (tackle by Darious Williams)",1.010,0.430
4,8:21,3,3,GNB 34,18,25,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 4 yards (tackle by John Johnson),0.430,1.470
4,7:43,1,10,GNB 38,18,25,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Troy Hill),1.470,1.460
4,7:00,2,6,GNB 42,18,31,"Aaron Rodgers pass complete deep middle to Allen Lazard for 58 yards, touchdown",1.460,7.000
4,6:52,,,LAR 15,18,32,Mason Crosby kicks extra point good,0.000,0.000
4,6:52,,,GNB 35,18,32,"Mason Crosby kicks off 62 yards, returned by Nsimba Webster for 38 yards (tackle by Henry Black)",0.000,1.660
4,6:44,1,10,LAR 41,18,32,Jared Goff pass complete short left to Robert Woods for 8 yards (tackle by Chandon Sullivan),1.660,2.200
4,6:23,2,2,LAR 49,18,32,Jared Goff pass incomplete short right intended for Gerald Everett (defended by Krys Barnes),2.200,1.490
4,6:19,3,2,LAR 49,18,32,Cam Akers left tackle for 4 yards (tackle by Rashan Gary),1.490,2.460
4,5:57,1,10,GNB 47,18,32,Jared Goff pass incomplete short left intended for Robert Woods,2.460,1.910
4,5:53,2,10,GNB 47,18,32,Jared Goff pass complete short right to Robert Woods for -3 yards (tackle by Jaire Alexander),1.910,0.830
4,5:08,3,13,LAR 50,18,32,Jared Goff pass incomplete short right intended for Van Jefferson (defended by Preston Smith),0.830,-0.060
4,5:04,4,13,LAR 50,18,32,Jared Goff sacked by Rashan Gary for -4 yards,-0.060,-2.520
4,4:59,1,10,LAR 46,18,32,Aaron Jones left tackle for 1 yard (tackle by Sebastian Joseph),2.520,2.110
4,4:14,2,9,LAR 45,18,32,Aaron Rodgers pass complete short right to Robert Tonyan for 12 yards (tackle by John Johnson),2.110,3.380
4,3:26,1,10,LAR 33,18,32,Jamaal Williams right tackle for 6 yards (tackle by Leonard Floyd),3.380,3.650
4,2:42,2,4,LAR 27,18,32,Jamaal Williams up the middle for 6 yards (tackle by Michael Brockers),3.650,4.170
4,2:35,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:35,1,10,LAR 21,18,32,Aaron Rodgers pass complete short right to Davante Adams for 8 yards (tackle by Samson Ebukam),4.170,4.950
4,2:30,,,,,,Timeout #3 by Los Angeles Rams,,
4,2:30,2,2,LAR 13,18,32,Jamaal Williams up the middle for 4 yards (tackle by Troy Reeder and Sebastian Joseph),4.950,5.140
4,2:00,1,9,LAR 9,18,32,Aaron Rodgers kneels for -2 yards,5.140,4.020
4,1:18,2,11,LAR 11,18,32,Aaron Rodgers kneels for -1 yards,4.020,3.100
4,0:39,3,12,LAR 12,18,32,Aaron Rodgers kneels for -1 yards,3.100,2.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
