Quarter,Time,Down,ToGo,Location,WAS,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Billy Cundiff kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,6,0,"Sam Bradford pass complete short left to Danny Amendola for 10 yards (tackle by Perry Riley). Danny Amendola fumbles (forced by Perry Riley), recovered by Josh Wilson at STL-30 and returned for 30 yards, touchdown",0.280,-7.000
1,,,,STL 2,7,0,Billy Cundiff kicks extra point good,0.000,0.000
1,14:49,,,WAS 35,7,0,"Billy Cundiff kicks off 68 yards, returned by Isaiah Pead for 12 yards (tackle by Lorenzo Alexander)",0.000,-0.380
1,14:45,1,10,STL 9,7,0,"Sam Bradford pass complete short right to Danny Amendola for 8 yards (tackle by DeAngelo Hall). Penalty on DeAngelo Hall: Defensive Holding, 5 yards (no play)",-0.380,-0.280
1,14:28,1,10,STL 14,7,0,"Sam Bradford pass complete short right to Danny Amendola for 12 yards (tackle by DeAngelo Hall). Penalty on London Fletcher: Personal Foul, 15 yards",-0.280,1.660
1,13:56,1,10,STL 41,7,0,Sam Bradford pass complete short left to Danny Amendola for no gain,1.660,1.120
1,13:14,2,10,STL 41,7,0,Sam Bradford pass complete short middle to Danny Amendola for 15 yards (tackle by Madieu Williams),1.120,2.650
1,12:33,1,10,WAS 44,7,0,Sam Bradford pass incomplete deep right intended for Chris Givens (defended by Dejon Gomes),2.650,2.110
1,12:25,2,10,WAS 44,7,0,Sam Bradford pass complete short right to Danny Amendola for 7 yards (tackle by Madieu Williams),2.110,2.350
1,11:38,3,3,WAS 37,7,0,Sam Bradford pass complete short left to Danny Amendola for 8 yards (tackle by DeAngelo Hall),2.350,3.640
1,10:59,1,10,WAS 29,7,0,Steven Jackson for 14 yards (tackle by Madieu Williams),3.640,4.580
1,10:29,1,10,WAS 15,7,0,Sam Bradford pass incomplete short left intended for Brandon Gibson,4.580,3.950
1,10:22,2,10,WAS 15,7,0,"Penalty on Barry Richardson: False Start, 5 yards (no play)",3.950,3.350
1,10:22,2,15,WAS 20,7,0,Steven Jackson right tackle for 1 yard (tackle by Brian Orakpo),3.350,2.790
1,9:44,3,14,WAS 19,7,0,"Sam Bradford sacked by Brian Orakpo for -7 yards. Sam Bradford fumbles (forced by Brian Orakpo), recovered by Rodger Saffold at WAS-28 and returned for 7 yards",2.790,2.060
1,9:11,4,16,WAS 21,7,3,Greg Zuerlein 39 yard field goal good,2.060,3.000
1,9:05,,,STL 35,7,3,"Greg Zuerlein kicks off 70 yards, returned by Brandon Banks for 25 yards (tackle by Quintin Mikell)",0.000,0.280
1,9:00,1,10,WAS 20,7,3,Alfred Morris left tackle for 6 yards (tackle by James Laurinaitis),0.280,0.540
1,8:25,2,4,WAS 26,7,3,Alfred Morris left tackle for -1 yards (tackle by Janoris Jenkins),0.540,-0.300
1,7:44,3,5,WAS 25,7,3,Robert Griffin III pass complete short middle to Aldrick Robinson for 12 yards (tackle by Janoris Jenkins),-0.300,1.400
1,6:58,1,10,WAS 37,7,3,Robert Griffin III right end for -4 yards (tackle by Jo-Lonn Dunbar),1.400,0.320
1,6:36,2,14,WAS 33,7,3,Robert Griffin III pass complete short middle to Fred Davis for 6 yards (tackle by Eugene Sims),0.320,0.430
1,5:59,3,8,WAS 39,7,3,Robert Griffin III sacked by Robert Quinn for -9 yards,0.430,-1.370
1,5:47,4,17,WAS 30,7,3,"Saverio Rocca punts 54 yards, returned by Danny Amendola for 22 yards (tackle by Lorenzo Alexander)",-1.370,-1.470
1,5:33,1,10,STL 38,7,3,Sam Bradford pass incomplete deep right intended for Chris Givens (defended by DeAngelo Hall),1.470,0.920
1,5:27,2,10,STL 38,7,3,Sam Bradford pass complete short left to Danny Amendola for 8 yards (tackle by Dejon Gomes),0.920,1.290
1,4:44,3,2,STL 46,7,3,Sam Bradford pass complete short left to Daryl Richardson for 1 yard (tackle by Josh Wilson),1.290,-0.260
1,4:31,4,1,STL 47,7,3,"John Hekker punts 53 yards, touchback",-0.260,-0.280
1,4:24,1,10,WAS 20,7,3,Robert Griffin III pass complete short left to Josh Morgan for 12 yards (tackle by Robert Quinn),0.280,1.070
1,3:50,1,10,WAS 32,7,3,Alfred Morris right tackle for 3 yards (tackle by Chris Long),1.070,0.930
1,3:14,2,7,WAS 35,7,3,"Robert Griffin III pass incomplete. Penalty on Robert Griffin III: Intentional Grounding, 11 yards",0.930,-1.220
1,3:03,3,18,WAS 24,7,3,"Robert Griffin III right end for 10 yards (tackle by Eugene Sims). Penalty on Eugene Sims: Personal Foul, 15 yards",-1.220,2.190
1,2:43,1,10,WAS 49,7,3,Alfred Morris right tackle for 6 yards (tackle by James Laurinaitis),2.190,2.460
1,2:08,2,4,STL 45,7,3,Alfred Morris right end for 27 yards (tackle by Craig Dahl),2.460,4.370
1,1:40,1,10,STL 18,7,3,Robert Griffin III for 4 yards (tackle by Jo-Lonn Dunbar),4.370,4.430
1,1:09,2,6,STL 14,7,3,Alfred Morris right tackle for 3 yards (tackle by William Hayes),4.430,4.260
1,0:27,3,3,STL 11,7,3,"Robert Griffin III pass incomplete short middle intended for Leonard Hankerson. Penalty on Robert Quinn: Personal Foul, 6 yards",4.260,6.060
1,0:23,1,5,STL 5,13,3,"Robert Griffin III left end for 5 yards, touchdown",6.060,7.000
1,0:23,,,STL 2,14,3,Billy Cundiff kicks extra point good,0.000,0.000
1,0:19,,,WAS 35,14,3,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
1,0:19,1,10,STL 20,14,3,Steven Jackson up the middle for 12 yards (tackle by London Fletcher),0.280,1.070
Quarter,Time,Down,ToGo,Location,WAS,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 32,14,3,Steven Jackson right end for 9 yards (tackle by London Fletcher),1.070,1.740
2,14:22,2,1,STL 41,14,3,"Penalty on Harvey Dahl: False Start, 5 yards (no play)",1.740,1.070
2,14:03,2,6,STL 36,14,3,Sam Bradford pass complete short left to Danny Amendola for 8 yards (tackle by DeAngelo Hall),1.070,1.860
2,13:29,1,10,STL 44,14,3,Steven Jackson up the middle for -1 yards (tackle by Ryan Kerrigan),1.860,1.180
2,12:53,2,11,STL 43,14,3,Sam Bradford pass incomplete short right intended for Brandon Gibson,1.180,0.500
2,12:48,3,11,STL 43,14,3,Sam Bradford pass complete short middle to Brandon Gibson for 19 yards (tackle by DeAngelo Hall),0.500,3.050
2,12:11,1,10,WAS 38,14,3,Sam Bradford pass incomplete short right intended for Danny Amendola,3.050,2.510
2,12:06,2,10,WAS 38,14,3,Steven Jackson right guard for 20 yards (tackle by DeAngelo Hall and Madieu Williams),2.510,4.370
2,11:20,1,10,WAS 18,14,3,Sam Bradford pass incomplete short left intended for Brian Quick,4.370,3.800
2,11:16,2,10,WAS 18,14,3,Daryl Richardson up the middle for 8 yards (tackle by Madieu Williams),3.800,4.510
2,10:29,3,2,WAS 10,14,3,Sam Bradford pass complete short right to Danny Amendola for 6 yards (tackle by Cedric Griffin),4.510,6.280
2,9:49,1,4,WAS 4,14,3,Steven Jackson up the middle for 3 yards (tackle by Dejon Gomes),6.280,0.000
2,9:09,,,,14,3,Timeout #1 by St. Louis Rams,0.000,5.910
2,9:09,2,1,WAS 1,14,3,Steven Jackson right guard for no gain (tackle by Ryan Kerrigan),5.910,5.170
,,,,,,,"STL challenged the fumble ruling, and the original play was overturned.",,
