Unnamed: 0,WAS,STL
First Downs,18,23
Rush-Yds-TDs,29-176-2,27-151-0
Cmp-Att-Yd-TD-INT,20-29-206-1-1,26-35-310-3-1
Sacked-Yards,1-9,2-9
Net Pass Yards,197,301
Total Yards,373,452
Fumbles-Lost,0-0,3-2
Turnovers,1,3
Penalties-Yards,11-96,7-60
Third Down Conv.,4-13,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:36,31:24
