Quarter,Time,Tm,Detail,NOR,NYG
1.0,8:24,Giants,Sterling Shepard 2 yard pass from Eli Manning (Aldrick Rosas kick),0,7
2.0,14:55,Saints,Wil Lutz 42 yard field goal,3,7
,7:18,Saints,Wil Lutz 34 yard field goal,6,7
,3:36,Saints,Wil Lutz 37 yard field goal,9,7
,0:11,Saints,Wil Lutz 26 yard field goal,12,7
3.0,7:16,Saints,Alvin Kamara 9 yard rush (Wil Lutz kick),19,7
,2:02,Giants,Aldrick Rosas 33 yard field goal,19,10
4.0,6:47,Saints,Alvin Kamara 4 yard rush (Wil Lutz kick),26,10
,3:44,Giants,Saquon Barkley 1 yard rush (Sterling Shepard pass from Eli Manning),26,18
,2:06,Saints,Alvin Kamara 49 yard rush (Wil Lutz kick),33,18
