Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
1,7:03,3,2,NOR 33,0,7,Drew Brees pass incomplete short right intended for Alvin Kamara (defended by Connor Barwin),0.430,-1.180
1,6:59,4,2,NOR 33,0,7,Taysom Hill pass complete short right to Justin Hardee for 10 yards (tackle by Sean Chandler),-1.180,1.800
1,6:14,1,10,NOR 43,0,7,Dwayne Washington right tackle for 3 yards (tackle by Alec Ogletree and Kareem Martin),1.800,1.660
1,5:35,2,7,NOR 46,0,7,Alvin Kamara right end for 6 yards (tackle by Alec Ogletree and Landon Collins),1.660,1.750
1,5:00,3,1,NYG 48,0,7,Alvin Kamara left end for 2 yards (tackle by Connor Barwin and Janoris Jenkins),1.750,2.520
1,4:26,1,10,NYG 46,0,7,Mike Gillislee right guard for 2 yards (tackle by Dalvin Tomlinson and Kareem Martin),2.520,2.250
1,3:50,2,8,NYG 44,0,7,Drew Brees pass complete short middle to Josh Hill for 20 yards (tackle by Curtis Riley and Alec Ogletree),2.250,3.970
1,3:13,1,10,NYG 24,0,7,Alvin Kamara left guard for 7 yards (tackle by Lorenzo Carter),3.970,4.460
1,2:41,2,3,NYG 17,0,7,Alvin Kamara left tackle for 4 yards (tackle by Ray-Ray Armstrong and Landon Collins),4.460,4.710
1,2:03,1,10,NYG 13,0,7,Drew Brees pass complete short left to Taysom Hill for -4 yards (tackle by Alec Ogletree),4.710,3.500
1,1:19,2,14,NYG 17,0,7,Drew Brees pass complete short right to Alvin Kamara for 1 yard (tackle by Ray-Ray Armstrong),3.500,2.970
1,0:36,3,13,NYG 16,0,7,Drew Brees sacked by B.J. Hill for -8 yards,2.970,1.870
Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,21,NYG 24,3,7,Wil Lutz 42 yard field goal good,1.870,3.000
2,14:55,,,NOR 35,3,7,"Wil Lutz kicks off 65 yards, returned by Jawill Davis for no gain (tackle by Vonn Bell and J.T. Gray)",0.000,0.540
2,14:49,1,10,NYG 24,3,7,Saquon Barkley right tackle for 5 yards (tackle by Demario Davis),0.540,0.670
2,14:11,2,5,NYG 29,3,7,Eli Manning pass complete short right to Scott Simonson for 7 yards (tackle by Kurt Coleman),0.670,1.330
2,13:28,1,10,NYG 36,3,7,"Eli Manning pass complete short left to Odell Beckham for 4 yards (tackle by Marshon Lattimore and Marcus Davenport). Penalty on Russell Shepard: Offensive Pass Interference, 10 yards (no play)",1.330,0.670
2,13:02,1,20,NYG 26,3,7,Saquon Barkley right end for 5 yards (tackle by Demario Davis),0.670,0.120
2,12:29,2,15,NYG 31,3,7,Eli Manning pass complete short right to Odell Beckham for 4 yards (tackle by Ken Crawley),0.120,-0.030
2,11:47,3,11,NYG 35,3,7,Eli Manning pass complete short middle to Odell Beckham for -8 yards (tackle by Cameron Jordan),-0.030,-1.570
2,11:03,4,19,NYG 27,3,7,"Riley Dixon punts 53 yards, returned by Brandon Tate for 5 yards (tackle by Zak DeOssie). Penalty on J.T. Gray: Illegal Block Above the Waist, 10 yards",-1.570,0.220
2,10:49,1,10,NOR 15,3,7,"Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Janoris Jenkins). Penalty on Janoris Jenkins: Horse Collar Tackle, 15 yards",-0.220,1.330
2,10:28,1,10,NOR 36,3,7,Taysom Hill right end for 19 yards (tackle by Landon Collins),1.330,2.590
2,9:45,1,10,NYG 45,3,7,Drew Brees pass complete short right to Josh Hill for 22 yards (tackle by Ray-Ray Armstrong),2.590,4.040
2,9:18,1,10,NYG 23,3,7,Alvin Kamara right guard for 9 yards (tackle by Landon Collins),4.040,4.950
2,8:42,2,1,NYG 14,3,7,Alvin Kamara left guard for 3 yards (tackle by B.J. Hill and Damon Harrison),4.950,4.840
2,8:03,1,10,NYG 11,3,7,"Drew Brees pass complete short left to Ted Ginn for 3 yards (tackle by Ray-Ray Armstrong). Penalty on Ted Ginn: Illegal Formation, 5 yards (no play)",4.840,4.340
2,7:40,1,15,NYG 16,3,7,Drew Brees pass incomplete short right intended for Tre'Quan Smith (defended by Donte Deayon),4.340,3.440
2,7:35,2,15,NYG 16,3,7,Drew Brees pass incomplete short right intended for Ted Ginn,3.440,2.890
2,7:27,3,15,NYG 16,3,7,Drew Brees pass incomplete deep middle intended for Cameron Meredith,2.890,2.380
2,7:23,4,15,NYG 16,6,7,Wil Lutz 34 yard field goal good,2.380,3.000
2,7:18,,,NOR 35,6,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,7:18,1,10,NYG 25,6,7,Eli Manning pass incomplete deep left intended for Odell Beckham,0.610,0.060
2,7:12,2,10,NYG 25,6,7,Wayne Gallman right tackle for 4 yards (tackle by Vonn Bell and Alex Okafor),0.060,-0.100
2,6:30,3,6,NYG 29,6,7,Eli Manning pass complete short middle to Wayne Gallman for 7 yards (tackle by Demario Davis and Alex Anzalone),-0.100,1.330
2,5:56,1,10,NYG 36,6,7,Wayne Gallman up the middle for 2 yards (tackle by David Onyemata and Tyeler Davison),1.330,1.060
2,5:19,2,8,NYG 38,6,7,Eli Manning pass complete short right to Wayne Gallman for 11 yards (tackle by Alex Anzalone),1.060,2.190
2,4:45,1,10,NYG 49,6,7,"Eli Manning pass complete short left to Wayne Gallman for -1 yards (tackle by P.J. Williams). Wayne Gallman fumbles (forced by P.J. Williams), recovered by Marshon Lattimore at NYG-48 and returned for 37 yards (tackle by Eli Manning)",2.190,-4.840
2,4:33,1,10,NYG 11,6,7,Drew Brees pass incomplete short left intended for Ted Ginn,4.840,4.140
2,4:27,2,10,NYG 11,6,7,Taysom Hill left guard for 3 yards (tackle by Kareem Martin),4.140,3.760
2,3:48,3,7,NYG 8,6,7,Drew Brees pass incomplete short right intended for Tre'Quan Smith (defended by B.W. Webb),3.760,2.960
2,3:48,4,7,NYG 8,6,7,"Wil Lutz yard field goal good. Penalty on Andrus Peat: Offensive Holding, 11 yards (no play)",2.960,2.180
2,3:40,4,18,NYG 19,9,7,Wil Lutz 37 yard field goal good,2.180,3.000
2,3:36,,,NOR 35,9,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,3:36,1,10,NYG 25,9,7,Eli Manning pass incomplete short right intended for Odell Beckham,0.610,0.060
2,3:30,2,10,NYG 25,9,7,Saquon Barkley left tackle for 2 yards (tackle by David Onyemata and Taylor Stallworth),0.060,-0.360
2,2:48,3,8,NYG 27,9,7,Eli Manning pass incomplete deep left intended for Russell Shepard,-0.360,-1.570
2,2:42,4,8,NYG 27,9,7,"Riley Dixon punts 36 yards, muffed catch by Brandon Tate, recovered by Brandon Tate at NYG-49, returned by Brandon Tate for 2 yards (tackle by Zak DeOssie)",-1.570,-2.460
2,2:32,1,10,NYG 47,9,7,Taysom Hill left guard for 2 yards (tackle by Lorenzo Carter and Alec Ogletree),2.460,2.180
2,2:00,2,8,NYG 45,9,7,Drew Brees pass complete short left to Alvin Kamara for 25 yards (tackle by Curtis Riley),2.180,4.240
2,1:51,1,10,NYG 20,9,7,Drew Brees pass complete short middle to Michael Thomas for 12 yards (tackle by Janoris Jenkins),4.240,5.370
2,1:10,1,8,NYG 8,9,7,Taysom Hill pass incomplete short right intended for Alvin Kamara,5.370,4.570
2,1:05,2,8,NYG 8,9,7,Alvin Kamara right tackle for 1 yard (tackle by Landon Collins and Connor Barwin),4.570,3.810
2,0:21,,,,,,Timeout #1 by New Orleans Saints,,
2,0:21,3,7,NYG 7,9,7,Drew Brees pass incomplete short right intended for Ben Watson (defended by Landon Collins),3.810,2.970
2,0:15,,,,,,Timeout #2 by New Orleans Saints,,
2,0:15,4,7,NYG 7,12,7,Wil Lutz 26 yard field goal good,2.970,3.000
2,0:11,,,NOR 35,12,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,0:11,1,10,NYG 25,12,7,Eli Manning kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,12,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYG 25,12,7,"Saquon Barkley up the middle for no gain (tackle by A.J. Klein and P.J. Williams). Penalty on John Greco: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,14:36,1,20,NYG 15,12,7,Eli Manning pass complete short left to Saquon Barkley for 10 yards (tackle by Alex Okafor and Demario Davis),-0.410,0.060
3,13:57,2,10,NYG 25,12,7,Eli Manning pass complete short left to Saquon Barkley for 7 yards (tackle by Demario Davis),0.060,0.300
3,13:16,3,3,NYG 32,12,7,Eli Manning pass complete short left to Sterling Shepard for 6 yards (tackle by P.J. Williams),0.300,1.470
3,12:39,1,10,NYG 38,12,7,Eli Manning pass complete short left to Odell Beckham for 5 yards (tackle by Demario Davis),1.470,1.600
3,11:59,2,5,NYG 43,12,7,Eli Manning sacked by Demario Davis for -9 yards,1.600,-0.290
3,11:18,3,14,NYG 34,12,7,Eli Manning pass complete short right to Sterling Shepard for 6 yards (tackle by Marshon Lattimore),-0.290,-0.720
3,10:42,4,8,NYG 40,12,7,"Riley Dixon punts 60 yards, touchback.",-0.720,-0.280
3,10:33,1,10,NOR 20,12,7,Alvin Kamara right end for 18 yards (tackle by Janoris Jenkins),0.280,1.470
3,9:54,1,10,NOR 38,12,7,Drew Brees pass complete short right to Michael Thomas for 15 yards (tackle by Janoris Jenkins),1.470,2.460
3,9:17,1,10,NYG 47,12,7,Alvin Kamara right tackle for 2 yards (tackle by Landon Collins and Ray-Ray Armstrong),2.460,2.180
3,8:35,2,8,NYG 45,12,7,Drew Brees pass complete deep right to Ben Watson for 23 yards,2.180,4.110
3,8:03,1,10,NYG 22,12,7,Drew Brees pass incomplete deep right intended for Ben Watson,4.110,3.560
3,7:59,2,10,NYG 22,12,7,Alvin Kamara left tackle for 4 yards (tackle by Landon Collins),3.560,3.400
3,7:25,3,6,NYG 18,12,7,"Drew Brees pass incomplete short middle intended for Alvin Kamara (defended by Landon Collins). Penalty on B.W. Webb: Face Mask (15 Yards), 9 yards (no play)",3.400,5.140
3,7:20,1,9,NYG 9,18,7,"Alvin Kamara left guard for 9 yards, touchdown",5.140,7.000
3,7:16,,,NYG 15,19,7,Wil Lutz kicks extra point good,0.000,0.000
3,7:16,,,NOR 35,19,7,"Wil Lutz kicks off 70 yards, returned by Jawill Davis for no gain (tackle by Vince Biegel)",0.000,-0.370
3,7:09,1,10,NYG 11,19,7,Eli Manning pass complete short middle to Odell Beckham for 4 yards (tackle by Demario Davis),-0.370,-0.430
3,6:31,2,6,NYG 15,19,7,Eli Manning pass complete short middle to Sterling Shepard for 8 yards (tackle by A.J. Klein),-0.430,0.480
3,5:53,1,10,NYG 23,19,7,Saquon Barkley right guard for 28 yards (tackle by Marcus Williams),0.480,2.320
3,5:15,1,10,NOR 49,19,7,Saquon Barkley right tackle for no gain (tackle by Cameron Jordan and Demario Davis),2.320,1.780
3,4:35,2,10,NOR 49,19,7,Eli Manning pass complete short middle to Odell Beckham for 12 yards (tackle by Marshon Lattimore),1.780,3.120
3,3:48,1,10,NOR 37,19,7,Eli Manning pass complete deep left to Sterling Shepard for 23 yards (tackle by Marshon Lattimore),3.120,4.650
3,3:01,1,10,NOR 14,19,7,Eli Manning pass complete short right to Sterling Shepard for no gain (tackle by Ken Crawley),4.650,4.000
3,2:17,2,10,NOR 14,19,7,Eli Manning pass incomplete short middle intended for Rhett Ellison (defended by Vonn Bell),4.000,3.110
3,2:12,3,10,NOR 14,19,7,Eli Manning pass incomplete short right intended for Saquon Barkley (defended by Ken Crawley),3.110,2.510
3,2:12,4,10,NOR 14,19,10,Aldrick Rosas 33 yard field goal good,2.510,3.000
3,2:02,,,NYG 35,19,10,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,2:02,1,10,NOR 25,19,10,Drew Brees pass complete short right to Alvin Kamara for 4 yards (tackle by Alec Ogletree),0.610,0.600
3,1:27,2,6,NOR 29,19,10,Alvin Kamara right tackle for -4 yards (tackle by Alec Ogletree and Landon Collins),0.600,-0.620
3,0:42,3,10,NOR 25,19,10,Drew Brees pass incomplete short right,-0.620,-1.700
3,0:36,4,10,NOR 25,19,10,"Thomas Morstead punts 44 yards, fair catch by Odell Beckham at NYG-31",-1.700,-1.000
3,0:28,1,10,NYG 31,19,10,Saquon Barkley left end for -7 yards (tackle by Marcus Davenport),1.000,-0.490
Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,17,NYG 24,19,10,Eli Manning pass complete short middle to Rhett Ellison for 11 yards (tackle by Craig Robertson and Alex Anzalone),-0.490,0.300
4,14:17,3,6,NYG 35,19,10,Eli Manning sacked by Demario Davis for -8 yards,0.300,-1.570
4,13:37,4,14,NYG 27,19,10,"Riley Dixon punts 55 yards, returned by Brandon Tate for 8 yards (tackle by Michael Thomas)",-1.570,-0.670
4,13:26,1,10,NOR 26,19,10,Ted Ginn left end for 1 yard (tackle by Landon Collins),0.670,0.270
4,12:46,2,9,NOR 27,19,10,Drew Brees pass incomplete short left intended for Zach Line,0.270,-0.430
4,12:41,3,9,NOR 27,19,10,Drew Brees pass complete short right to Alvin Kamara for 11 yards (tackle by Curtis Riley),-0.430,1.470
4,12:31,1,10,NOR 38,19,10,Drew Brees pass complete short middle to Cameron Meredith for 20 yards (tackle by B.W. Webb),1.470,2.790
4,11:51,1,10,NYG 42,19,10,Alvin Kamara right tackle for 2 yards (tackle by Landon Collins),2.790,2.510
4,11:11,2,8,NYG 40,19,10,Drew Brees pass complete short left to Cameron Meredith for 1 yard (tackle by Donte Deayon),2.510,1.950
4,10:33,3,7,NYG 39,19,10,Drew Brees pass complete short left to Michael Thomas for 9 yards (tackle by Curtis Riley and Alec Ogletree),1.950,3.580
4,9:57,1,10,NYG 30,19,10,Alvin Kamara left guard for 5 yards (tackle by Connor Barwin),3.580,3.710
4,9:19,2,5,NYG 25,19,10,Taysom Hill left guard for 4 yards (tackle by Landon Collins and Ray-Ray Armstrong),3.710,3.530
4,8:45,3,1,NYG 21,19,10,Drew Brees up the middle for 2 yards (tackle by Landon Collins and Alec Ogletree),3.530,4.310
4,8:11,1,10,NYG 19,19,10,Mike Gillislee right end for 4 yards (tackle by Ray-Ray Armstrong and Donte Deayon),4.310,4.350
4,7:23,2,6,NYG 15,19,10,Drew Brees pass incomplete short right intended for Alvin Kamara,4.350,3.580
4,7:18,3,6,NYG 15,19,10,Drew Brees pass complete short middle to Michael Thomas for 11 yards (tackle by Janoris Jenkins),3.580,6.280
4,6:50,1,4,NYG 4,25,10,"Alvin Kamara right tackle for 4 yards, touchdown",6.280,7.000
4,6:47,,,NYG 15,26,10,Wil Lutz kicks extra point good,0.000,0.000
4,6:47,,,NOR 35,26,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,6:47,1,10,NYG 25,26,10,Eli Manning pass incomplete short middle intended for Saquon Barkley,0.610,0.060
4,6:44,2,10,NYG 25,26,10,Eli Manning pass complete short middle to Saquon Barkley for 11 yards (tackle by P.J. Williams and Alex Anzalone),0.060,1.330
4,6:16,1,10,NYG 36,26,10,Eli Manning pass complete short left to Rhett Ellison for 7 yards (tackle by Vonn Bell),1.330,1.740
4,5:52,2,3,NYG 43,26,10,Eli Manning pass complete short middle to Saquon Barkley for 8 yards (tackle by Alex Anzalone and P.J. Williams),1.740,2.320
4,5:26,1,10,NOR 49,26,10,Eli Manning pass complete short middle to Odell Beckham for 27 yards (tackle by Ken Crawley),2.320,4.110
4,4:55,1,10,NOR 22,26,10,Eli Manning pass incomplete short right intended for Odell Beckham,4.110,3.560
4,4:51,2,10,NOR 22,26,10,Eli Manning pass complete short right to Sterling Shepard for 1 yard (tackle by P.J. Williams),3.560,3.010
4,4:18,3,9,NOR 21,26,10,Eli Manning pass complete deep right to Sterling Shepard for 19 yards (tackle by Ken Crawley),3.010,6.740
4,4:11,1,2,NOR 2,26,10,Saquon Barkley left guard for 1 yard (tackle by Taylor Stallworth and P.J. Williams),6.740,5.910
4,3:48,2,1,NOR 1,26,16,"Saquon Barkley left guard for 1 yard, touchdown",5.910,7.000
4,3:44,,,NOR 2,26,18,"Two Point Attempt: Eli Manning pass complete to Sterling Shepard, conversion succeeds",0.000,1.000
4,3:44,,,NYG 35,26,18,"Aldrick Rosas kicks off 64 yards, muffed catch by Ted Ginn returned by Ted Ginn for no gain (tackle by Lorenzo Carter)",0.000,-0.380
4,3:40,1,10,NOR 3,26,18,Drew Brees pass complete short right to Josh Hill for 21 yards (tackle by B.W. Webb and B.J. Goodson),-0.380,0.540
4,2:50,1,10,NOR 24,26,18,Alvin Kamara right guard for 2 yards (tackle by Landon Collins and Dalvin Tomlinson),0.540,0.270
4,2:45,,,,,,Timeout #1 by New York Giants,,
4,2:45,2,8,NOR 26,26,18,Drew Brees pass incomplete short left intended for Alvin Kamara,0.270,-0.430
4,2:34,3,8,NOR 26,26,18,"Drew Brees pass incomplete deep middle intended for Cameron Meredith. Penalty on Donte Deayon: Defensive Pass Interference, 14 yards (no play)",-0.430,1.600
4,2:30,1,10,NOR 40,26,18,Alvin Kamara left end for 9 yards (tackle by Curtis Riley and Lorenzo Carter),1.600,2.270
4,2:24,2,1,NOR 49,26,18,Alvin Kamara left guard for 2 yards (tackle by Lorenzo Carter),2.270,2.320
4,2:16,,,,,,Timeout #2 by New York Giants,,
4,2:16,1,10,NYG 49,32,18,"Alvin Kamara right guard for 49 yards, touchdown",2.320,7.000
4,2:06,,,NYG 15,33,18,Wil Lutz kicks extra point good,0.000,0.000
4,2:06,,,NOR 35,33,18,"Wil Lutz kicks off 67 yards, returned by Jawill Davis for no gain (tackle by Chris Banjo). Penalty on Scott Simonson: Offensive Holding, 9 yards",0.000,-0.380
4,2:00,1,10,NYG 9,33,18,Eli Manning pass complete short right to Odell Beckham for 16 yards (tackle by Marshon Lattimore). Penalty on P.J. Williams: Illegal Contact (Declined),-0.380,0.610
4,1:52,1,10,NYG 25,33,18,Eli Manning pass incomplete short middle intended for Rhett Ellison,0.610,0.060
4,1:48,2,10,NYG 25,33,18,Eli Manning up the middle for 6 yards (tackle by Demario Davis),0.060,0.170
4,1:27,3,4,NYG 31,33,18,Eli Manning pass complete short left to Saquon Barkley for 13 yards (tackle by Vonn Bell and Ken Crawley),0.170,1.860
4,1:07,1,10,NYG 44,33,18,Eli Manning pass incomplete deep right intended for Russell Shepard,1.860,1.320
4,1:02,2,10,NYG 44,33,18,"Eli Manning sacked by Tyeler Davison for -4 yards. Eli Manning fumbles (forced by Tyeler Davison), recovered by Taylor Stallworth at NYG-40 (tackle by Patrick Omameh)",1.320,-2.920
4,0:57,1,10,NYG 40,33,18,Drew Brees kneels for -1 yards,2.920,2.240
4,0:54,,,,,,Timeout #3 by New York Giants,,
4,0:54,2,11,NYG 41,33,18,Drew Brees kneels for -1 yards,2.240,1.420
4,0:30,3,12,NYG 42,33,18,Drew Brees kneels for -1 yards,1.420,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
