Unnamed: 0,NOR,NYG
First Downs,25,22
Rush-Yds-TDs,32-170-3,15-65-1
Cmp-Att-Yd-TD-INT,19-34-227-0-0,31-41-255-1-0
Sacked-Yards,1-8,3-21
Net Pass Yards,219,234
Total Yards,389,299
Fumbles-Lost,1-0,2-2
Turnovers,0,2
Penalties-Yards,5-51,6-67
Third Down Conv.,5-13,5-10
Fourth Down Conv.,1-1,0-0
Time of Possession,31:00,29:00
