Unnamed: 0,TEN,BUF
First Downs,12,23
Rush-Yds-TDs,27-80-1,24-101-0
Cmp-Att-Yd-TD-INT,12-24-123-0-2,26-40-317-4-0
Sacked-Yards,2-16,1-4
Net Pass Yards,107,313
Total Yards,187,414
Fumbles-Lost,3-2,0-0
Turnovers,4,0
Penalties-Yards,9-87,8-49
Third Down Conv.,4-12,5-13
Fourth Down Conv.,1-1,2-3
Time of Possession,28:26,31:34
