Quarter,Time,Tm,Detail,NYJ,TEN
2.0,13:17,Jets,Kevan Barlow 1 yard rush (Mike Nugent kick),7,0
,0:17,Jets,Jerricho Cotchery 8 yard pass from Chad Pennington (Mike Nugent kick failed),13,0
3.0,12:47,Jets,Mike Nugent 18 yard field goal,16,0
4.0,10:46,Titans,Travis Henry 3 yard rush (two point pass successful),16,8
,5:58,Titans,Travis Henry 1 yard rush (Drew Bennett pass from Kerry Collins),16,16
,2:10,Jets,Chris Baker 12 yard pass from Chad Pennington (Mike Nugent kick),23,16
