Quarter,Time,Tm,Detail,MIA,SDG
1.0,2:40,Chargers,Keenan McCardell 8 yard pass from Drew Brees (Nate Kaeding kick),0,7
2.0,3:39,Dolphins,Olindo Mare 29 yard field goal,3,7
3.0,11:43,Dolphins,Olindo Mare 39 yard field goal,6,7
,10:35,Dolphins,Chris Chambers 8 yard pass from Gus Frerotte (Olindo Mare kick),13,7
,3:26,Dolphins,Chris Chambers 35 yard pass from Gus Frerotte (Olindo Mare kick),20,7
4.0,10:34,Chargers,Drew Brees 4 yard rush (Nate Kaeding kick),20,14
,1:11,Dolphins,Olindo Mare 20 yard field goal,23,14
,0:15,Chargers,Antonio Gates 8 yard pass from Drew Brees (Nate Kaeding kick),23,21
