Unnamed: 0,MIA,SDG
First Downs,14,27
Rush-Yds-TDs,26-71-0,27-96-1
Cmp-Att-Yd-TD-INT,14-22-229-2-0,35-52-279-2-1
Sacked-Yards,0-0,3-34
Net Pass Yards,229,245
Total Yards,300,341
Fumbles-Lost,2-2,2-2
Turnovers,2,3
Penalties-Yards,3-12,7-49
Third Down Conv.,2-10,11-19
Fourth Down Conv.,0-0,3-4
Time of Possession,19:43,40:17
