Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 70 yards, returned by Darren Sproles for 29 yards (tackle by Sammy Morris)",0.000,0.870
1,14:54,1,10,SDG 29,0,0,Drew Brees pass complete to Lorenzo Neal for 4 yards (tackle by Jason Taylor),0.870,0.870
1,14:12,2,6,SDG 33,0,0,"Penalty on Shane Olivea: False Start, 5 yards (no play)",0.870,0.190
1,13:56,2,11,SDG 28,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Jeff Zgonina),0.190,-0.230
1,13:17,3,9,SDG 30,0,0,Drew Brees pass complete to Antonio Gates for 14 yards (tackle by Travares Tillman),-0.230,1.860
1,12:38,1,10,SDG 44,0,0,LaDainian Tomlinson right tackle for 1 yard (tackle by Jeff Zgonina and Donnie Spragan),1.860,1.450
1,11:58,2,9,SDG 45,0,0,Drew Brees pass incomplete intended for Eric Parker,1.450,0.760
1,11:50,3,9,SDG 45,0,0,Drew Brees pass incomplete intended for Eric Parker,0.760,-0.390
1,11:44,4,9,SDG 45,0,0,"Mike Scifres punts 55 yards, touchback",-0.390,-0.280
1,11:36,1,10,MIA 20,0,0,Gus Frerotte pass complete to Chris Chambers for 5 yards (tackle by Quentin Jammer),0.280,0.410
1,11:12,2,5,MIA 25,0,0,Ronnie Brown right tackle for -3 yards (tackle by Luis Castillo and Shawne Merriman),0.410,-0.690
1,10:37,3,8,MIA 22,0,0,Gus Frerotte pass incomplete intended for Ricky Williams,-0.690,-1.900
1,10:32,4,8,MIA 22,0,0,"Donnie Jones punts 41 yards, returned by Darren Sproles for 1 yard (tackle by John Denney)",-1.900,-1.470
1,10:24,1,10,SDG 38,0,0,Drew Brees pass incomplete intended for LaDainian Tomlinson,1.470,0.920
1,10:18,2,10,SDG 38,0,0,Drew Brees pass complete to Antonio Gates for 4 yards (tackle by Channing Crowder and Matt Roth),0.920,0.760
1,9:42,3,6,SDG 42,0,0,Drew Brees pass complete to Keenan McCardell for 12 yards (tackle by Travares Tillman),0.760,2.520
1,9:14,1,10,MIA 46,0,0,Drew Brees pass complete to Lorenzo Neal for 5 yards (tackle by Donnie Spragan),2.520,2.650
1,8:27,2,5,MIA 41,0,0,LaDainian Tomlinson left tackle for 4 yards (tackle by Channing Crowder and Zach Thomas),2.650,2.480
1,7:54,3,1,MIA 37,0,0,Drew Brees up the middle for 2 yards (tackle by Jason Taylor),2.480,3.250
1,7:17,1,10,MIA 35,0,0,LaDainian Tomlinson right tackle for no gain (tackle by Vonnie Holliday),3.250,2.700
1,6:38,2,10,MIA 35,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Channing Crowder),2.700,2.280
1,6:02,3,8,MIA 33,0,0,Drew Brees pass complete to LaDainian Tomlinson for no gain,2.280,1.150
1,5:14,4,8,MIA 33,0,0,Drew Brees pass complete to Reche Caldwell for 10 yards (tackle by Zach Thomas),1.150,4.040
1,4:37,1,10,MIA 23,0,0,Drew Brees pass complete to Keenan McCardell for 5 yards (tackle by Channing Crowder),4.040,4.210
1,3:54,2,5,MIA 18,0,0,Drew Brees pass complete to Eric Parker for 7 yards (tackle by Travis Daniels),4.210,4.840
1,3:30,1,10,MIA 11,0,0,Drew Brees pass incomplete intended for LaDainian Tomlinson,4.840,4.140
1,3:23,2,10,MIA 11,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Zach Thomas and Matt Roth),4.140,3.760
1,2:44,3,7,MIA 8,0,6,"Drew Brees pass complete to Keenan McCardell for 8 yards, touchdown",3.760,7.000
1,,,,MIA 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 60 yards, returned by Wes Welker for 43 yards (tackle by Bhawoh Jue)",0.000,2.460
1,2:25,1,10,SDG 47,0,7,Ronnie Brown right guard for 2 yards (tackle by Jamal Williams),2.460,2.180
1,2:00,2,8,SDG 45,0,7,Gus Frerotte pass incomplete intended for Chris Chambers,2.180,1.490
1,1:53,3,8,SDG 45,0,7,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Drayton Florence),1.490,0.270
1,1:47,4,8,SDG 45,0,7,"Donnie Jones punts 45 yards, touchback",0.270,-0.280
1,1:39,1,10,SDG 20,0,7,LaDainian Tomlinson left end for no gain (tackle by Vonnie Holliday),0.280,-0.270
1,0:59,2,10,SDG 20,0,7,Drew Brees pass incomplete intended for LaDainian Tomlinson,-0.270,-0.960
1,0:53,3,10,SDG 20,0,7,Drew Brees pass complete to Justin Peelle for 11 yards (tackle by Travis Daniels and Yeremiah Bell),-0.960,1.000
1,0:01,1,10,SDG 31,0,7,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",1.000,0.670
Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,SDG 26,0,7,"Penalty on Eric Parker: False Start, 5 yards (no play)",0.670,0.340
2,15:00,1,20,SDG 21,0,7,Drew Brees pass incomplete intended for Antonio Gates is intercepted by Zach Thomas at SDG-24,0.340,-3.970
2,14:54,1,10,SDG 24,0,7,"Ricky Williams right end for 1 yard (tackle by Quentin Jammer). Ricky Williams fumbles (forced by Quentin Jammer), recovered by Randall Godfrey at SDG-23 and returned for 35 yards (tackle by Lorenzo Diamond)",3.970,-2.790
2,14:42,1,10,MIA 42,0,7,LaDainian Tomlinson left tackle for 1 yard (tackle by Zach Thomas),2.790,2.380
2,14:02,2,9,MIA 41,0,7,Drew Brees pass incomplete intended for Justin Peelle,2.380,1.680
2,13:55,3,9,MIA 41,0,7,Drew Brees pass complete to Antonio Gates for -4 yards (tackle by Channing Crowder),1.680,0.270
2,13:19,4,13,MIA 45,0,7,"Mike Scifres punts 28 yards, fair catch by Wes Welker",0.270,0.060
2,13:15,1,10,MIA 17,0,7,Gus Frerotte pass complete to Randy McMichael for 4 yards (tackle by Shawne Merriman),-0.060,0.080
2,12:53,2,6,MIA 21,0,7,Ricky Williams left guard for 1 yard (tackle by Donnie Edwards and Randall Godfrey),0.080,-0.620
2,12:15,3,5,MIA 22,0,7,Gus Frerotte pass incomplete intended for Wes Welker (defended by Jamar Fletcher),-0.620,-1.900
2,12:08,4,5,MIA 22,0,7,"Donnie Jones punts 39 yards, returned by Darren Sproles for no gain",-1.900,-1.530
2,11:58,1,10,SDG 39,0,7,LaDainian Tomlinson right tackle for 1 yard (tackle by Kevin Carter),1.530,1.120
2,11:17,2,9,SDG 40,0,7,Drew Brees pass complete to Lorenzo Neal for 3 yards (tackle by Vonnie Holliday and Jason Taylor),1.120,0.830
2,10:29,3,6,SDG 43,0,7,Drew Brees pass complete to Keenan McCardell for 9 yards (tackle by Zach Thomas). Penalty on Lance Schulters: Illegal Contact (Declined),0.830,2.390
2,9:47,1,10,MIA 48,0,7,Drew Brees pass complete to Keenan McCardell for 12 yards (tackle by Sam Madison),2.390,3.180
2,9:01,1,10,MIA 36,0,7,Drew Brees pass incomplete intended for LaDainian Tomlinson,3.180,2.640
2,8:57,2,10,MIA 36,0,7,Drew Brees pass complete to Keenan McCardell for 3 yards (tackle by Kiwaukee Thomas),2.640,2.350
2,8:24,3,7,MIA 33,0,7,Drew Brees pass complete to Antonio Gates for 1 yard (tackle by Kiwaukee Thomas and Yeremiah Bell),2.350,1.250
2,7:41,,,,0,7,Timeout #1 by San Diego Chargers,0.000,1.250
2,7:41,4,6,MIA 32,0,7,Drew Brees pass incomplete intended for Eric Parker,1.250,-1.070
2,7:38,1,10,MIA 32,0,7,Ronnie Brown left end for 1 yard (tackle by Randall Godfrey and DeQuincy Scott),1.070,0.660
2,7:07,2,9,MIA 33,0,7,Gus Frerotte pass complete to Lorenzo Diamond for 18 yards (tackle by Jamal Williams),0.660,2.320
2,6:32,1,10,SDG 49,0,7,Gus Frerotte for 1 yard (tackle by Donnie Edwards),2.320,1.920
2,5:56,2,9,SDG 48,0,7,Gus Frerotte pass complete to Chris Chambers for 16 yards (tackle by Drayton Florence),1.920,3.450
