Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
1,8:11,2,7,BAL 17,0,0,Willie Parker left guard for no gain (tackle by Haloti Ngata),4.120,3.360
1,7:26,3,7,BAL 17,0,6,"Ben Roethlisberger pass complete deep left to Heath Miller for 17 yards, touchdown. Penalty on Terrell Suggs: Roughing the Passer, 15 yards",3.360,7.000
1,,,,BAL 2,0,7,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 45,0,7,"Jeff Reed kicks off 55 yards, touchback",0.000,0.280
1,7:17,1,10,BAL 20,0,7,Steve McNair pass complete short left to Mark Clayton for 6 yards (tackle by Deshea Townsend),0.280,0.540
1,6:40,2,4,BAL 26,0,7,"Penalty on Quinn Sypniewski: False Start, 5 yards (no play)",0.540,-0.130
1,6:25,2,9,BAL 21,0,7,Willis McGahee left guard for 3 yards (tackle by Casey Hampton and Larry Foote),-0.130,-0.430
1,6:25,3,6,BAL 24,0,7,Steve McNair pass incomplete short right intended for Derrick Mason (defended by Brett Keisel),-0.430,-1.770
1,5:36,4,6,BAL 24,0,7,"Sam Koch punts 51 yards, returned by Allen Rossum for 11 yards (tackle by Prescott Burgess). Penalty on Andre Frazier: Offensive Holding, 10 yards",-1.770,0.220
1,5:25,1,10,PIT 15,0,7,Willie Parker up the middle for 3 yards (tackle by Bart Scott and Dwan Edwards),-0.220,-0.280
1,4:45,2,7,PIT 18,0,7,Ben Roethlisberger pass complete short right to Hines Ward for 5 yards (tackle by Corey Ivy),-0.280,-0.390
1,4:02,3,2,PIT 23,0,7,Ben Roethlisberger pass incomplete short right intended for Nate Washington. Penalty on Kendall Simmons: Offensive Holding (Declined),-0.390,-1.830
1,3:57,4,2,PIT 23,0,7,"Daniel Sepulveda punts 48 yards, returned by Yamon Figurs for 6 yards (tackle by James Harrison). Penalty on Arnold Harrison: Ineligible Downfield Kick (Offsetting), Penalty on BAL: Personal Foul (Offsetting) (no play)",-1.830,-1.830
1,3:45,4,2,PIT 23,0,7,"Daniel Sepulveda punts 45 yards, returned by Ed Reed for 6 yards (tackle by James Harrison). Ed Reed fumbles, recovered by Lawrence Timmons at BAL-33 and returned for 5 yards. Penalty on Devard Darling: Illegal Block Above the Waist (Declined)",-1.830,3.710
1,3:27,1,10,BAL 28,0,7,Willie Parker left guard for -3 yards (tackle by Justin Bannan),3.710,2.760
1,2:43,2,13,BAL 31,0,7,"Ben Roethlisberger pass incomplete short right intended for Hines Ward. Penalty on Corey Ivy: Defensive Pass Interference, 8 yards (no play)",2.760,4.040
1,2:35,1,10,BAL 23,0,7,"Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes. Penalty on Ray Lewis: Illegal Contact, 5 yards (no play)",4.040,4.370
1,2:30,1,10,BAL 18,0,7,Willie Parker right guard for 3 yards (tackle by Haloti Ngata and Ray Lewis),4.370,4.250
1,1:48,2,7,BAL 15,0,13,"Ben Roethlisberger pass complete short middle to Santonio Holmes for 15 yards, touchdown",4.250,7.000
1,,,,BAL 2,0,14,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,0,14,"Jeff Reed kicks off 66 yards, returned by Yamon Figurs for 21 yards (tackle by Anthony Madison)",0.000,0.610
1,1:35,1,10,BAL 25,0,14,Willis McGahee right tackle for 1 yard (tackle by Brett Keisel),0.610,0.200
1,0:56,2,9,BAL 26,0,14,Steve McNair pass complete short left to Derrick Mason for 7 yards (tackle by Deshea Townsend),0.200,0.430
1,0:26,3,2,BAL 33,0,14,"Willis McGahee up the middle for 2 yards (tackle by Troy Polamalu). Willis McGahee fumbles (forced by Troy Polamalu), recovered by Anthony Smith at BAL-36 (tackle by Derrick Mason)",0.430,-3.180
1,0:19,1,10,BAL 36,0,14,Willie Parker up the middle for 2 yards (tackle by Bart Scott),3.180,2.910
Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,BAL 34,0,14,Willie Parker up the middle for 4 yards (tackle by Jarret Johnson),2.910,2.740
2,14:21,3,4,BAL 30,0,20,"Ben Roethlisberger pass complete deep middle to Nate Washington for 30 yards, touchdown",2.740,7.000
2,,,,BAL 2,0,21,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,21,"Jeff Reed kicks off 65 yards, returned by Yamon Figurs for 17 yards (tackle by Anthony Madison)",0.000,0.410
2,14:08,1,10,BAL 22,0,21,"Steve McNair pass incomplete. Penalty on Steve McNair: Intentional Grounding, 13 yards",0.410,-1.730
2,13:59,2,23,BAL 9,0,21,Steve McNair pass incomplete short right intended for Quinn Sypniewski,-1.730,-2.940
2,13:45,3,23,BAL 9,0,21,Musa Smith right guard for 11 yards (tackle by James Farrior),-2.940,-2.030
2,13:25,4,12,BAL 20,0,21,Sam Koch punts 37 yards,-2.030,-1.800
2,13:13,1,10,PIT 43,0,21,Willie Parker right tackle for 2 yards (tackle by Dwan Edwards),1.800,1.520
2,12:30,2,8,PIT 45,0,21,Willie Parker up the middle for 2 yards (tackle by Terrell Suggs and Ray Lewis),1.520,1.090
2,11:45,3,6,PIT 47,0,21,Ben Roethlisberger sacked by Gerome Sapp for -8 yards,1.090,-0.780
2,11:23,4,14,PIT 39,0,21,Daniel Sepulveda punts 43 yards,-0.780,-0.040
2,11:14,1,10,BAL 18,0,21,Willis McGahee right end for 2 yards (tackle by Ike Taylor and Clark Haggans),0.040,-0.130
2,10:29,2,8,BAL 20,0,21,"Steve McNair sacked by James Harrison for -7 yards. Steve McNair fumbles (forced by James Harrison), recovered by Willis McGahee at BAL-13",-0.130,-3.180
2,9:31,3,25,BAL 3,0,21,"Penalty on Steve McNair: Delay of Game, 1 yards (no play)",-3.180,-3.290
2,9:07,3,26,BAL 2,0,21,Steve McNair pass complete short middle to Derrick Mason for 8 yards (tackle by Troy Polamalu),-3.290,-2.490
2,8:29,4,18,BAL 10,0,21,Sam Koch punts 40 yards,-2.490,-2.260
2,8:23,1,10,,0,21,Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes (defended by Corey Ivy),2.260,1.710
2,8:12,2,10,,0,21,Willie Parker left tackle for 5 yards (tackle by Corey Ivy and Dwan Edwards),1.710,1.690
2,7:30,3,5,BAL 45,0,21,Ben Roethlisberger pass complete short left to Hines Ward for 9 yards (tackle by Dawan Landry),1.690,3.180
2,7:06,1,10,BAL 36,0,21,Willie Parker up the middle for 3 yards (tackle by Terrell Suggs),3.180,3.040
2,6:27,2,7,BAL 33,0,21,Willie Parker up the middle for -2 yards (tackle by Bart Scott),3.040,2.080
2,5:48,3,9,BAL 35,0,27,"Ben Roethlisberger pass complete deep right to Santonio Holmes for 35 yards, touchdown",2.080,7.000
2,,,,BAL 2,0,28,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,28,"Jeff Reed kicks off 60 yards, returned by Yamon Figurs for 33 yards (tackle by Carey Davis)",0.000,1.800
2,5:34,1,10,BAL 43,0,28,Steve McNair pass complete short right to Derrick Mason for 5 yards (tackle by Ike Taylor),1.800,1.930
2,5:25,2,5,BAL 48,0,28,Steve McNair pass complete short middle to Derrick Mason for 4 yards (tackle by Deshea Townsend),1.930,1.750
2,4:36,3,1,PIT 48,0,28,Steve McNair pass complete short right to Derrick Mason for 3 yards (tackle by James Farrior),1.750,2.590
2,4:09,1,10,PIT 45,0,28,Steve McNair pass incomplete short middle intended for Demetrius Williams is intercepted by James Harrison at PIT-36 and returned for 20 yards (tackle by Derrick Mason),2.590,-2.650
2,4:00,1,10,BAL 44,0,28,Willie Parker right guard for 1 yard (tackle by Haloti Ngata and Bart Scott),2.650,2.250
2,3:17,2,9,BAL 43,0,28,Ben Roethlisberger pass complete short left to Willie Parker for 17 yards,2.250,3.840
2,3:00,1,10,BAL 26,0,28,Ben Roethlisberger pass complete short left to Santonio Holmes for 15 yards (tackle by Corey Ivy),3.840,4.840
2,2:05,1,10,BAL 11,0,28,Willie Parker up the middle for 4 yards (tackle by Jarret Johnson and Derrick Martin),4.840,4.890
2,1:57,2,6,BAL 7,0,34,"Ben Roethlisberger pass complete short right to Nate Washington for 7 yards, touchdown",4.890,7.000
2,,,,BAL 2,0,35,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,35,"Jeff Reed kicks off 70 yards, returned by Musa Smith for 52 yards (tackle by Allen Rossum). Penalty on Allen Rossum: Face Mask (15 Yards), 15 yards",0.000,3.380
2,1:41,1,10,PIT 33,6,35,"Willis McGahee right guard for 33 yards, touchdown. Penalty on Le'Ron McClain: Unnecessary Roughness, 15 yards",3.380,7.000
2,,,,PIT 2,7,35,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 15,7,35,"Rhys Lloyd kicks off 69 yards, returned by Allen Rossum for 29 yards (tackle by Prescott Burgess)",0.000,1.930
2,1:26,1,10,PIT 45,7,35,Ben Roethlisberger sacked by Terrell Suggs for -9 yards,1.930,0.170
2,1:19,,,,7,35,Timeout #1 by Baltimore Ravens,0.000,0.170
2,1:19,2,19,PIT 36,7,35,Najeh Davenport right end for 3 yards (tackle by Jarret Johnson),0.170,-0.100
2,1:11,,,,7,35,Timeout #2 by Baltimore Ravens,0.000,-0.100
2,1:11,3,16,PIT 39,7,35,Najeh Davenport left tackle for 14 yards (tackle by Ronnie Prude and David Pittman),-0.100,0.130
2,1:00,,,,7,35,Timeout #3 by Baltimore Ravens,0.000,0.130
2,1:00,4,2,BAL 47,7,35,Daniel Sepulveda punts 19 yards,0.130,-0.810
2,0:53,1,10,BAL 28,7,35,Steve McNair pass incomplete short left intended for Mark Clayton,0.810,0.260
2,0:50,2,10,BAL 28,7,35,Steve McNair sacked by Clark Haggans and James Harrison for -9 yards,0.260,-1.720
2,0:08,3,19,BAL 19,7,35,"Penalty on Adam Terry: False Start, 5 yards (no play)",-1.720,-2.140
Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,7,35,"Jeff Reed kicks off 63 yards, returned by Musa Smith for 19 yards (tackle by William Gay)",0.000,0.670
3,14:56,1,10,BAL 26,7,35,Willis McGahee right end for 2 yards (tackle by Clark Haggans and Casey Hampton),0.670,0.400
3,14:16,2,8,BAL 28,7,35,Steve McNair pass complete short left to Willis McGahee for 3 yards (tackle by James Harrison),0.400,0.100
3,13:34,3,5,BAL 31,7,35,Steve McNair sacked by James Farrior for -7 yards,0.100,-1.770
3,13:14,4,12,BAL 24,7,35,"Sam Koch punts 46 yards, returned by Allen Rossum for -1 yards (tackle by Justin Green)",-1.770,-0.870
3,13:01,1,10,PIT 29,7,35,Willie Parker up the middle for 3 yards (tackle by Dwan Edwards and Kelly Gregg),0.870,0.730
3,12:24,2,7,PIT 32,7,35,Willie Parker left guard for 3 yards (tackle by Dwan Edwards and Terrell Suggs),0.730,0.430
3,11:41,3,4,PIT 35,7,35,Ben Roethlisberger pass complete short right to Heath Miller for no gain,0.430,-1.040
3,10:58,4,4,PIT 35,7,35,"Daniel Sepulveda punts 49 yards, returned by Ed Reed for no gain. Penalty on Derrick Martin: Unnecessary Roughness, 8 yards",-1.040,0.380
3,10:46,1,10,BAL 8,7,35,Willis McGahee right end for 5 yards (tackle by Troy Polamalu),-0.380,-0.410
3,10:20,2,5,BAL 13,7,35,Willis McGahee left tackle for 4 yards (tackle by James Harrison),-0.410,-0.370
3,9:35,3,1,BAL 17,7,35,Steve McNair pass complete short right to Quinn Sypniewski for 5 yards (tackle by James Farrior),-0.370,0.410
3,8:57,1,10,BAL 22,7,35,Steve McNair pass complete short middle to Willis McGahee for 4 yards (tackle by James Farrior),0.410,0.410
3,8:21,2,6,BAL 26,7,35,Steve McNair pass incomplete short right intended for Willis McGahee,0.410,-0.290
3,8:16,3,6,BAL 26,7,35,Steve McNair pass incomplete short middle intended for Demetrius Williams,-0.290,-1.630
3,8:12,4,6,BAL 26,7,35,Sam Koch punts 30 yards,-1.630,-1.860
3,8:03,1,10,PIT 44,7,35,Najeh Davenport right guard for 5 yards (tackle by Justin Bannan and Jarret Johnson),1.860,1.990
3,7:24,2,5,PIT 49,7,35,Najeh Davenport right guard for -2 yards (tackle by Haloti Ngata and Jarret Johnson),1.990,1.030
3,6:37,3,7,PIT 47,7,35,Ben Roethlisberger pass complete deep right to Santonio Holmes for 45 yards (tackle by Corey Ivy),1.030,5.370
3,5:50,1,8,BAL 8,7,35,Najeh Davenport up the middle for 4 yards (tackle by Ray Lewis and Derrick Martin),5.370,5.340
3,5:07,2,4,BAL 4,7,35,Charlie Batch pass incomplete short left intended for Dan Kreider (defended by Ray Lewis),5.340,4.490
3,5:01,3,4,BAL 4,7,35,Charlie Batch pass incomplete short right intended for Hines Ward,4.490,3.030
3,4:57,4,4,BAL 4,7,38,Jeff Reed 22 yard field goal good,3.030,3.000
3,,,,PIT 30,7,38,"Jeff Reed kicks off 62 yards, returned by Musa Smith for 18 yards (tackle by LaMarr Woodley)",0.000,0.670
3,4:48,1,10,BAL 26,7,38,Steve McNair pass complete short left to Willis McGahee for 5 yards (tackle by James Harrison),0.670,0.810
3,4:05,2,5,BAL 31,7,38,Willis McGahee left tackle for -3 yards (tackle by James Harrison and Clark Haggans),0.810,-0.300
3,3:25,3,8,BAL 28,7,38,Steve McNair pass complete short right to Quinn Sypniewski for 4 yards (tackle by Troy Polamalu),-0.300,-1.240
3,2:49,4,4,BAL 32,7,38,Sam Koch punts 33 yards,-1.240,-1.270
3,2:40,1,10,PIT 35,7,38,Willie Parker left end for 2 yards (tackle by Ray Lewis),1.270,0.990
3,1:56,2,8,PIT 37,7,38,--,0.990,0.320
3,1:30,2,13,PIT 32,7,38,Charlie Batch pass incomplete short right intended for Nate Washington (defended by Bart Scott),0.320,-0.360
3,1:26,3,13,PIT 32,7,38,Najeh Davenport left end for 2 yards (tackle by Jarret Johnson),-0.360,-1.110
3,0:43,4,11,PIT 34,7,38,Daniel Sepulveda punts 54 yards,-1.110,0.350
3,0:35,1,10,BAL 12,7,38,Steve McNair pass complete short left to Mark Clayton for 2 yards (tackle by Troy Polamalu),-0.350,-0.610
3,0:04,2,8,BAL 14,7,38,Steve McNair sacked by James Harrison for -6 yards,-0.610,-1.890
Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,BAL 8,7,38,Steve McNair pass incomplete,-1.890,-2.490
4,14:45,4,14,BAL 8,7,38,"Sam Koch punts 53 yards, returned by Allen Rossum for 9 yards (tackle by Justin Green)",-2.490,-2.130
4,14:44,1,10,PIT 48,7,38,Willie Parker up the middle for 3 yards (tackle by Bart Scott),2.130,1.990
4,14:05,2,7,BAL 49,7,38,Willie Parker up the middle for 1 yard (tackle by Terrell Suggs and Bart Scott),1.990,1.420
4,13:21,3,6,BAL 48,7,38,Ben Roethlisberger sacked by Gary Stills for -5 yards. Penalty on Willie Colon: Offensive Holding (Declined),1.420,-0.260
4,12:53,4,11,PIT 47,7,38,"Daniel Sepulveda punts 43 yards, returned by Ed Reed for 7 yards (tackle by Andre Frazier)",-0.260,0.060
4,12:41,1,10,BAL 17,7,38,Willis McGahee right tackle for 3 yards (tackle by Troy Polamalu and Travis Kirschke),-0.060,-0.060
4,12:02,2,7,BAL 20,7,38,Kyle Boller pass incomplete deep middle intended for Mark Clayton,-0.060,-0.870
4,11:55,3,7,BAL 20,7,38,Kyle Boller pass incomplete short middle intended for Mark Clayton,-0.870,-2.030
4,11:51,4,7,BAL 20,7,38,"Sam Koch punts 46 yards, returned by Allen Rossum for 2 yards (tackle by Gary Stills)",-2.030,-1.330
4,11:37,1,10,PIT 36,7,38,Willie Parker up the middle for no gain (tackle by Terrell Suggs),1.330,0.790
4,10:52,2,10,PIT 36,7,38,Willie Parker up the middle for 3 yards (tackle by Terrell Suggs and Kelly Gregg),0.790,0.500
4,10:11,3,7,PIT 39,7,38,Charlie Batch pass complete short right to Nate Washington for 14 yards (tackle by Corey Ivy),0.500,2.460
4,9:26,1,10,BAL 47,7,38,Najeh Davenport up the middle for 1 yard (tackle by Bart Scott and Haloti Ngata),2.460,2.050
4,8:41,2,9,BAL 46,7,38,Najeh Davenport right end for -4 yards (tackle by Ed Reed),2.050,0.830
4,8:01,3,13,,7,38,"Penalty on Trevor Pryce: Encroachment, 5 yards (no play)",0.830,1.490
4,7:37,3,8,BAL 45,7,38,Charlie Batch pass incomplete deep middle intended for Hines Ward is intercepted by Ed Reed at BAL-16 and returned for 22 yards (tackle by Heath Miller),1.490,-1.470
4,7:25,1,10,BAL 38,7,38,"Penalty on Marshall Yanda: False Start, 5 yards (no play)",1.470,1.140
4,7:25,1,15,BAL 33,7,38,Kyle Boller pass complete short left to Quinn Sypniewski for 9 yards (tackle by Tyrone Carter),1.140,1.460
4,7:04,2,6,BAL 42,7,38,Kyle Boller pass incomplete short middle intended for Derrick Mason (defended by Deshea Townsend),1.460,0.760
4,6:59,3,6,BAL 42,7,38,Kyle Boller sacked by Travis Kirschke for -7 yards,0.760,-1.040
4,6:37,4,13,BAL 35,7,38,"Sam Koch punts 45 yards, returned by Allen Rossum for no gain. Penalty on PIT: Offensive Holding, 10 yards",-1.040,0.380
4,6:26,1,10,PIT 10,7,38,Carey Davis left guard for 8 yards (tackle by Derrick Martin),-0.380,0.070
4,5:41,2,2,PIT 18,7,38,"Carey Davis right end for no gain (tackle by Bart Scott). Penalty on Heath Miller: Offensive Holding, 9 yards (no play)",0.070,-0.850
4,5:12,2,11,PIT 9,7,38,Carey Davis up the middle for 5 yards (tackle by Ray Lewis and Justin Bannan),-0.850,-0.950
4,4:18,3,6,PIT 14,7,38,Najeh Davenport right tackle for 8 yards (tackle by Derrick Martin),-0.950,0.410
4,3:31,1,10,PIT 22,7,38,Najeh Davenport up the middle for 2 yards (tackle by Kelly Gregg),0.410,0.140
4,2:47,2,8,PIT 24,7,38,Carey Davis right tackle for 1 yard (tackle by Haloti Ngata and Terrell Suggs),0.140,-0.430
4,2:04,3,7,PIT 25,7,38,Najeh Davenport left guard for 1 yard (tackle by Ray Lewis and Kelly Gregg),-0.430,-1.630
4,2:00,4,6,PIT 26,7,38,Daniel Sepulveda punts 54 yards,-1.630,-0.280
4,1:48,1,10,BAL 20,7,38,Kyle Boller pass complete short left to Derrick Mason for 8 yards (tackle by Tyrone Carter),0.280,0.810
4,1:20,2,2,BAL 28,7,38,Kyle Boller pass complete short right to Mark Clayton for 4 yards (tackle by Ike Taylor),0.810,1.070
4,1:18,1,10,BAL 32,7,38,Kyle Boller pass incomplete deep left intended for Demetrius Williams,1.070,0.530
4,1:13,2,10,BAL 32,7,38,Kyle Boller pass incomplete short left intended for Quinn Sypniewski (defended by Tyrone Carter),0.530,-0.160
4,1:08,3,10,BAL 32,7,38,Kyle Boller pass incomplete deep middle intended for Derrick Mason (defended by William Gay),-0.160,-1.240
4,1:02,4,10,BAL 32,7,38,"Sam Koch punts 55 yards, returned by Allen Rossum for 49 yards (tackle by Sam Koch)",-1.240,-3.050
4,0:45,1,10,BAL 38,7,38,Charlie Batch kneels for no gain,3.050,2.510
4,0:18,2,10,BAL 38,7,38,Charlie Batch kneels for no gain,2.510,1.820
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
