Unnamed: 0,BAL,PIT
First Downs,5,14
Rush-Yds-TDs,14-64-1,39-90-0
Cmp-Att-Yd-TD-INT,16-31-84-0-1,14-21-223-5-1
Sacked-Yards,6-44,3-22
Net Pass Yards,40,201
Total Yards,104,291
Fumbles-Lost,4-3,0-0
Turnovers,4,1
Penalties-Yards,11-85,5-49
Third Down Conv.,3-15,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,23:45,36:15
