Quarter,Time,Down,ToGo,Location,BUF,GNB,Detail,EPB,EPA
2,8:27,2,10,GNB 49,0,13,LeSean McCoy left guard for 5 yards (tackle by Josh Jackson and Mike Daniels),1.780,1.750
2,7:44,3,5,GNB 44,0,13,Josh Allen pass incomplete short left intended for Andre Holmes,1.750,0.330
2,7:39,,,,,,Timeout #2 by Green Bay Packers,,
2,7:39,4,5,GNB 44,0,13,"Corey Bojorquez punts 33 yards, fair catch by Tramon Williams at GB-11",0.330,0.370
2,7:32,1,10,GNB 11,0,13,Aaron Rodgers pass complete short left to Geronimo Allison for 7 yards (tackle by Ryan Lewis),-0.370,0.000
2,6:58,2,3,GNB 18,0,13,Jamaal Williams up the middle for 2 yards (tackle by Tremaine Edmunds and Jordan Poyer),0.000,-0.370
2,6:13,3,1,GNB 20,0,13,Jamaal Williams left end for 1 yard (tackle by Shaq Lawson),-0.370,0.340
2,5:26,1,10,GNB 21,0,13,Jamaal Williams up the middle for 6 yards (tackle by Nate Orchard),0.340,0.610
2,4:52,2,4,GNB 27,0,13,Aaron Rodgers pass incomplete short left intended for Lance Kendricks,0.610,-0.100
2,4:46,3,4,GNB 27,0,13,Aaron Rodgers pass complete short middle to Davante Adams for 25 yards (tackle by Ryan Lewis),-0.100,2.390
2,4:14,1,10,BUF 48,0,13,Jamaal Williams left guard for 4 yards (tackle by Taron Johnson),2.390,2.390
2,3:41,2,6,BUF 44,0,13,Aaron Rodgers sacked by Siran Neal for -10 yards,2.390,0.370
2,2:55,3,16,GNB 46,0,13,Aaron Rodgers pass complete short left to Davante Adams for 3 yards (tackle by Jerry Hughes),0.370,-0.130
2,2:49,,,,,,Timeout #1 by Buffalo Bills,,
2,2:48,4,13,GNB 49,0,13,"JK Scott punts 51 yards, touchback.",-0.130,-0.280
2,2:41,1,10,BUF 20,0,13,Josh Allen pass incomplete short right intended for Charles Clay,0.280,-0.270
2,2:35,2,10,BUF 20,0,13,Chris Ivory left end for -2 yards (tackle by Blake Martinez),-0.270,-1.330
2,2:29,,,,,,Timeout #3 by Green Bay Packers,,
2,2:29,3,12,BUF 18,0,13,"Josh Allen right end for 8 yards (tackle by Clay Matthews and Blake Martinez). Penalty on Blake Martinez: Unsportsmanlike Conduct, 15 yards",-1.330,1.660
2,2:00,1,10,BUF 41,0,13,Josh Allen pass incomplete short right intended for Robert Foster,1.660,1.120
2,1:55,2,10,BUF 41,0,13,Josh Allen pass incomplete short right intended for Kelvin Benjamin (defended by Josh Jackson),1.120,0.430
2,1:51,3,10,BUF 41,0,13,Josh Allen pass complete deep left to Kelvin Benjamin for 34 yards (tackle by Jaire Alexander and Tramon Williams),0.430,3.910
2,1:28,1,10,GNB 25,0,13,Josh Allen pass incomplete short right intended for LeSean McCoy,3.910,3.360
2,1:21,2,10,GNB 25,0,13,Josh Allen pass complete short left to Andre Holmes for 5 yards (tackle by Ha Ha Clinton-Dix and Tramon Williams),3.360,3.340
2,0:56,,,,,,Timeout #2 by Buffalo Bills,,
2,0:56,3,5,GNB 20,0,13,Josh Allen pass deep middle intended for Zay Jones is intercepted by Jaire Alexander at GB-0 and returned for 27 yards,3.340,-0.670
2,0:43,1,10,GNB 26,0,13,Aaron Rodgers pass complete short middle to Ty Montgomery for 13 yards (tackle by Lafayette Pitts),0.670,1.530
2,0:36,1,10,GNB 39,0,13,Aaron Rodgers pass complete short left to Geronimo Allison for 12 yards (tackle by TreDavious White),1.530,2.320
2,0:25,1,10,BUF 49,0,13,Aaron Rodgers pass incomplete deep right intended for Geronimo Allison,2.320,1.780
2,0:18,2,10,BUF 49,0,13,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,1.780,1.090
2,0:16,3,10,BUF 49,0,13,Aaron Rodgers left end for 15 yards (tackle by Lorenzo Alexander),1.090,3.310
2,0:07,,,,,,Timeout #3 by Buffalo Bills,,
2,0:07,1,10,BUF 34,0,13,Aaron Rodgers pass incomplete deep right intended for Geronimo Allison,3.310,2.770
2,0:03,2,10,BUF 34,0,16,Mason Crosby 52 yard field goal good,2.770,-3.000
Quarter,Time,Down,ToGo,Location,BUF,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,0,16,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,0,16,Aaron Jones right tackle for 11 yards (tackle by Jordan Poyer),0.610,1.330
3,14:27,1,10,GNB 36,0,16,Aaron Rodgers pass complete short right to Geronimo Allison for 8 yards (tackle by Matt Milano),1.330,1.870
3,13:48,2,2,GNB 44,0,16,Aaron Rodgers pass complete short right to Geronimo Allison for 17 yards (tackle by Jordan Poyer),1.870,2.980
3,13:16,1,10,BUF 39,0,16,Aaron Rodgers pass incomplete short right intended for Geronimo Allison,2.980,2.440
3,13:12,2,10,BUF 39,0,16,Aaron Rodgers pass complete short middle to Davante Adams for 9 yards (tackle by TreDavious White),2.440,2.940
3,12:31,3,1,BUF 30,0,16,Aaron Rodgers pass complete short middle to Davante Adams for 10 yards (tackle by Shaq Lawson and Eddie Yarbrough),2.940,4.240
3,11:54,1,10,BUF 20,0,16,Aaron Jones up the middle for 2 yards (tackle by Nate Orchard),4.240,3.960
3,11:26,2,8,BUF 18,0,16,Aaron Rodgers pass incomplete short middle intended for Jimmy Graham (defended by Ryan Lewis),3.960,3.220
3,11:20,3,8,BUF 18,0,16,Aaron Rodgers pass incomplete short middle intended for Davante Adams,3.220,2.250
3,11:17,4,8,BUF 18,0,19,Mason Crosby 36 yard field goal good,2.250,3.000
3,11:13,,,GNB 35,0,19,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,11:13,1,10,BUF 25,0,19,LeSean McCoy up the middle for 11 yards (tackle by Clay Matthews and Antonio Morrison),0.610,1.330
3,11:13,1,10,BUF 36,0,19,"Penalty on Khari Lee: False Start, 5 yards (no play)",1.330,1.000
3,10:19,1,15,BUF 31,0,19,Josh Allen pass complete short left to Andre Holmes for 3 yards (tackle by Tramon Williams),1.000,0.520
3,9:39,2,12,BUF 34,0,19,Josh Allen pass complete short right to Khari Lee for 5 yards (tackle by Blake Martinez),0.520,0.500
3,8:56,3,7,BUF 39,0,19,Josh Allen pass complete short middle to Charles Clay for 17 yards (tackle by Ha Ha Clinton-Dix),0.500,2.650
3,8:08,1,10,GNB 44,0,19,"Josh Allen pass complete short left to LeSean McCoy for 13 yards (tackle by Reggie Gilbert). Penalty on Khari Lee: Offensive Holding, 10 yards (no play)",2.650,1.990
3,7:42,1,20,BUF 46,0,19,Josh Allen left end for no gain (tackle by Dean Lowry and Blake Martinez),1.990,0.760
3,7:00,2,20,BUF 46,0,19,Josh Allen up the middle for 3 yards (tackle by Kyler Fackrell),0.760,0.500
3,6:14,3,17,BUF 49,0,19,Josh Allen pass deep left intended for Kelvin Benjamin is intercepted by Ha Ha Clinton-Dix at GB-30 and returned for no gain,0.500,-0.940
3,6:05,1,10,GNB 30,0,19,Aaron Rodgers pass complete deep middle to Geronimo Allison for 27 yards (tackle by Ryan Lewis),0.940,2.720
3,5:23,1,10,BUF 43,0,19,Jamaal Williams up the middle for 7 yards (tackle by Star Lotulelei and Nate Orchard),2.720,3.120
3,4:47,2,3,BUF 36,0,19,Aaron Rodgers pass incomplete short middle intended for Jimmy Graham (defended by TreDavious White),3.120,2.410
3,4:43,3,3,BUF 36,0,19,Aaron Rodgers pass incomplete deep right intended for Geronimo Allison,2.410,0.890
3,4:35,4,3,BUF 36,0,19,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling (defended by Ryan Lewis),0.890,-1.330
3,4:31,1,10,BUF 36,0,19,LeSean McCoy up the middle for 2 yards (tackle by Blake Martinez),1.330,1.060
3,4:09,2,8,BUF 38,0,19,Josh Allen pass complete short left to LeSean McCoy for 4 yards (tackle by Ha Ha Clinton-Dix),1.060,0.890
3,3:37,3,4,BUF 42,0,19,Josh Allen sacked by Reggie Gilbert for -7 yards,0.890,-1.040
3,2:50,4,11,BUF 35,0,19,"Corey Bojorquez punts 49 yards, returned by Tramon Williams for 3 yards (tackle by Lorenzo Alexander). Penalty on Josh Jones: Defensive Offside (Declined)",-1.040,-0.150
3,2:40,1,10,GNB 19,0,19,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by TreDavious White),0.150,-0.390
3,2:32,2,10,GNB 19,0,19,Ty Montgomery up the middle for -1 yards (tackle by Jerry Hughes and Harrison Phillips),-0.390,-1.250
3,1:50,3,11,GNB 18,0,19,Aaron Rodgers pass incomplete short right intended for Geronimo Allison,-1.250,-2.240
3,1:41,4,11,GNB 18,0,19,"JK Scott punts 43 yards, returned by Ray-Ray McCloud for -1 yards (tackle by Reggie Gilbert)",-2.240,-1.470
3,1:32,1,10,BUF 38,0,19,Josh Allen right end for 6 yards (tackle by Oren Burks),1.470,1.730
3,0:54,2,4,BUF 44,0,19,Chris Ivory right end for 1 yard (tackle by Clay Matthews),1.730,1.160
3,0:13,3,3,BUF 45,0,19,Josh Allen sacked by Jermaine Whitehead for -16 yards,1.160,-1.440
Quarter,Time,Down,ToGo,Location,BUF,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,19,BUF 29,0,19,"Corey Bojorquez punts 39 yards, returned by Tramon Williams for 1 yard (tackle by Taiwan Jones)",-1.440,-1.140
4,14:48,1,10,GNB 33,0,19,Aaron Rodgers pass incomplete short right intended for Davante Adams,1.140,0.590
4,14:45,2,10,GNB 33,0,19,Aaron Jones up the middle for 4 yards (tackle by Rafael Bush and Lorenzo Alexander),0.590,0.430
4,14:03,3,6,GNB 37,0,19,Aaron Rodgers pass complete short middle to Jimmy Graham for 13 yards (tackle by Tremaine Edmunds),0.430,2.260
4,13:21,1,10,GNB 50,0,19,Aaron Rodgers pass complete short right to Davante Adams for 4 yards (tackle by TreDavious White),2.260,2.250
4,12:38,2,6,BUF 46,0,19,Aaron Jones right end for no gain (tackle by Jordan Poyer),2.250,1.550
4,11:51,3,6,BUF 46,0,19,"Aaron Rodgers sacked by Taron Johnson for -6 yards. Aaron Rodgers fumbles (forced by Taron Johnson), recovered by Kyle Williams at GB-48 (tackle by David Bakhtiari)",1.550,-2.390
4,11:45,1,10,GNB 48,0,19,Josh Allen sacked by Blake Martinez for -8 yards,2.390,0.770
4,11:02,2,18,BUF 44,0,19,Josh Allen sacked by Kyler Fackrell for -10 yards,0.770,-1.220
4,10:07,3,28,BUF 34,0,19,Josh Allen pass incomplete deep left intended for Zay Jones (defended by Josh Jackson),-1.220,-1.110
4,10:00,4,28,BUF 34,0,19,Corey Bojorquez punts 47 yards out of bounds,-1.110,-0.150
4,9:51,1,10,GNB 19,0,19,Aaron Jones right end for no gain (tackle by Eddie Yarbrough and Trent Murphy),0.150,-0.390
4,9:11,2,10,GNB 19,0,19,Aaron Jones up the middle for 9 yards (tackle by TreDavious White),-0.390,0.100
4,8:26,3,1,GNB 28,0,19,Aaron Rodgers pass complete short right to Lance Kendricks for 5 yards (tackle by Rafael Bush),0.100,1.140
4,7:48,1,10,GNB 33,0,19,Jamaal Williams left end for no gain (tackle by Ramon Humber and Lorenzo Alexander),1.140,0.590
4,7:03,2,10,GNB 33,0,19,Aaron Rodgers pass incomplete deep left intended for Davante Adams,0.590,-0.100
4,6:56,3,10,GNB 33,0,19,Aaron Rodgers pass complete short middle to Davante Adams for 9 yards (tackle by Tremaine Edmunds and Taron Johnson),-0.100,-0.590
4,6:11,4,1,GNB 42,0,19,"JK Scott punts 42 yards, fair catch by Ray-Ray McCloud at BUF-16",-0.590,0.140
4,6:02,1,10,BUF 16,0,19,Josh Allen pass complete short left to Zay Jones for 7 yards (tackle by Tramon Williams),-0.140,0.420
4,5:34,2,3,BUF 23,0,19,Josh Allen pass complete short right to Charles Clay for 8 yards (tackle by Blake Martinez),0.420,1.000
4,5:11,1,10,BUF 31,0,19,"Josh Allen pass complete short right to Zay Jones for 5 yards (tackle by Josh Jackson and Oren Burks). Penalty on Josh Jackson: Unnecessary Roughness, 15 yards",1.000,2.320
4,4:57,1,10,GNB 49,0,19,Josh Allen pass complete short middle to Zay Jones for 15 yards (tackle by Josh Jackson),2.320,3.310
4,4:38,1,10,GNB 34,0,19,Josh Allen pass complete short right to Charles Clay for 5 yards (tackle by Oren Burks),3.310,3.450
4,4:34,2,5,GNB 29,0,19,Josh Allen pass incomplete short right intended for LeSean McCoy,3.450,2.740
4,4:27,3,5,GNB 29,0,19,"Josh Allen right end for 2 yards (tackle by Kenny Clark). Josh Allen fumbles (forced by Kenny Clark), recovered by Kenny Clark at GB-27 (tackle by Josh Allen)",2.740,-0.740
4,4:21,1,10,GNB 27,0,19,Ty Montgomery left end for 6 yards (tackle by Tremaine Edmunds),0.740,1.010
4,4:15,,,,,,Timeout #1 by Buffalo Bills,,
4,4:15,2,4,GNB 33,0,19,"Ty Montgomery right guard for no gain (tackle by Ryan Lewis). Ty Montgomery fumbles (forced by Ryan Lewis), recovered by Lance Kendricks at GB-34 (tackle by Nate Orchard)",1.010,0.430
4,4:09,,,,,,Timeout #2 by Buffalo Bills,,
4,4:09,3,3,GNB 34,0,19,Aaron Rodgers pass complete deep right to Marquez Valdes-Scantling for 38 yards (tackle by Ryan Lewis),0.430,3.710
4,3:21,1,10,BUF 28,0,19,Jamaal Williams up the middle for no gain (tackle by Harrison Phillips and Jordan Poyer),3.710,3.170
4,3:17,,,,,,Timeout #3 by Buffalo Bills,,
4,3:17,2,10,BUF 28,0,19,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",3.170,2.490
4,3:17,2,15,BUF 33,0,19,Jamaal Williams left end for -3 yards (tackle by Shaq Lawson and Matt Milano),2.490,1.420
4,2:32,3,18,BUF 36,0,19,Aaron Rodgers right end for 2 yards (tackle by Kyle Williams),1.420,1.060
4,2:00,4,16,BUF 34,0,22,Mason Crosby 52 yard field goal good,1.060,3.000
4,1:55,,,GNB 35,0,22,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,1:55,1,10,BUF 25,0,22,Josh Allen pass complete short middle to Zay Jones for 11 yards (tackle by Josh Jackson),0.610,1.330
4,1:34,1,10,BUF 36,0,22,"Josh Allen pass incomplete short middle intended for Charles Clay. Penalty on Josh Jackson: Face Mask (15 Yards), 15 yards (no play)",1.330,2.320
4,1:29,1,10,GNB 49,0,22,Josh Allen sacked by Kyler Fackrell for -6 yards,2.320,0.970
4,0:55,2,16,BUF 45,0,22,Josh Allen pass complete short middle to Jason Croom for 13 yards (tackle by Kentrell Brice),0.970,2.020
4,0:33,3,3,GNB 42,0,22,Josh Allen sacked by Kyler Fackrell for -8 yards,2.020,-0.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
