Unnamed: 0,BUF,GNB
First Downs,11,22
Rush-Yds-TDs,16-58-0,32-141-1
Cmp-Att-Yd-TD-INT,16-33-151-0-2,22-40-298-1-1
Sacked-Yards,7-64,2-16
Net Pass Yards,87,282
Total Yards,145,423
Fumbles-Lost,1-1,3-1
Turnovers,3,2
Penalties-Yards,3-20,5-60
Third Down Conv.,3-16,11-19
Fourth Down Conv.,0-0,0-1
Time of Possession,25:23,34:37
