Quarter,Time,Tm,Detail,BUF,GNB
1.0,5:15,Packers,Jimmy Graham 3 yard pass from Aaron Rodgers (Mason Crosby kick failed),0,6
2.0,11:05,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),0,13
,0:00,Packers,Mason Crosby 52 yard field goal,0,16
3.0,11:13,Packers,Mason Crosby 36 yard field goal,0,19
4.0,1:55,Packers,Mason Crosby 52 yard field goal,0,22
