Quarter,Time,Tm,Detail,DET,NYG
1.0,9:25,Lions,Roy Williams 18 yard pass from Joey Harrington (Jason Hanson kick),7,0
,0:16,Giants,Tiki Barber 62 yard pass from Kurt Warner (Steve Christie kick),7,7
2.0,7:07,Giants,Steve Christie 19 yard field goal,7,10
3.0,9:34,Lions,Kevin Jones 2 yard rush (Jason Hanson kick),14,10
4.0,8:18,Giants,Steve Christie 25 yard field goal,14,13
,2:52,Lions,Reggie Swinton 2 yard pass from Joey Harrington (Jason Hanson kick),21,13
,1:46,Lions,Artose Pinner 8 yard rush (Jason Hanson kick),28,13
