Unnamed: 0,DET,NYG
First Downs,22,22
Rush-Yds-TDs,29-115-2,26-75-0
Cmp-Att-Yd-TD-INT,18-22-230-2-0,23-34-270-1-1
Sacked-Yards,3-20,6-20
Net Pass Yards,210,250
Total Yards,325,325
Fumbles-Lost,1-0,5-1
Turnovers,0,2
Penalties-Yards,7-65,4-25
Third Down Conv.,6-10,4-12
Fourth Down Conv.,0-0,1-3
Time of Possession,27:44,32:16
