Unnamed: 0,GNB,CHI
First Downs,20,15
Rush-Yds-TDs,29-65-0,26-74-1
Cmp-Att-Yd-TD-INT,24-39-260-2-1,14-27-142-1-2
Sacked-Yards,0-0,3-6
Net Pass Yards,260,136
Total Yards,325,210
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,6-50,4-35
Third Down Conv.,8-17,3-12
Fourth Down Conv.,2-2,1-1
Time of Possession,35:42,27:50
