Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",,
1,15:00,1,10,SFO 25,0,0,"Penalty on Randy Gregory: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,15:00,1,5,SFO 30,0,0,Deebo Samuel up the middle for 9 yards (tackle by Jayron Kearse),,
1,14:21,1,10,SFO 39,0,0,Deebo Samuel up the middle for 1 yard (tackle by Randy Gregory),,
1,13:43,2,9,SFO 40,0,0,Jimmy Garoppolo pass complete short left to Travis Benjamin for 17 yards (tackle by Anthony Brown),,
1,13:04,1,10,DAL 43,0,0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 11 yards (tackle by Anthony Brown and Leighton Vander Esch),,
1,12:25,1,10,DAL 32,0,0,Elijah Mitchell right guard for 13 yards (tackle by Damontae Kazee and Leighton Vander Esch),,
1,11:42,1,10,DAL 19,0,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 15 yards (tackle by Damontae Kazee and Osa Odighizuwa),,
1,11:04,1,4,DAL 4,6,0,"Elijah Mitchell right end for 4 yards, touchdown",,
1,10:54,,,DAL 15,7,0,Robbie Gould kicks extra point good,,
1,10:54,,,SFO 35,7,0,"Robbie Gould kicks off 65 yards, touchback.",,
1,10:54,1,10,DAL 25,7,0,Dak Prescott pass incomplete short right,,
1,10:50,2,10,DAL 25,7,0,Ezekiel Elliott up the middle for -3 yards (tackle by Dre Greenlaw),,
1,10:15,3,13,DAL 22,7,0,Dak Prescott sacked by and Nick Bosa for -10 yards and Samson Ebukam for -10 yards,,
1,9:39,4,23,DAL 12,7,0,"Bryan Anger punts 57 yards, returned by Travis Benjamin for 11 yards (tackle by Dorance Armstrong)",,
1,9:27,1,10,SFO 42,7,0,Jimmy Garoppolo pass incomplete short left intended for Elijah Mitchell (defended by Carlos Watkins),,
1,9:23,2,10,SFO 42,7,0,Jimmy Garoppolo pass incomplete short middle intended for Jauan Jennings,,
1,9:19,3,10,SFO 42,7,0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 11 yards (tackle by Jourdan Lewis),,
1,8:48,1,10,DAL 47,7,0,Elijah Mitchell right end for 4 yards (tackle by Donovan Wilson),,
1,8:09,2,6,DAL 43,7,0,Elijah Mitchell left guard for 9 yards (tackle by Jayron Kearse and Malik Hooker),,
1,7:29,1,10,DAL 34,7,0,Elijah Mitchell right tackle for 5 yards (tackle by Donovan Wilson),,
1,6:52,2,5,DAL 29,7,0,Jimmy Garoppolo pass complete short right to Elijah Mitchell for -11 yards (tackle by Dorance Armstrong),,
1,6:01,3,16,DAL 40,7,0,"Penalty on Jimmy Garoppolo: Delay of Game, 5 yards (accepted) (no play)",,
1,5:39,3,21,DAL 45,7,0,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 10 yards (tackle by Anthony Brown),,
1,4:58,4,11,DAL 35,10,0,Robbie Gould 53 yard field goal good,,
1,4:53,,,SFO 35,10,0,"Robbie Gould kicks off 65 yards, returned by Tony Pollard for 18 yards (tackle by Demetrius Flannigan-Fowles). Penalty on Luke Gifford: Offensive Holding, 9 yards (accepted)",,
1,4:47,1,10,DAL 9,10,0,Dak Prescott pass incomplete short right intended for Amari Cooper (defended by Ambry Thomas),,
1,4:42,2,10,DAL 9,10,0,Dak Prescott pass complete short left to Amari Cooper for 10 yards (tackle by Emmanuel Moseley),,
1,4:10,1,10,DAL 19,10,0,Ezekiel Elliott left tackle for 4 yards (tackle by Samson Ebukam),,
1,3:39,2,6,DAL 23,10,0,Dak Prescott pass incomplete intended for Ezekiel Elliott,,
1,3:35,3,6,DAL 23,10,0,"Dak Prescott pass complete deep middle to CeeDee Lamb for no gain (tackle by Dre Greenlaw). Penalty on Connor Williams: Offensive Holding, 10 yards (accepted) (no play)",,
1,3:14,3,16,DAL 13,10,0,Dak Prescott pass complete short left to Cedrick Wilson for 6 yards. Cedrick Wilson fumbles,,
1,2:45,4,10,DAL 19,10,0,"Bryan Anger punts 59 yards, fair catch by Travis Benjamin at SF-22",,
1,2:38,1,10,SFO 22,10,0,Elijah Mitchell right tackle for -1 yards (tackle by Trysten Hill and DeMarcus Lawrence),,
1,1:55,2,11,SFO 21,10,0,Elijah Mitchell right tackle for 6 yards (tackle by Leighton Vander Esch and Jayron Kearse),,
1,1:13,3,5,SFO 27,10,0,"Penalty on Randy Gregory: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,0:56,1,10,SFO 32,10,0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Leighton Vander Esch),,
1,0:16,,,,,,Timeout #1 by San Francisco 49ers,,
1,0:16,2,1,SFO 41,10,0,Elijah Mitchell right end for -2 yards (tackle by Micah Parsons and Leighton Vander Esch),,
Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,SFO 39,10,0,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 19 yards (tackle by Damontae Kazee),,
2,14:17,1,10,DAL 42,10,0,Elijah Mitchell left tackle for no gain (tackle by Micah Parsons and Neville Gallimore),,
2,13:28,2,10,DAL 42,10,0,Deebo Samuel right end for 1 yard (tackle by Micah Parsons and Damontae Kazee),,
2,12:47,3,9,DAL 41,10,0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 10 yards (tackle by Anthony Brown),,
2,11:57,1,10,DAL 31,10,0,Elijah Mitchell left tackle for 5 yards (tackle by Neville Gallimore and Micah Parsons),,
2,11:15,2,5,DAL 26,10,0,Elijah Mitchell up the middle for 2 yards (tackle by Jayron Kearse and Leighton Vander Esch),,
2,10:28,3,3,DAL 24,10,0,Deebo Samuel up the middle for 2 yards (tackle by Damontae Kazee and Trysten Hill),,
2,9:44,4,1,DAL 22,13,0,Robbie Gould 40 yard field goal good,,
2,9:40,,,SFO 35,13,0,"Robbie Gould kicks off 64 yards, returned by Tony Pollard for 32 yards (tackle by Demetrius Flannigan-Fowles)",,
2,9:34,1,10,DAL 33,13,0,Ezekiel Elliott right end for 5 yards (tackle by Ambry Thomas),,
2,9:03,2,5,DAL 38,13,0,Ezekiel Elliott right guard for 5 yards (tackle by Arik Armstead and Nick Bosa),,
2,8:29,1,10,DAL 43,13,0,Tony Pollard right end for 8 yards (tackle by Ambry Thomas),,
2,8:01,2,2,SFO 49,13,0,CeeDee Lamb left end for 5 yards (tackle by Emmanuel Moseley),,
2,7:26,1,10,SFO 44,13,0,Tony Pollard right guard for 1 yard (tackle by Fred Warner and Kevin Givens),,
2,7:03,2,9,SFO 43,13,0,Dak Prescott pass complete short left to Cedrick Wilson for 18 yards (tackle by K'Waun Williams),,
2,6:26,1,10,SFO 25,13,0,Tony Pollard left guard for 5 yards (tackle by Fred Warner and Dre Greenlaw),,
2,6:02,2,5,SFO 20,13,0,Tony Pollard left guard for no gain (tackle by Kevin Givens and Dre Greenlaw),,
2,5:24,3,5,SFO 20,13,6,"Dak Prescott pass complete deep right to Amari Cooper for 20 yards, touchdown",,
2,5:19,,,SFO 15,13,7,Greg Zuerlein kicks extra point good,,
2,5:19,,,DAL 35,13,7,"Greg Zuerlein kicks off 65 yards, touchback.",,
2,5:19,1,10,SFO 25,13,7,Jimmy Garoppolo pass complete deep right to Brandon Aiyuk for 37 yards (tackle by Damontae Kazee),,
2,4:39,1,10,DAL 38,13,7,Elijah Mitchell right end for -1 yards (tackle by Micah Parsons and Malik Hooker),,
2,3:56,2,11,DAL 39,13,7,Jimmy Garoppolo pass complete short middle to Kyle Juszczyk for 5 yards (tackle by Leighton Vander Esch and Malik Hooker),,
2,3:12,3,6,DAL 34,13,7,Jimmy Garoppolo pass incomplete short left intended for George Kittle (defended by Dorance Armstrong),,
2,3:08,4,6,DAL 34,16,7,Robbie Gould 52 yard field goal good,,
2,3:03,,,SFO 35,16,7,"Robbie Gould kicks off 65 yards, touchback.",,
2,3:03,1,10,DAL 25,16,7,Dak Prescott pass complete short middle to Amari Cooper for 9 yards (tackle by Emmanuel Moseley),,
2,2:42,2,1,DAL 34,16,7,Ezekiel Elliott up the middle for no gain (tackle by Arik Armstead and Azeez Al-Shaair),,
2,2:21,3,1,DAL 34,16,7,Ezekiel Elliott left end for 1 yard (tackle by Nick Bosa),,
2,2:00,1,10,DAL 35,16,7,Dak Prescott pass incomplete short right intended for Cedrick Wilson,,
2,1:55,2,10,DAL 35,16,7,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,,
2,1:51,3,10,DAL 35,16,7,Dak Prescott pass complete short left to Dalton Schultz for 12 yards (tackle by Emmanuel Moseley),,
2,1:45,1,10,DAL 47,16,7,Dak Prescott pass complete short left to Amari Cooper for 8 yards (tackle by Emmanuel Moseley and Azeez Al-Shaair),,
2,1:24,2,2,SFO 45,16,7,Dak Prescott pass complete short left to Dalton Schultz for 6 yards (tackle by Emmanuel Moseley),,
2,1:19,1,10,SFO 39,16,7,"Dak Prescott pass incomplete short middle intended for Tony Pollard (defended by Fred Warner). Penalty on La'el Collins: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:15,1,20,SFO 49,16,7,Dak Prescott pass incomplete short right intended for Blake Jarwin,,
2,1:09,2,20,SFO 49,16,7,Dak Prescott pass complete short right to Ezekiel Elliott for no gain (tackle by Kentavius Street),,
2,0:41,3,20,SFO 49,16,7,Dak Prescott pass incomplete short middle intended for Cedrick Wilson,,
2,0:36,4,20,SFO 49,16,7,Bryan Anger punts 46 yards downed by Sean McKeon,,
2,0:22,1,10,SFO 3,16,7,Elijah Mitchell up the middle for 7 yards (tackle by Leighton Vander Esch and Damontae Kazee),,
2,0:16,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:16,2,3,SFO 10,16,7,Elijah Mitchell up the middle for 1 yard (tackle by Jayron Kearse and Osa Odighizuwa),,
2,0:13,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:13,3,2,SFO 11,16,7,Elijah Mitchell left tackle for 5 yards (tackle by Micah Parsons),,
Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,16,7,"Robbie Gould kicks off 65 yards, touchback.",,
3,15:00,1,10,DAL 25,16,7,Ezekiel Elliott right tackle for 1 yard (tackle by Dre Greenlaw),,
3,14:20,2,9,DAL 26,16,7,Dak Prescott pass complete short right to Dalton Schultz for 5 yards (tackle by Azeez Al-Shaair),,
3,13:46,3,4,DAL 31,16,7,"Penalty on Connor Williams: False Start, 5 yards (accepted) (no play)",,
3,13:46,3,9,DAL 26,16,7,"Penalty on La'el Collins: False Start, 5 yards (accepted) (no play)",,
3,13:23,3,14,DAL 21,16,7,Dak Prescott sacked by Arik Armstead for -6 yards,,
3,12:47,4,20,DAL 15,16,7,"Bryan Anger punts, returned by Travis Benjamin for no gain (tackle by C.J. Goodwin). Penalty on Mark Nzeocha: Roughing the Kicker, 15 yards (accepted) (no play)",,
3,12:22,1,10,DAL 30,16,7,Ezekiel Elliott left end for 9 yards (tackle by Jimmie Ward),,
3,11:49,2,1,DAL 39,16,7,Ezekiel Elliott left guard for 3 yards (tackle by Emmanuel Moseley),,
3,11:28,1,10,DAL 42,16,7,Dak Prescott scrambles right end for 3 yards (tackle by K'Waun Williams),,
3,10:47,2,7,DAL 45,16,7,Dak Prescott pass incomplete deep right intended for Cedrick Wilson,,
3,10:40,3,7,DAL 45,16,7,Dak Prescott pass incomplete short left intended for CeeDee Lamb,,
3,10:35,4,7,DAL 45,16,7,"Bryan Anger punts 48 yards, fair catch by Travis Benjamin at SF-7",,
3,10:28,1,10,SFO 7,16,7,"Elijah Mitchell up the middle for 1 yard (tackle by Jayron Kearse and Donovan Wilson). Penalty on Laken Tomlinson: Offensive Holding, 4 yards (accepted)",,
3,10:12,1,13,SFO 4,16,7,Elijah Mitchell left guard for 3 yards (tackle by Jayron Kearse and Donovan Wilson),,
3,9:34,2,11,SFO 6,16,7,"Penalty on Micah Parsons: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,9:15,2,5,SFO 12,16,7,Jimmy Garoppolo pass incomplete short right intended for Kyle Juszczyk,,
3,9:08,3,5,SFO 12,16,7,Jimmy Garoppolo pass complete short right to Jauan Jennings for 13 yards (tackle by Anthony Brown),,
3,8:39,1,10,SFO 25,16,7,Jimmy Garoppolo pass incomplete short right intended for Trent Sherfield (defended by Jayron Kearse),,
3,8:33,2,10,SFO 25,16,7,Deebo Samuel up the middle for 9 yards (tackle by Donovan Wilson and Jayron Kearse),,
3,7:48,3,1,SFO 34,16,7,Jimmy Garoppolo pass incomplete short left intended for Jauan Jennings,,
3,7:44,4,1,SFO 34,16,7,"Mitch Wishnowsky punts 43 yards, fair catch by CeeDee Lamb at DAL-23",,
3,7:37,1,10,DAL 23,16,7,Dak Prescott pass incomplete deep left intended for CeeDee Lamb,,
3,7:32,2,10,DAL 23,16,7,Dak Prescott pass complete short right to Dalton Schultz for 14 yards (tackle by Ambry Thomas),,
3,7:03,1,10,DAL 37,16,7,"Dak Prescott pass complete short left to Dalton Schultz for 5 yards (tackle by Jaquiski Tartt). Penalty on Cedrick Wilson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
3,6:40,1,15,DAL 32,16,7,Dak Prescott sacked by D.J. Jones for -13 yards,,
3,6:03,2,28,DAL 19,16,7,Dak Prescott pass intended for Cedrick Wilson is intercepted by K'Waun Williams at DAL-26 and returned for no gain (tackle by Cedrick Wilson),,
3,5:58,1,10,DAL 26,22,7,"Deebo Samuel right end for 26 yards, touchdown",,
3,5:50,,,DAL 15,23,7,Robbie Gould kicks extra point good,,
3,5:50,,,SFO 35,23,7,"Robbie Gould kicks off 65 yards, touchback.",,
3,5:50,1,10,DAL 25,23,7,Dak Prescott pass complete short right to Amari Cooper for 6 yards (tackle by Dre Greenlaw),,
3,5:28,2,4,DAL 31,23,7,Dak Prescott pass incomplete short left intended for CeeDee Lamb,,
3,5:23,3,4,DAL 31,23,7,Dak Prescott scrambles left end for 2 yards (tackle by Arden Key),,
3,4:38,4,2,DAL 33,23,7,"Bryan Anger punts 58 yards, fair catch by Travis Benjamin at SF-9",,
3,4:32,1,10,SFO 9,23,7,Elijah Mitchell left tackle for -1 yards (tackle by DeMarcus Lawrence),,
