Quarter,Time,Tm,Detail,SFO,DAL
1.0,10:54,49ers,Elijah Mitchell 4 yard rush (Robbie Gould kick),7,0
,4:53,49ers,Robbie Gould 53 yard field goal,10,0
2.0,9:40,49ers,Robbie Gould 40 yard field goal,13,0
,5:19,Cowboys,Amari Cooper 20 yard pass from Dak Prescott (Greg Zuerlein kick),13,7
,3:03,49ers,Robbie Gould 52 yard field goal,16,7
3.0,5:50,49ers,Deebo Samuel 26 yard rush (Robbie Gould kick),23,7
4.0,11:53,Cowboys,Greg Zuerlein 51 yard field goal,23,10
,8:02,Cowboys,Dak Prescott 5 yard rush (Greg Zuerlein kick),23,17
