Unnamed: 0,SFO,DAL
First Downs,21,20
Rush-Yds-TDs,38-169-2,21-77-1
Cmp-Att-Yd-TD-INT,16-25-172-0-1,24-44-270-1-1
Sacked-Yards,0-0,5-40
Net Pass Yards,172,230
Total Yards,341,307
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,9-58,14-89
Third Down Conv.,6-13,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,33:59,26:01
