0,1
Game Info,Game Info
Won Toss,Cowboys (deferred)
Roof,retractable roof (closed)
Surface,matrixturf
Duration,3:16
Attendance,93470
Vegas Line,Dallas Cowboys -3.0
Over/Under,51.0 (under)
