Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
2,11:09,1,10,NWE 25,3,18,Mac Jones pass complete short left to Rhamondre Stevenson for 3 yards (tackle by Jourdan Lewis),0.610,0.470
2,10:30,2,7,NWE 28,3,18,Ezekiel Elliott left guard for 1 yard (tackle by Markquese Bell and DeMarcus Lawrence),0.470,-0.100
2,9:52,3,6,NWE 29,3,18,Mac Jones pass incomplete short right intended for DeVante Parker (defended by DaRon Bland),-0.100,-1.440
2,9:43,4,6,NWE 29,3,18,"Bryce Baringer punts 50 yards, returned by KaVontae Turpin for 1 yard (tackle by Matthew Slater)",-1.440,-0.410
2,9:36,1,10,DAL 22,3,18,Dak Prescott pass complete short left to CeeDee Lamb for 1 yard (tackle by Jalen Mills),0.410,0.000
2,9:09,2,9,DAL 23,3,18,Dak Prescott pass complete deep left to Jake Ferguson for 21 yards (tackle by Kyle Dugger),0.000,1.860
2,8:34,1,10,DAL 44,3,18,Dak Prescott pass complete short right to CeeDee Lamb for 12 yards (tackle by Myles Bryant),1.860,2.650
2,7:58,1,10,NWE 44,3,18,Tony Pollard left guard for 16 yards (tackle by Kyle Dugger),2.650,3.710
2,7:20,1,10,NWE 28,3,18,Rico Dowdle left guard for 9 yards (tackle by Kyle Dugger),3.710,4.420
2,6:38,2,1,NWE 19,3,18,Rico Dowdle left end for -4 yards (tackle by Jahlani Tavai and Deatrich Wise),4.420,3.140
2,6:00,3,5,NWE 23,3,18,Dak Prescott pass complete short middle to Jake Ferguson for 12 yards (tackle by Kyle Dugger),3.140,4.840
2,5:27,1,10,NWE 11,3,18,Tony Pollard up the middle for 3 yards (tackle by Deatrich Wise and Davon Godchaux),4.840,4.700
2,4:53,2,7,NWE 8,3,18,Dak Prescott pass incomplete short middle intended for Luke Schoonmaker (defended by Ja'Whaun Bentley),4.700,3.760
2,4:45,3,7,NWE 8,3,18,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by Jalen Mills),3.760,3.010
2,4:06,4,4,NWE 5,3,21,Brandon Aubrey 23 yard field goal good,3.010,3.000
2,4:03,,,DAL 35,3,21,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
2,4:03,1,10,NWE 25,3,21,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,0.610,0.060
2,3:58,2,10,NWE 25,3,21,"Rhamondre Stevenson left guard for 4 yards (tackle by Juanyeh Thomas and Malik Hooker). Penalty on Michael Onwenu: Offensive Holding, 10 yards (accepted)",0.060,-0.810
2,3:43,2,16,NWE 19,3,21,Mac Jones pass complete short left to Kendrick Bourne for 16 yards (tackle by DaRon Bland),-0.810,1.270
2,3:04,1,10,NWE 35,3,21,Rhamondre Stevenson left guard for 2 yards (tackle by Leighton Vander Esch and Damone Clark),1.270,0.990
2,2:26,2,8,NWE 37,3,21,Mac Jones scrambles up the middle for 3 yards (tackle by Leighton Vander Esch),0.990,0.700
2,2:00,3,5,NWE 40,3,21,Mac Jones pass complete short middle to Hunter Henry for 12 yards (tackle by Donovan Wilson and Leighton Vander Esch),0.700,2.390
2,1:28,1,10,DAL 48,3,21,Rhamondre Stevenson up the middle for no gain (tackle by Dorance Armstrong),2.390,1.850
2,1:07,2,10,DAL 48,3,27,"Mac Jones pass short left intended for Kendrick Bourne is intercepted by DaRon Bland at DAL-46 and returned for 54 yards, touchdown",1.850,-7.000
2,0:54,,,NWE 15,3,28,Brandon Aubrey kicks extra point good,0.000,0.000
2,0:54,,,DAL 35,3,28,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
2,0:54,1,10,NWE 25,3,28,Mac Jones pass complete short right to Ezekiel Elliott for 2 yards (tackle by Osa Odighizuwa and Damone Clark),0.610,0.330
2,0:33,2,8,NWE 27,3,28,Mac Jones pass incomplete short left intended for Hunter Henry,0.330,-0.360
2,0:30,3,8,NWE 27,3,28,Mac Jones pass incomplete short right intended for Ezekiel Elliott (defended by Jayron Kearse),-0.360,-1.570
2,0:23,4,8,NWE 27,3,28,"Bryce Baringer punts 44 yards, fair catch by KaVontae Turpin at DAL-29",-1.570,-0.870
2,0:16,1,10,DAL 29,3,28,Dak Prescott pass complete short left to Jake Ferguson for 12 yards (tackle by Kyle Dugger),0.870,1.660
2,0:10,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:10,1,10,DAL 41,3,28,Dak Prescott pass complete short middle to Jake Ferguson for 11 yards (tackle by Kyle Dugger),1.660,2.390
2,0:03,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:03,,,,,,Timeout #2 by New England Patriots,,
2,0:03,1,10,NWE 48,3,28,"Penalty on Chuma Edoga: False Start, 5 yards (accepted) (no play)",2.390,2.130
2,0:03,1,15,DAL 48,3,28,"Penalty on Dak Prescott: Delay of Game, 5 yards (accepted) (no play)",2.130,1.730
2,0:03,1,20,DAL 42,3,28,Dak Prescott kneels for -1 yards,1.730,0.360
Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,3,28,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,3,28,Rhamondre Stevenson left guard for 8 yards (tackle by Stephon Gilmore),0.610,1.140
3,14:31,2,2,NWE 33,3,28,Rhamondre Stevenson left end for -2 yards (tackle by Damone Clark),1.140,0.170
3,13:58,3,4,NWE 31,3,28,Mac Jones pass complete deep right to Hunter Henry for 21 yards (tackle by Jayron Kearse). Penalty on Jayron Kearse: Illegal Contact (declined),0.170,2.390
3,13:47,1,10,DAL 48,3,28,Mac Jones pass complete short right to Demario Douglas for 3 yards (tackle by Markquese Bell),2.390,2.250
3,13:09,2,7,DAL 45,3,28,Rhamondre Stevenson up the middle for 1 yard (tackle by Jourdan Lewis),2.250,1.690
3,12:32,3,6,DAL 44,3,28,Mac Jones scrambles up the middle for 4 yards (tackle by Donovan Wilson),1.690,0.590
3,11:49,,,,,,Timeout #1 by Dallas Cowboys,,
3,11:49,4,2,DAL 40,3,28,Mac Jones pass short right intended for JuJu Smith-Schuster is intercepted by DaRon Bland at DAL-38 and returned for 10 yards (tackle by JuJu Smith-Schuster),0.590,-2.130
3,11:43,1,10,DAL 48,3,28,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Chuma Edoga: Illegal Formation, 5 yards (declined)",2.130,1.580
3,11:37,2,10,DAL 48,3,28,Dak Prescott pass complete short left to Brandin Cooks for 7 yards. Brandin Cooks fumbles (forced by Myles Bryant),1.580,1.820
3,11:10,3,3,NWE 45,3,28,Tony Pollard up the middle for 8 yards (tackle by Ja'Whaun Bentley and Josh Uche),1.820,3.120
3,10:47,1,10,NWE 37,3,28,Dak Prescott pass complete short right to Jake Ferguson for 4 yards (tackle by Kyle Dugger),3.120,3.110
3,10:17,2,6,NWE 33,3,28,Dak Prescott pass incomplete short right intended for Luke Schoonmaker (defended by Jahlani Tavai),3.110,2.410
3,10:17,3,6,NWE 33,3,28,Dak Prescott pass complete short right to Michael Gallup for 19 yards (tackle by Shaun Wade),2.410,4.650
3,9:43,1,10,NWE 14,3,28,Tony Pollard left guard for 5 yards (tackle by Deatrich Wise),4.650,4.900
3,9:09,2,5,NWE 9,3,28,Dak Prescott pass complete short right to Tony Pollard for 3 yards (tackle by Ja'Whaun Bentley),4.900,4.730
3,8:27,3,2,NWE 6,3,28,Dak Prescott sacked by Jahlani Tavai for -9 yards,4.730,2.440
3,7:45,4,11,NWE 15,3,31,Brandon Aubrey 33 yard field goal good,2.440,3.000
3,7:42,,,DAL 35,3,31,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
3,7:42,1,10,NWE 25,3,31,Mac Jones pass complete short left to Ezekiel Elliott for 4 yards (tackle by Donovan Wilson),0.610,0.600
3,7:02,2,6,NWE 29,3,31,Ezekiel Elliott right guard for no gain (tackle by Neville Gallimore),0.600,-0.100
3,6:24,3,6,NWE 29,3,31,Mac Jones pass incomplete short left intended for DeVante Parker,-0.100,-1.440
3,6:19,4,6,NWE 29,3,31,"Bryce Baringer punts 46 yards, returned by KaVontae Turpin for 12 yards (tackle by Brenden Schooler). Penalty on Joe Cardona: Offensive Holding, 10 yards (accepted)",-1.440,-2.060
3,6:08,1,10,DAL 47,3,31,Dak Prescott pass complete short left to Brandin Cooks for 5 yards (tackle by Myles Bryant),2.060,2.190
3,5:36,2,5,NWE 48,3,31,"Tony Pollard right tackle for 4 yards (tackle by Christian Barmore and Jalen Mills). Penalty on Christian Barmore: Face Mask (15 Yards), 15 yards (accepted)",2.190,3.640
3,5:09,1,10,NWE 29,3,31,Dak Prescott pass complete short left to Michael Gallup for 3 yards (tackle by Shaun Wade and Myles Bryant),3.640,3.510
3,4:25,2,7,NWE 26,3,31,Tony Pollard up the middle for 4 yards (tackle by Josh Uche),3.510,3.340
3,3:49,3,3,NWE 22,3,31,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Terence Steele: Illegal Use of Hands / Offense, 5 yards (declined)",3.340,2.090
3,3:46,4,3,NWE 22,3,31,Dak Prescott sacked by Deatrich Wise for -9 yards,2.090,-1.000
3,3:41,1,10,NWE 31,3,31,Rhamondre Stevenson up the middle for -2 yards (tackle by Neville Gallimore and Osa Odighizuwa),1.000,0.190
3,3:06,2,12,NWE 29,3,31,Bailey Zappe pass complete short middle to DeVante Parker for 11 yards (tackle by DaRon Bland),0.190,0.960
3,2:29,3,1,NWE 40,3,31,Rhamondre Stevenson up the middle for 3 yards (tackle by Jourdan Lewis),0.960,1.800
3,1:54,1,10,NWE 43,3,31,Rhamondre Stevenson right tackle for no gain (tackle by Juanyeh Thomas),1.800,1.250
3,1:04,2,10,NWE 43,3,31,"Bailey Zappe pass incomplete deep right intended for Mike Gesicki (defended by Jayron Kearse). Penalty on Atonio Mafi: Illegal Blindside Block, 15 yards (declined)",1.250,0.560
3,1:04,3,10,NWE 43,3,31,Bailey Zappe pass incomplete deep left intended for JuJu Smith-Schuster,0.560,-0.520
3,0:58,4,10,NWE 43,3,31,"Bryce Baringer punts 43 yards, fair catch by KaVontae Turpin at DAL-14",-0.520,0.280
3,0:50,1,10,DAL 14,3,31,"Deuce Vaughn left tackle for 1 yard (tackle by Jabrill Peppers). Penalty on Tyler Smith: Offensive Holding, 7 yards (accepted)",-0.280,-0.610
3,0:23,1,16,DAL 8,3,31,Deuce Vaughn up the middle for 3 yards (tackle by Ja'Whaun Bentley and Sam Roberts),-0.610,-1.000
Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,DAL 11,3,31,Dak Prescott pass complete short right to Jalen Tolbert for 15 yards (tackle by Myles Bryant),-1.000,0.670
4,14:24,1,10,DAL 26,3,31,Deuce Vaughn right end for -1 yards (tackle by Jabrill Peppers),0.670,-0.010
4,13:44,2,11,DAL 25,3,31,Deuce Vaughn left end for -1 yards (tackle by Ja'Whaun Bentley and Jalen Mills),-0.010,-0.820
4,13:17,3,12,DAL 24,3,31,Dak Prescott pass complete short right to Brandin Cooks for 4 yards (tackle by Jabrill Peppers),-0.820,-1.500
4,12:37,4,8,DAL 28,3,31,"Bryan Anger punts 57 yards, fair catch by Demario Douglas at NE-15",-1.500,0.220
4,12:30,1,10,NWE 15,3,31,Bailey Zappe pass complete short right to Hunter Henry for 4 yards (tackle by Leighton Vander Esch),-0.220,-0.110
4,11:50,2,6,NWE 19,3,31,Ezekiel Elliott right guard for 2 yards (tackle by Micah Parsons and Donovan Wilson),-0.110,-0.630
4,11:11,3,4,NWE 21,3,31,"Bailey Zappe pass incomplete short right intended for Demario Douglas. Penalty on David Andrews: Offensive Holding, 10 yards (declined)",-0.630,-1.960
4,11:06,4,4,NWE 21,3,31,"Bryce Baringer punts 42 yards, fair catch by KaVontae Turpin at DAL-37",-1.960,-1.400
4,10:59,1,10,DAL 37,3,31,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",1.400,1.070
4,10:59,1,15,DAL 32,3,31,"KaVontae Turpin right end for 46 yards. KaVontae Turpin fumbles (forced by Myles Bryant), recovered by Sean McKeon at NE-14 (tackle by Myles Bryant)",1.070,4.650
4,10:01,1,10,NWE 14,3,31,Deuce Vaughn left guard for 3 yards (tackle by Jahlani Tavai),4.650,4.520
4,9:23,2,7,NWE 11,3,31,Deuce Vaughn right tackle for 2 yards (tackle by Keion White),4.520,4.050
4,8:43,3,5,NWE 9,3,31,Dak Prescott pass complete short left to KaVontae Turpin for 5 yards (tackle by Shaun Wade),4.050,6.280
4,8:09,1,4,NWE 4,3,31,Hunter Luepke up the middle for 1 yard (tackle by Kyle Dugger and Jabrill Peppers),6.280,5.530
4,7:21,2,3,NWE 3,3,31,Deuce Vaughn up the middle for no gain (tackle by Jahlani Tavai and Jabrill Peppers),5.530,4.720
4,6:41,3,3,NWE 3,3,37,"Hunter Luepke right guard for 3 yards, touchdown",4.720,7.000
4,6:38,,,NWE 15,3,38,Brandon Aubrey kicks extra point good,0.000,0.000
4,6:38,,,DAL 35,3,38,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
4,6:38,1,10,NWE 25,3,38,Bailey Zappe pass complete short middle to Kendrick Bourne for 20 yards (tackle by DaRon Bland),0.610,1.930
4,6:12,1,10,NWE 45,3,38,Bailey Zappe pass incomplete short right intended for JuJu Smith-Schuster,1.930,1.380
4,6:07,2,10,NWE 45,3,38,Bailey Zappe pass complete deep left to DeVante Parker for 22 yards,1.380,3.380
4,5:41,1,10,DAL 33,3,38,Rhamondre Stevenson left end for 7 yards (tackle by Stephon Gilmore),3.380,3.780
4,4:59,2,3,DAL 26,3,38,Bailey Zappe sacked by Sam Williams for -7 yards,3.780,2.150
4,4:16,3,10,DAL 33,3,38,Bailey Zappe pass incomplete short right,2.150,1.060
4,4:08,4,11,DAL 34,3,38,Chad Ryland 52 yard field goal no good,1.060,-1.730
4,4:03,1,10,DAL 42,3,38,"Deuce Vaughn for no gain. Penalty on Brock Hoffman: Offensive Holding, 10 yards (accepted) (no play)",1.730,1.070
4,3:58,1,20,DAL 32,3,38,Cooper Rush pass complete short middle to Jalen Tolbert for 13 yards (tackle by Marte Mapu),1.070,1.590
4,3:13,2,7,DAL 45,3,38,Deuce Vaughn right tackle for 2 yards (tackle by Lawrence Guy),1.590,1.160
4,2:27,,,,,,Timeout #2 by Dallas Cowboys,,
4,2:27,3,5,DAL 47,3,38,Cooper Rush pass complete short right to Jalen Tolbert for 7 yards (tackle by Myles Bryant),1.160,2.520
4,2:00,1,10,NWE 46,3,38,Cooper Rush kneels for no gain,2.520,1.980
4,1:20,2,10,NWE 46,3,38,Cooper Rush kneels for -1 yards,1.980,1.160
4,0:42,3,11,NWE 47,3,38,Cooper Rush kneels for -1 yards,1.160,0.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
