Unnamed: 0,NWE,DAL
First Downs,10,22
Rush-Yds-TDs,23-53-0,30-124-1
Cmp-Att-Yd-TD-INT,16-30-207-0-2,30-36-281-1-0
Sacked-Yards,2-7,3-28
Net Pass Yards,200,253
Total Yards,253,377
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,6-50,5-32
Third Down Conv.,4-13,8-15
Fourth Down Conv.,0-2,0-1
Time of Possession,24:51,35:09
