Unnamed: 0,JAX,GNB
First Downs,16,16
Rush-Yds-TDs,23-109-0,25-80-1
Cmp-Att-Yd-TD-INT,18-35-169-1-1,24-34-325-2-1
Sacked-Yards,3-18,1-10
Net Pass Yards,151,315
Total Yards,260,395
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-86,4-35
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-1,0-1
Time of Possession,28:19,31:41
