Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,Aaron Rodgers pass complete short left to Davante Adams for 5 yards (tackle by Daniel Thomas),0.610,0.740
1,14:25,2,5,GNB 30,0,0,Aaron Jones left tackle for 2 yards (tackle by Sidney Jones and Tre Herndon),0.740,0.300
1,13:39,3,3,GNB 32,0,0,Aaron Rodgers pass incomplete deep right intended for Robert Tonyan,0.300,-1.240
1,13:33,4,3,GNB 32,0,0,"JK Scott punts 48 yards, returned by Keelan Cole for 18 yards (tackle by James Burgess and Ty Summers)",-1.240,-1.470
1,13:22,1,10,JAX 38,0,0,Jake Luton pass complete short right to DJ Chark for 11 yards (tackle by Ka'dar Hollman),1.470,2.190
1,12:46,1,10,JAX 49,0,0,James Robinson left tackle for 6 yards (tackle by Preston Smith),2.190,2.460
1,12:10,2,4,GNB 45,0,0,James Robinson left tackle for 6 yards (tackle by Darnell Savage),2.460,2.980
1,11:33,1,10,GNB 39,0,0,James Robinson left tackle for 6 yards (tackle by Christian Kirksey and Kenny Clark),2.980,3.250
1,10:51,2,4,GNB 33,0,0,Jake Luton pass incomplete short left,3.250,2.540
1,10:45,3,4,GNB 33,0,0,Jake Luton pass incomplete short right intended for Chris Conley,2.540,1.180
1,10:41,4,4,GNB 33,3,0,Chase McLaughlin 52 yard field goal good,1.180,3.000
1,10:36,,,JAX 35,3,0,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,10:36,1,10,GNB 25,3,0,Aaron Rodgers pass complete short left to Aaron Jones for 6 yards (tackle by Kamalei Correa),0.610,0.870
1,10:02,2,4,GNB 31,3,0,"Penalty on David Bakhtiari: False Start, 5 yards (no play)",0.870,0.200
1,9:39,2,9,GNB 26,3,0,"Aaron Rodgers pass incomplete deep left intended for Robert Tonyan. Penalty on Myles Jack: Defensive Pass Interference, 29 yards (no play)",0.200,2.590
1,9:33,1,10,JAX 45,3,0,Jamaal Williams right end for 1 yard (tackle by Josh Allen and Sidney Jones),2.590,2.180
1,8:50,2,9,JAX 44,3,0,Jamaal Williams right end for 7 yards (tackle by Jarrod Wilson),2.180,2.410
1,8:06,3,2,JAX 37,3,0,"Aaron Rodgers pass incomplete short middle intended for Jamaal Williams. Penalty on Billy Turner: Chop Block, 15 yards (no play)",2.410,0.430
1,8:01,3,17,GNB 48,3,0,Aaron Rodgers pass complete short right to Jamaal Williams for 10 yards (tackle by Daniel Thomas and Joe Schobert),0.430,0.460
1,7:27,4,7,JAX 42,3,0,JK Scott punts 37 yards downed by Henry Black,0.460,0.380
1,7:17,1,10,JAX 5,3,0,James Robinson right tackle for 6 yards (tackle by Chandon Sullivan),-0.380,-0.340
1,6:40,2,4,JAX 11,3,0,James Robinson right tackle for 20 yards (tackle by Adrian Amos),-0.340,1.000
1,6:31,1,10,JAX 31,3,0,James Robinson right tackle for 1 yard (tackle by Kenny Clark),1.000,0.600
1,5:54,2,9,JAX 32,3,0,Jake Luton pass complete short left to Keelan Cole for 6 yards (tackle by Chandon Sullivan and Tyler Lancaster),0.600,0.700
1,5:16,3,3,JAX 38,3,0,Jake Luton pass incomplete short right intended for James Robinson,0.700,-0.850
1,5:12,4,3,JAX 38,3,0,Logan Cooke punts 58 yards downed by Chris Claybrooks,-0.850,0.380
1,5:02,1,10,GNB 4,3,0,Aaron Rodgers pass complete short right to Davante Adams for 1 yard (tackle by C.J. Henderson),-0.380,-0.710
1,4:21,2,9,GNB 5,3,0,Aaron Rodgers pass complete short right to Robert Tonyan for 6 yards (tackle by Myles Jack),-0.710,-0.600
1,3:37,3,3,GNB 11,3,0,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Sidney Jones),-0.600,-2.490
1,3:32,4,3,GNB 11,3,0,"JK Scott punts 41 yards, returned by Keelan Cole for 4 yards (tackle by James Burgess). Penalty on Andrew Wingard: Illegal Block Above the Waist, 10 yards",-2.490,-1.730
1,3:22,1,10,JAX 42,3,0,James Robinson right guard for 3 yards (tackle by Kenny Clark and Za'Darius Smith),1.730,1.590
1,2:44,2,7,JAX 45,3,0,James Robinson left guard for 3 yards (tackle by Za'Darius Smith and Preston Smith),1.590,1.290
1,2:02,3,4,JAX 48,3,0,Jake Luton pass incomplete short right intended for Chris Conley,1.290,-0.190
1,1:58,4,4,JAX 48,3,0,Logan Cooke punts 43 yards downed by Ben Ellefson,-0.190,0.380
1,1:47,1,10,GNB 9,3,0,Aaron Jones right tackle for no gain (tackle by Adam Gotsis and Joe Schobert),-0.380,-0.780
1,1:04,2,10,GNB 9,3,0,Jamaal Williams right tackle for 7 yards (tackle by Myles Jack),-0.780,-0.600
1,0:20,3,3,GNB 16,3,0,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Tre Herndon),-0.600,0.410
Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 22,3,6,"Aaron Rodgers pass complete deep right to Marquez Valdes-Scantling for 78 yards, touchdown",0.410,7.000
2,14:47,,,JAX 15,3,7,Mason Crosby kicks extra point good,0.000,0.000
2,14:47,,,GNB 35,3,7,"JK Scott kicks off 65 yards, touchback.",0.000,0.610
2,14:47,1,10,JAX 25,3,7,Jake Luton pass complete short right to Chris Conley for 8 yards (tackle by Chandon Sullivan),0.610,1.140
2,14:17,2,2,JAX 33,3,7,James Robinson left end for 10 yards (tackle by Josh Jackson),1.140,1.800
2,13:41,1,10,JAX 43,3,7,Jake Luton pass complete short right to James Robinson for 1 yard (tackle by Christian Kirksey),1.800,1.390
2,13:01,2,9,JAX 44,3,7,Jake Luton pass incomplete deep left intended for DJ Chark (defended by Darnell Savage),1.390,0.690
2,12:53,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,12:53,3,9,JAX 44,3,7,Jake Luton pass incomplete short left intended for Chris Conley,0.690,-0.460
2,12:48,4,9,JAX 44,3,7,"Logan Cooke punts 45 yards, returned by Tyler Ervin for 7 yards (tackle by Dare Ogunbowale) Penalty on JAX: Offensive Too Many Men on Field, 5 yards (no play)",-0.460,-0.780
2,12:39,4,14,JAX 39,3,7,Logan Cooke punts 34 yards out of bounds,-0.780,-0.740
2,12:32,1,10,GNB 27,3,7,Aaron Jones right tackle for -3 yards (tackle by Tre Herndon),0.740,-0.210
2,11:52,2,13,GNB 24,3,7,Aaron Rodgers pass complete short right to Aaron Jones for 11 yards (tackle by Joe Schobert and Daniel Thomas),-0.210,0.560
2,11:04,3,2,GNB 35,3,7,Aaron Rodgers pass complete short left to Davante Adams for -3 yards (tackle by Chris Claybrooks),0.560,-1.240
2,10:25,4,5,GNB 32,9,7,"JK Scott punts 59 yards, returned by Keelan Cole for 91 yards, touchdown",-1.240,-7.000
2,10:06,,,GNB 15,10,7,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:06,,,JAX 35,10,7,"Logan Cooke kicks off 54 yards, muffed catch by Tyler Ervin returned by Tyler Ervin for 5 yards (tackle by Brandon Watson)",0.000,0.150
2,10:01,1,10,GNB 19,10,7,Jamaal Williams left tackle for 4 yards (tackle by DaVon Hamilton),0.150,0.210
2,9:21,2,6,GNB 23,10,7,Tyler Ervin right end for no gain (tackle by Myles Jack and Tre Herndon),0.210,-0.550
2,8:56,3,6,GNB 23,10,7,Aaron Rodgers pass complete short right to Davante Adams for 11 yards. Penalty on Jace Sternberger: Illegal Formation (Offsetting) Penalty on JAX: Defensive Too Many Men on Field (Offsetting) (no play),-0.550,-0.550
2,8:34,3,6,GNB 23,10,7,Aaron Rodgers pass complete deep middle to Marquez Valdes-Scantling for 22 yards (tackle by Sidney Jones),-0.550,1.930
2,7:54,1,10,GNB 45,10,7,Jamaal Williams right guard for 3 yards (tackle by Jarrod Wilson and Joe Schobert),1.930,1.790
2,7:11,2,7,GNB 48,10,7,Aaron Rodgers pass incomplete short left intended for Davante Adams (defended by C.J. Henderson),1.790,1.090
2,7:04,3,7,GNB 48,10,7,Aaron Rodgers pass complete short right to Jamaal Williams for 12 yards (tackle by Joe Schobert and Myles Jack),1.090,2.920
2,6:24,1,10,JAX 40,10,7,Aaron Rodgers pass complete short left to Tyler Ervin for 3 yards (tackle by Sidney Jones),2.920,2.780
2,5:55,2,7,JAX 37,10,7,Jamaal Williams up the middle for 6 yards (tackle by Joe Schobert),2.780,2.870
2,5:15,3,1,JAX 31,10,7,Jamaal Williams up the middle for 1 yard (tackle by Jarrod Wilson and Adam Gotsis),2.870,3.580
2,4:29,1,10,JAX 30,10,7,Aaron Jones left guard for 4 yards (tackle by Daniel Thomas and Joe Schobert),3.580,3.570
2,3:50,2,6,JAX 26,10,7,Aaron Rodgers pass complete short left to Davante Adams for 18 yards (tackle by Sidney Jones),3.570,5.370
2,3:06,1,8,JAX 8,10,7,Aaron Jones right end for 3 yards (tackle by Myles Jack and Joe Schobert),5.370,5.150
2,2:20,2,5,JAX 5,10,13,"Aaron Rodgers right end for 5 yards, touchdown",5.150,7.000
2,2:15,,,JAX 15,10,14,Mason Crosby kicks extra point good,0.000,0.000
2,2:15,,,GNB 35,10,14,"JK Scott kicks off 65 yards, touchback.",0.000,0.610
2,2:15,1,10,JAX 25,10,14,Jake Luton pass complete short left to Keelan Cole for 7 yards (tackle by Raven Greene),0.610,1.010
2,2:00,2,3,JAX 32,10,14,Jake Luton pass complete short left to Dare Ogunbowale for 5 yards (tackle by Josh Jackson and Christian Kirksey),1.010,1.400
2,1:40,1,10,JAX 37,10,14,Jake Luton pass short middle intended for Tyler Eifert is intercepted by Adrian Amos at JAC-49 and returned for 23 yards,1.400,-3.840
2,1:28,1,10,JAX 26,10,14,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by DaVon Hamilton),3.840,3.300
2,1:24,2,10,JAX 26,10,14,Aaron Rodgers pass complete short right to Aaron Jones for 11 yards (tackle by Josh Allen),3.300,4.580
2,0:44,1,10,JAX 15,10,14,Aaron Rodgers sacked by DaVon Hamilton for -10 yards,4.580,2.670
2,0:36,,,,,,Timeout #1 by Green Bay Packers,,
2,0:36,2,20,JAX 25,10,14,Aaron Rodgers pass complete short left to Jamaal Williams for 3 yards (tackle by C.J. Henderson),2.670,2.410
2,0:19,,,,,,Timeout #2 by Green Bay Packers,,
2,0:19,3,17,JAX 22,10,14,"Aaron Rodgers pass complete deep middle to Davante Adams for 22 yards. Penalty on Billy Turner: Offensive Holding, 10 yards (no play)",2.410,1.090
2,0:14,3,27,JAX 32,10,14,Aaron Rodgers pass complete short right to Davante Adams for 11 yards (tackle by Daniel Thomas),1.090,2.060
2,0:06,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:06,4,16,JAX 21,10,17,Mason Crosby 39 yard field goal good,2.060,3.000
2,0:02,,,GNB 35,10,17,"JK Scott kicks off 69 yards, returned by Chris Claybrooks for 7 yards, lateral to Terry Godwin for 15 yards, lateral to Stanford Samuels for 15 yards",0.000,1.270
Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,10,17,"JK Scott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,10,17,James Robinson left end for -4 yards (tackle by Preston Smith and Darnell Savage),0.610,-0.480
3,14:20,2,14,JAX 21,10,17,Jake Luton pass complete deep right to Chris Conley for 18 yards (tackle by Ka'dar Hollman),-0.480,1.530
3,13:44,1,10,JAX 39,10,17,James Robinson up the middle for 2 yards (tackle by Darnell Savage),1.530,1.260
3,13:01,2,8,JAX 41,10,17,Jake Luton pass incomplete short middle intended for Keelan Cole,1.260,0.560
3,12:57,3,8,JAX 41,10,17,Jake Luton sacked by Za'Darius Smith for -2 yards,0.560,-0.780
3,12:20,4,10,JAX 39,10,17,Logan Cooke punts 59 yards downed by Chris Claybrooks,-0.780,0.380
3,12:10,1,10,GNB 2,10,17,"Aaron Rodgers pass complete short left to Davante Adams for 22 yards (tackle by C.J. Henderson). Davante Adams fumbles (forced by C.J. Henderson), recovered by Myles Jack at GB-32 and returned for 16 yards (tackle by David Bakhtiari)",-0.380,-4.510
3,11:56,1,10,GNB 16,10,17,"James Robinson right tackle for 16 yards. Penalty on James O'Shaughnessy: Offensive Holding, 10 yards (no play)",4.510,3.840
3,11:49,1,20,GNB 26,10,17,James Robinson left tackle for 11 yards (tackle by Chandon Sullivan),3.840,4.050
3,11:14,2,9,GNB 15,10,17,James Robinson left tackle for 3 yards (tackle by Kenny Clark),4.050,3.730
3,10:34,3,6,GNB 12,16,17,"Jake Luton pass complete short middle to Keelan Cole for 12 yards, touchdown",3.730,7.000
3,10:30,,,GNB 15,17,17,Chase McLaughlin kicks extra point good,0.000,0.000
3,10:30,,,JAX 35,17,17,"Logan Cooke kicks off 48 yards, returned by Malik Taylor for 8 yards (tackle by Dare Ogunbowale)",0.000,0.610
3,10:26,1,10,GNB 25,17,17,Aaron Rodgers pass complete short left to Robert Tonyan for 4 yards (tackle by Tre Herndon),0.610,0.600
3,9:51,2,6,GNB 29,17,17,Aaron Rodgers pass complete short right to Aaron Jones for 14 yards (tackle by Joe Schobert),0.600,1.800
3,9:24,1,10,GNB 43,17,17,Aaron Rodgers pass incomplete deep right intended for Davante Adams,1.800,1.250
3,9:18,2,10,GNB 43,17,17,Aaron Jones up the middle for 2 yards (tackle by DaVon Hamilton),1.250,0.830
3,9:01,3,8,GNB 45,17,17,"Aaron Rodgers sacked by Josh Allen for no gain. Penalty on Josh Allen: Illegal Shift (Declined) . Penalty on Josh Allen: Roughing the Passer, 15 yards (no play)",0.830,2.920
3,8:49,1,10,JAX 40,17,17,Aaron Jones up the middle for 5 yards (tackle by Tre Herndon and Jarrod Wilson),2.920,3.050
3,8:09,2,5,JAX 35,17,17,Aaron Jones left end for 2 yards (tackle by Adam Gotsis and Jarrod Wilson),3.050,2.610
3,7:21,3,3,JAX 33,17,17,Aaron Rodgers pass incomplete short right,2.610,1.190
3,7:15,4,3,JAX 33,17,17,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,1.190,-1.140
3,7:09,1,10,JAX 33,17,17,Jake Luton pass complete short right to James Robinson for 2 yards (tackle by Ka'dar Hollman),1.140,0.860
3,6:31,2,8,JAX 35,17,17,James Robinson left tackle for 3 yards (tackle by Montravius Adams),0.860,0.560
3,5:49,3,5,JAX 38,17,17,Jake Luton pass complete short right to DJ Chark for 7 yards (tackle by Chandon Sullivan),0.560,1.930
3,5:09,1,10,JAX 45,17,17,James Robinson right guard for 3 yards (tackle by Za'Darius Smith),1.930,1.790
3,4:27,2,7,JAX 48,17,17,Jake Luton pass complete short left to Keelan Cole for 13 yards (tackle by Rashan Gary),1.790,2.980
3,3:45,1,10,GNB 39,17,17,James Robinson left guard for 1 yard (tackle by Christian Kirksey),2.980,2.580
3,3:03,2,9,GNB 38,17,17,Jake Luton pass incomplete deep middle intended for Terry Godwin,2.580,1.880
