Quarter,Time,Tm,Detail,JAX,GNB
1.0,10:36,Jaguars,Chase McLaughlin 52 yard field goal,3,0
2.0,14:47,Packers,Marquez Valdes-Scantling 78 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
,10:06,Jaguars,Keelan Cole 91 yard punt return (Chase McLaughlin kick),10,7
,2:15,Packers,Aaron Rodgers 5 yard rush (Mason Crosby kick),10,14
,0:02,Packers,Mason Crosby 39 yard field goal,10,17
3.0,10:30,Jaguars,Keelan Cole 12 yard pass from Jake Luton (Chase McLaughlin kick),17,17
4.0,12:40,Jaguars,Chase McLaughlin 31 yard field goal,20,17
,9:03,Packers,Davante Adams 6 yard pass from Aaron Rodgers (Mason Crosby kick),20,24
