Unnamed: 0,MIA,MIN
First Downs,12,22
Rush-Yds-TDs,29-120-0,33-156-1
Cmp-Att-Yd-TD-INT,9-15-114-1-0,22-36-225-0-3
Sacked-Yards,2-8,3-17
Net Pass Yards,106,208
Total Yards,226,364
Fumbles-Lost,2-2,2-1
Turnovers,2,4
Penalties-Yards,2-15,7-44
Third Down Conv.,5-11,5-14
Fourth Down Conv.,0-0,1-4
Time of Possession,24:12,35:48
