Quarter,Time,Tm,Detail,MIA,MIN
1.0,4:40,Dolphins,Brian Hartline 5 yard pass from Chad Henne (Dan Carpenter kick),7,0
3.0,6:29,Dolphins,Koa Misi defensive fumble recovery in end zone (Dan Carpenter kick),14,0
,2:38,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),14,7
4.0,7:52,Vikings,Ryan Longwell 28 yard field goal,14,10
