Unnamed: 0,STL,BUF
First Downs,19,16
Rush-Yds-TDs,20-35-0,26-119-0
Cmp-Att-Yd-TD-INT,27-45-287-2-3,15-24-185-3-1
Sacked-Yards,6-52,1-10
Net Pass Yards,235,175
Total Yards,270,294
Fumbles-Lost,2-1,1-0
Turnovers,4,1
Penalties-Yards,11-84,15-123
Third Down Conv.,5-15,2-11
Fourth Down Conv.,2-3,0-0
Time of Possession,35:24,24:36
