Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 68 yards, returned by Quincy Morgan for 28 yards (tackle by Kenny Watson)",0.000,0.940
1,14:55,1,10,DEN 30,0,0,Jay Cutler pass incomplete deep left intended for Tony Scheffler is intercepted by Dexter Jackson at CIN-49 and returned for 46 yards,0.940,-6.060
1,14:41,1,5,DEN 5,0,0,Carson Palmer pass incomplete short right intended for Rudi Johnson,6.060,5.150
1,14:37,2,5,DEN 5,0,0,Rudi Johnson left guard for -1 yards (tackle by John Lynch),5.150,4.040
1,13:56,3,6,DEN 6,0,0,Carson Palmer pass incomplete short left intended for T.J. Houshmandzadeh is intercepted by Darrent Williams,4.040,-0.280
1,13:48,1,10,DEN 20,0,0,Tatum Bell right tackle for 2 yards (tackle by Landon Johnson and Sam Adams),0.280,0.000
1,13:18,2,8,DEN 22,0,0,Jay Cutler pass incomplete short middle intended for Javon Walker (defended by Madieu Williams),0.000,-0.690
1,13:12,3,8,DEN 22,0,0,Jay Cutler pass complete short left to Brandon Marshall for 14 yards (tackle by Tory James),-0.690,1.330
1,12:30,1,10,DEN 36,0,0,Jay Cutler sacked by Domata Peko for -6 yards,1.330,-0.020
1,11:54,2,16,DEN 30,0,0,Tatum Bell right guard for 4 yards (tackle by Justin Smith and Brian Simmons),-0.020,-0.160
1,11:14,3,12,DEN 34,0,0,Jay Cutler pass incomplete short right intended for Javon Walker (defended by Deltha O'Neal),-0.160,-1.110
1,11:10,4,12,DEN 34,0,0,Paul Ernster punts 42 yards,-1.110,-0.610
1,10:57,1,10,CIN 25,0,0,--,0.610,1.340
1,10:56,1,5,CIN 30,0,0,Rudi Johnson middle for 9 yards (tackle by John Lynch),1.340,1.530
1,10:32,1,10,CIN 39,0,0,Rudi Johnson middle for 7 yards (tackle by Ebenezer Ekuban),1.530,1.930
1,9:57,2,3,CIN 46,0,0,Rudi Johnson left tackle for 8 yards (tackle by Ebenezer Ekuban and Domonique Foxworth),1.930,2.520
1,9:25,1,10,DEN 46,0,0,Rudi Johnson left guard for 6 yards (tackle by John Lynch and Kenard Lang),2.520,2.790
1,8:53,2,4,DEN 40,0,0,Carson Palmer pass complete short right to Chris Henry for 8 yards (tackle by Champ Bailey),2.790,3.450
1,8:24,1,10,DEN 32,0,0,Rudi Johnson right tackle for 3 yards (tackle by John Lynch),3.450,3.310
1,7:56,2,7,DEN 29,0,0,"Carson Palmer sacked by Elvis Dumervil for -14 yards. Carson Palmer fumbles (forced by Elvis Dumervil), recovered by Eric Steinbach at DEN-43",3.310,0.760
1,7:07,3,21,DEN 43,0,0,Carson Palmer pass incomplete deep left intended for Chad Johnson,0.760,0.400
1,7:02,4,21,DEN 43,0,0,Kyle Larson punts 36 yards,0.400,0.380
1,6:50,1,10,DEN 7,0,0,Tatum Bell left tackle for 2 yards (tackle by Sam Adams and Robert Geathers),-0.380,-0.630
1,6:13,2,8,DEN 9,0,0,Tatum Bell left end for 1 yard (tackle by Landon Johnson and Domata Peko),-0.630,-1.070
1,5:29,3,7,DEN 10,0,0,Jay Cutler sacked by Domata Peko for -9 yards,-1.070,-2.490
1,4:56,4,16,DEN 1,0,0,Penalty on Paul Ernster: Delay of Game (no play),-2.490,-2.490
1,4:45,4,16,DEN 1,0,0,"Paul Ernster punts 34 yards, returned by Keiwan Ratliff for 17 yards (tackle by Mike Leach)",-2.490,-4.370
1,4:34,1,10,DEN 18,0,0,Carson Palmer pass incomplete short left intended for Chad Johnson,4.370,3.800
1,4:30,2,10,DEN 18,0,0,Carson Palmer pass incomplete intended for Chris Henry (defended by John Lynch),3.800,3.050
1,4:23,3,10,DEN 18,0,0,Carson Palmer pass complete short middle to Kenny Watson for 12 yards (tackle by Darrent Williams),3.050,5.830
1,3:50,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,5.830
1,3:50,1,6,DEN 6,6,0,"Rudi Johnson left end for 6 yards, touchdown",5.830,7.000
1,,,,DEN 2,7,0,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,7,0,"Shayne Graham kicks off 70 yards, touchback",0.000,0.280
1,3:44,1,10,DEN 20,7,0,Tatum Bell left guard for 4 yards (tackle by Madieu Williams and Rashad Jeanty),0.280,0.270
1,3:10,2,6,DEN 24,7,0,Jay Cutler sacked by Sam Adams for -4 yards,0.270,-0.960
1,2:37,3,10,DEN 20,7,0,Jay Cutler pass complete short middle to Brandon Marshall for 9 yards (tackle by Justin Smith and Brian Simmons),-0.960,-1.440
1,1:53,4,1,DEN 29,7,0,"Paul Ernster punts 43 yards, returned by Keiwan Ratliff for 8 yards (tackle by Keith Burns)",-1.440,-1.330
1,1:42,1,10,CIN 36,7,0,Carson Palmer pass incomplete short right intended for Rudi Johnson,1.330,0.790
1,1:35,2,10,CIN 36,7,0,Rudi Johnson middle for 1 yard (tackle by Domonique Foxworth),0.790,0.230
1,0:58,3,9,CIN 37,7,0,Carson Palmer pass incomplete deep left intended for Chad Johnson is intercepted by Champ Bailey at DEN-43 and returned for 20 yards,0.230,-3.120
1,0:46,1,10,CIN 37,7,0,Tatum Bell right end for no gain (tackle by Landon Johnson),3.120,2.570
Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,CIN 37,7,0,Jay Cutler pass complete deep left to Brandon Marshall for 36 yards,2.570,6.970
,,,,,,,"CIN challenged the ruling, and the play was upheld.",,
2,14:50,1,1,CIN 1,7,0,Penalty on Sam Adams: Encroachment (no play),6.970,6.970
2,14:50,1,1,CIN 1,7,0,Tatum Bell left tackle for no gain (tackle by Madieu Williams and Brian Simmons),6.970,5.910
2,14:10,2,1,CIN 1,7,0,Mike Bell middle for no gain (tackle by Robert Geathers and Domata Peko),5.910,5.170
2,13:28,3,1,CIN 1,7,6,"Jay Cutler pass complete short right to Tony Scheffler for 1 yard, touchdown",5.170,7.000
2,,,,CIN 2,7,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,7,7,"Paul Ernster kicks off 74 yards, returned by Glenn Holt for 20 yards (tackle by Curome Cox)",0.000,-0.140
2,13:20,1,10,CIN 16,7,7,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 13 yards (tackle by Curome Cox),-0.140,0.870
2,12:56,1,10,CIN 29,7,7,Rudi Johnson right tackle for 7 yards (tackle by Darrent Williams),0.870,1.270
2,12:26,2,3,CIN 36,7,7,"Carson Palmer pass complete short left to Chad Johnson for 7 yards (tackle by Domonique Foxworth). Chad Johnson fumbles (forced by Domonique Foxworth), recovered by Champ Bailey at CIN-43 and returned for 4 yards",1.270,-2.980
2,12:16,1,10,CIN 39,7,13,"Jay Cutler pass complete deep right to Javon Walker for 39 yards, touchdown",2.980,7.000
2,,,,CIN 2,7,14,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,7,14,"Paul Ernster kicks off 70 yards, touchback",0.000,0.280
2,12:07,1,10,CIN 20,7,14,Carson Palmer pass complete deep right to Reggie Kelly for 18 yards (tackle by Domonique Foxworth),0.280,1.470
2,11:55,1,10,CIN 38,7,14,Carson Palmer pass incomplete deep left intended for Chad Johnson,1.470,0.920
2,11:50,2,10,CIN 38,7,14,Rudi Johnson middle for 9 yards (tackle by Champ Bailey),0.920,1.420
2,11:14,3,1,CIN 47,7,14,Rudi Johnson middle for 2 yards (tackle by Domonique Foxworth),1.420,2.190
2,10:45,1,10,CIN 49,7,14,Carson Palmer pass complete short right to Chris Henry for 11 yards (tackle by Domonique Foxworth),2.190,2.920
2,10:28,1,10,DEN 40,7,14,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 4 yards (tackle by Domonique Foxworth),2.920,2.910
2,9:52,2,6,DEN 36,7,14,Rudi Johnson left guard for 1 yard (tackle by Ebenezer Ekuban and Al Wilson),2.910,2.340
2,9:09,3,5,DEN 35,7,14,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 6 yards (tackle by Domonique Foxworth),2.340,3.640
2,8:45,1,10,DEN 29,7,14,Carson Palmer pass incomplete deep left intended for Chris Henry,3.640,3.100
2,8:40,2,10,DEN 29,7,14,Rudi Johnson right tackle for 3 yards (tackle by Patrick Chukwurah),3.100,2.810
2,8:01,3,7,DEN 26,7,14,"Penalty on Willie Anderson: False Start, 5 yards (no play)",2.810,2.150
2,7:38,3,12,DEN 31,7,14,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 3 yards (tackle by John Lynch),2.150,1.590
2,6:53,4,9,DEN 28,10,14,Shayne Graham 46 yard field goal good,1.590,3.000
2,,,,CIN 30,10,14,"Shayne Graham kicks off 70 yards, touchback",0.000,0.280
2,6:49,1,10,DEN 20,10,14,"Jay Cutler for no gain. Jay Cutler fumbles, recovered by Jay Cutler at DEN-18",0.280,-0.630
2,6:11,2,12,DEN 18,10,14,Brandon Marshall left end for 6 yards (tackle by Justin Smith),-0.630,-0.430
2,5:35,3,6,DEN 24,10,14,Jay Cutler pass complete short right to Javon Walker for -4 yards (tackle by Justin Smith),-0.430,-2.030
2,4:58,4,10,DEN 20,10,14,"Paul Ernster punts 54 yards, returned by Keiwan Ratliff for -5 yards (tackle by Hamza Abdullah)",-2.030,-0.340
2,4:45,1,10,CIN 21,10,14,Rudi Johnson middle for 1 yard (tackle by Ian Gold and John Engelberger),0.340,-0.070
2,4:19,2,9,CIN 22,10,14,Carson Palmer pass complete short right to Rudi Johnson for 4 yards (tackle by Domonique Foxworth),-0.070,-0.230
2,3:37,3,5,CIN 26,10,14,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 4 yards (tackle by Domonique Foxworth),-0.230,-1.370
2,2:57,4,1,CIN 30,10,14,"Kyle Larson punts 59 yards, returned by Darrent Williams for 9 yards (tackle by Landon Johnson)",-1.370,-0.280
2,2:45,1,10,DEN 20,10,14,"Tatum Bell left tackle for 5 yards (tackle by Domata Peko). Tatum Bell fumbles (forced by Domata Peko), recovered by Deltha O'Neal at DEN-30 (tackle by George Foster)",0.280,-3.580
2,2:37,1,10,DEN 30,10,14,Carson Palmer pass incomplete deep right intended for T.J. Houshmandzadeh,3.580,3.030
2,2:30,2,10,DEN 30,10,14,Rudi Johnson right tackle for 11 yards (tackle by Ebenezer Ekuban and Patrick Chukwurah),3.030,4.310
