Quarter,Time,Tm,Detail,CIN,DEN
1.0,3:44,Bengals,Rudi Johnson 6 yard rush (Shayne Graham kick),7,0
2.0,13:24,Broncos,Tony Scheffler 1 yard pass from Jay Cutler (Jason Elam kick),7,7
,12:07,Broncos,Javon Walker 39 yard pass from Jay Cutler (Jason Elam kick),7,14
,6:49,Bengals,Shayne Graham 46 yard field goal,10,14
,0:43,Bengals,Chris Henry 11 yard pass from Carson Palmer (Shayne Graham kick),17,14
3.0,3:17,Broncos,Mike Bell 2 yard rush (Jason Elam kick),17,21
4.0,12:54,Broncos,Jason Elam 24 yard field goal,17,24
,0:41,Bengals,T.J. Houshmandzadeh 10 yard pass from Carson Palmer (Shayne Graham kick failed),23,24
