Unnamed: 0,CIN,DEN
First Downs,23,17
Rush-Yds-TDs,34-149-1,34-127-1
Cmp-Att-Yd-TD-INT,21-40-209-2-2,12-23-179-2-1
Sacked-Yards,2-15,3-19
Net Pass Yards,194,160
Total Yards,343,287
Fumbles-Lost,4-2,3-1
Turnovers,4,2
Penalties-Yards,8-46,3-10
Third Down Conv.,6-15,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,30:09,29:51
