Quarter,Time,Tm,Detail,WAS,BUF
1.0,10:53,Bills,Emmanuel Sanders 28 yard pass from Josh Allen (Tyler Bass kick),0,7
2.0,12:59,Bills,Zack Moss 7 yard pass from Josh Allen (Tyler Bass kick),0,14
,10:42,Bills,Dawson Knox 14 yard pass from Josh Allen (Tyler Bass kick),0,21
,9:51,Football Team,Antonio Gibson 73 yard pass from Taylor Heinicke (Dustin Hopkins kick),7,21
,7:39,Football Team,Taylor Heinicke 4 yard rush (Dustin Hopkins kick),14,21
,1:37,Bills,Tyler Bass 21 yard field goal,14,24
,0:00,Bills,Tyler Bass 48 yard field goal,14,27
3.0,4:43,Bills,Emmanuel Sanders 5 yard pass from Josh Allen (pass failed),14,33
,2:11,Bills,Tyler Bass 29 yard field goal,14,36
4.0,10:29,Bills,Josh Allen 2 yard rush (Tyler Bass kick),14,43
,5:21,Football Team,Logan Thomas 2 yard pass from Taylor Heinicke (Dustin Hopkins kick),21,43
