Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Football Team won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",,
1,15:00,1,10,BUF 25,0,0,Devin Singletary left end for no gain (tackle by Montez Sweat and Jonathan Bostic),,
1,14:20,2,10,BUF 25,0,0,Josh Allen pass incomplete short left intended for Devin Singletary,,
1,14:17,3,10,BUF 25,0,0,"Penalty on Emmanuel Sanders: False Start, 5 yards (accepted) (no play)",,
1,14:17,3,15,BUF 20,0,0,Josh Allen pass complete deep right to Gabriel Davis for 23 yards (tackle by Jonathan Bostic and Kendall Fuller),,
1,13:32,1,10,BUF 43,0,0,Josh Allen scrambles right end for 4 yards (tackle by Landon Collins),,
1,12:47,2,6,BUF 47,0,0,Josh Allen pass complete short right to Emmanuel Sanders for 11 yards (tackle by Cole Holcomb),,
1,12:08,1,10,WAS 42,0,0,Josh Allen pass complete short middle to Stefon Diggs for 13 yards (tackle by Landon Collins),,
1,11:27,1,10,WAS 29,0,0,Josh Allen pass complete short right to Tommy Sweeney for 1 yard,,
1,11:07,2,9,WAS 28,0,6,"Josh Allen pass complete to Emmanuel Sanders for 28 yards, touchdown",,
1,10:53,,,WAS 15,0,7,Tyler Bass kicks extra point good,,
1,10:53,,,BUF 35,0,7,"Tyler Bass kicks off 65 yards, returned by DeAndre Carter for 21 yards (tackle by Tyler Matakevich)",,
1,10:47,1,10,WAS 21,0,7,J.D. McKissic right guard for 8 yards (tackle by Ed Oliver),,
1,10:12,2,2,WAS 29,0,7,Taylor Heinicke pass complete short right to Terry McLaurin for no gain (tackle by Tre'Davious White),,
1,9:30,3,2,WAS 29,0,7,"Taylor Heinicke pass complete short right to Terry McLaurin for no gain. Penalty on J.D. McKissic: Offensive Pass Interference, 10 yards (accepted) (no play)",,
1,9:06,3,12,WAS 19,0,7,"Taylor Heinicke pass complete to Logan Thomas for 11 yards (tackle by Tremaine Edmunds) WAS challenged the first down ruling, and the play was upheld.",,
1,8:26,4,1,WAS 30,0,7,"Tress Way punts 52 yards, returned by Isaiah McKenzie for 6 yards (tackle by Casey Toohill)",,
1,8:14,1,10,BUF 24,0,7,Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by William Jackson),,
1,7:33,2,7,BUF 27,0,7,Zack Moss up the middle for 6 yards (tackle by Cole Holcomb and Landon Collins),,
1,6:53,3,1,BUF 33,0,7,Isaiah McKenzie right end for 8 yards (tackle by Kamren Curl),,
1,6:11,1,10,BUF 41,0,7,Josh Allen pass incomplete deep right intended for Stefon Diggs,,
1,6:04,2,10,BUF 41,0,7,Josh Allen pass complete short left to Zack Moss for 7 yards (tackle by Montez Sweat),,
1,5:28,3,3,BUF 48,0,7,Josh Allen pass complete short left to Emmanuel Sanders for 9 yards (tackle by Benjamin St-Juste),,
1,4:47,1,10,WAS 47,0,7,Josh Allen pass incomplete deep middle intended for Stefon Diggs,,
1,4:41,2,10,WAS 43,0,7,Josh Allen pass complete short right to Cole Beasley for 7 yards (tackle by Kendall Fuller),,
1,4:02,3,3,WAS 36,0,7,Josh Allen right tackle for 1 yard (tackle by Jamin Davis and Benjamin St-Juste),,
1,3:17,4,2,WAS 35,0,7,Josh Allen pass complete short left to Devin Singletary for no gain (tackle by Jamin Davis),,
1,3:09,1,10,WAS 35,0,7,Taylor Heinicke pass incomplete deep left intended for Dyami Brown,,
1,3:03,2,10,WAS 35,0,7,Antonio Gibson right guard for 2 yards (tackle by Matt Milano),,
1,2:00,3,8,WAS 37,0,7,"Taylor Heinicke pass complete short middle to Logan Thomas for 15 yards. Logan Thomas fumbles (forced by Tre'Davious White) (tackle by Jordan Poyer and Tre'Davious White), recovered by Matt Milano at BUF-48 (tackle by Jordan Poyer) (tackle by Tre'Davious White)",,
1,2:11,1,10,BUF 48,0,7,Devin Singletary left tackle for -2 yards (tackle by Landon Collins),,
1,1:39,2,12,BUF 46,0,7,Devin Singletary up the middle for 4 yards (tackle by Cole Holcomb and Landon Collins),,
1,0:58,3,8,BUF 50,0,7,"Josh Allen pass incomplete short left intended for Stefon Diggs. Penalty on William Jackson: Defensive Pass Interference, 8 yards (accepted) (no play)",,
1,0:53,1,10,WAS 42,0,7,Josh Allen pass complete short left to Zack Moss for 17 yards (tackle by Jonathan Bostic),,
1,0:13,1,10,WAS 25,0,7,Zack Moss right tackle for 4 yards (tackle by Benjamin St-Juste and Cole Holcomb),,
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,WAS 21,0,7,Zack Moss left end for 8 yards (tackle by Daron Payne and Kamren Curl),,
2,14:20,1,10,WAS 13,0,7,Josh Allen pass complete short right to Cole Beasley for 4 yards (tackle by Kendall Fuller),,
2,13:44,2,6,WAS 9,0,7,Zack Moss right tackle for 2 yards (tackle by Daron Payne and Chase Young),,
2,13:09,3,4,WAS 7,0,13,"Josh Allen pass complete short right to Zack Moss for 7 yards, touchdown",,
2,12:59,,,WAS 15,0,14,Tyler Bass kicks extra point good,,
2,12:59,,,BUF 35,0,14,"Tyler Bass kicks off 65 yards, touchback.",,
2,12:59,1,10,WAS 25,0,14,Taylor Heinicke pass complete short right to Terry McLaurin for 10 yards (tackle by Micah Hyde),,
2,12:24,1,10,WAS 35,0,14,Antonio Gibson left guard for 4 yards (tackle by Vernon Butler),,
2,11:48,2,6,WAS 39,0,14,Taylor Heinicke pass intended for Terry McLaurin is intercepted by Jordan Poyer at WAS-43 and returned for 26 yards (tackle by Terry McLaurin),,
2,11:37,1,10,WAS 17,0,14,Devin Singletary up the middle for 3 yards (tackle by Kamren Curl and Cole Holcomb),,
2,10:55,2,7,WAS 14,0,14,Josh Allen pass incomplete short right intended for Cole Beasley (defended by Benjamin St-Juste),,
2,10:48,3,7,WAS 14,0,20,"Josh Allen pass complete to Dawson Knox for 14 yards, touchdown",,
2,10:42,,,WAS 15,0,21,Tyler Bass kicks extra point good,,
2,10:42,,,BUF 35,0,21,"Tyler Bass kicks off 65 yards, touchback.",,
2,10:42,1,10,WAS 25,0,21,Antonio Gibson up the middle for 2 yards (tackle by Tremaine Edmunds),,
2,9:59,2,8,WAS 27,6,21,"Taylor Heinicke pass complete short right to Antonio Gibson for 73 yards, touchdown",,
2,9:51,,,BUF 15,7,21,Dustin Hopkins kicks extra point good,,
2,9:51,,,WAS 35,7,21,"Dustin Hopkins kicks off 45 yards, recovered by Dustin Hopkins",,
2,9:48,1,10,BUF 24,7,21,Cam Sims right end for 7 yards (tackle by Taron Johnson and Gregory Rousseau),,
2,9:14,2,3,BUF 17,7,21,Antonio Gibson right end for -1 yards (tackle by Jordan Poyer),,
2,8:30,3,4,BUF 18,7,21,Taylor Heinicke pass complete short middle to Logan Thomas for 14 yards (tackle by Micah Hyde),,
2,7:54,1,4,BUF 4,7,21,Taylor Heinicke pass incomplete short right intended for Antonio Gibson,,
2,7:50,2,4,BUF 4,13,21,"Taylor Heinicke scrambles right end for 4 yards, touchdown",,
2,7:39,,,BUF 15,14,21,Dustin Hopkins kicks extra point good,,
2,7:39,,,WAS 35,14,21,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,7:39,1,10,BUF 25,14,21,Josh Allen pass complete short middle to Cole Beasley for 18 yards (tackle by Jamin Davis),,
2,6:56,1,10,BUF 43,14,21,Devin Singletary right end for 4 yards (tackle by Kendall Fuller),,
2,6:17,2,6,BUF 47,14,21,Josh Allen pass complete short left to Cole Beasley for 2 yards (tackle by Bobby McCain),,
2,5:41,3,4,BUF 49,14,21,Josh Allen pass incomplete short right intended for Dawson Knox,,
2,5:35,4,4,BUF 49,14,21,"Matt Haack punts 37 yards, fair catch by DeAndre Carter at WAS-14",,
2,5:27,1,10,WAS 14,14,21,Taylor Heinicke scrambles right end for 1 yard (tackle by Gregory Rousseau),,
2,4:58,2,9,WAS 15,14,21,Antonio Gibson right end for -1 yards (tackle by Matt Milano),,
2,4:21,3,10,WAS 14,14,21,Taylor Heinicke pass complete short middle to Adam Humphries for 7 yards (tackle by Tremaine Edmunds and Micah Hyde),,
2,3:44,4,3,WAS 21,14,21,"Tress Way punts 42 yards, returned by Isaiah McKenzie for 15 yards (tackle by Casey Toohill and James Smith-Williams). Penalty on Tyler Matakevich: Defensive Holding, 10 yards (accepted)",,
2,3:29,1,10,BUF 42,14,21,Josh Allen pass complete deep left to Emmanuel Sanders for 41 yards (tackle by Kamren Curl),,
2,2:43,1,10,WAS 17,14,21,Josh Allen pass complete short right to Cole Beasley for 7 yards (tackle by Kamren Curl and Kendall Fuller),,
2,2:10,2,3,WAS 10,14,21,Zack Moss left guard for 3 yards (tackle by Jonathan Bostic and Jonathan Allen),,
