Unnamed: 0,WAS,BUF
First Downs,13,29
Rush-Yds-TDs,25-78-1,33-122-1
Cmp-Att-Yd-TD-INT,14-24-212-2-2,33-44-359-4-0
Sacked-Yards,1-0,0-0
Net Pass Yards,212,359
Total Yards,290,481
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,5-38,5-30
Third Down Conv.,2-11,9-15
Fourth Down Conv.,1-2,0-1
Time of Possession,24:23,35:37
