Quarter,Time,Down,ToGo,Location,NYG,DEN,Detail,EPB,EPA
1,8:21,1,8,DEN 8,0,0,Orleans Darkwa right tackle for 3 yards (tackle by DeMarcus Walker),5.370,5.150
1,7:44,2,5,DEN 5,0,0,Eli Manning pass incomplete short right intended for Matt LaCosse (defended by Shelby Harris),5.150,4.260
1,7:38,3,5,DEN 5,0,0,Eli Manning sacked by Shaquil Barrett for -2 yards,4.260,2.970
1,6:58,4,7,DEN 7,3,0,Aldrick Rosas 25 yard field goal good,2.970,3.000
1,6:54,,,NYG 35,3,0,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
1,6:54,1,10,DEN 25,3,0,"Trevor Siemian pass complete short middle to Demaryius Thomas for 12 yards (tackle by Landon Collins). Penalty on Allen Barbre: Offensive Holding, 10 yards (no play)",0.610,-0.410
1,6:38,1,20,DEN 15,3,0,C.J. Anderson middle for 1 yard (tackle by Calvin Munson),-0.410,-1.290
1,6:07,2,19,DEN 16,3,0,"Trevor Siemian sacked by Jason Pierre-Paul for -6 yards. Trevor Siemian fumbles (forced by Jason Pierre-Paul), recovered by Trevor Siemian at DEN-12",-1.290,-2.940
1,5:23,3,23,DEN 12,3,0,Trevor Siemian pass complete short left to A.J. Derby for 10 yards (tackle by Eli Apple),-2.940,-1.900
1,4:48,4,13,DEN 22,3,0,"Riley Dixon punts 48 yards, fair catch by Ed Eagan",-1.900,-0.940
1,4:39,1,10,NYG 30,3,0,Eli Manning pass incomplete short right intended for Wayne Gallman,0.940,0.390
1,4:34,2,10,NYG 30,3,0,Eli Manning pass complete short right to Wayne Gallman for -2 yards (tackle by Domata Peko and Brandon Marshall),0.390,-0.560
1,3:55,3,12,NYG 28,3,0,Shane Vereen middle for 4 yards (tackle by Shelby Harris),-0.560,-1.240
1,3:21,4,8,NYG 32,3,0,"Brad Wing punts 40 yards. Penalty on Michael Hunter: Interference with Opportunity to, 15 yards",-1.240,-1.800
1,3:10,1,10,DEN 43,3,0,Jamaal Charles middle for 2 yards (tackle by Kerry Wynn),1.800,1.520
1,2:36,2,8,DEN 45,3,0,Trevor Siemian pass complete deep left to Emmanuel Sanders for 33 yards (tackle by Darian Thompson),1.520,4.110
1,1:50,1,10,NYG 22,3,0,Trevor Siemian pass incomplete short right intended for A.J. Derby,4.110,3.560
1,1:43,2,10,NYG 22,3,0,Jamaal Charles right end for 6 yards (tackle by Jason Pierre-Paul and B.J. Goodson),3.560,3.740
1,1:02,3,4,NYG 16,3,0,Trevor Siemian pass incomplete deep right intended for Devontae Booker,3.740,2.450
1,0:57,4,4,NYG 16,3,0,Brandon McManus 35 yard field goal no good,2.450,-0.610
1,0:53,1,10,NYG 25,3,0,Orleans Darkwa right guard for no gain (tackle by Todd Davis and Darian Stewart),0.610,0.000
1,0:08,,,,,,Timeout #1 by New York Giants,0.000,-0.060
1,0:08,2,10,NYG 25,3,0,Orleans Darkwa left tackle for 5 yards (tackle by Shaquil Barrett and Chris Harris),0.060,0.040
Quarter,Time,Down,ToGo,Location,NYG,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,NYG 30,3,0,"Penalty on Justin Pugh: False Start, 5 yards (no play)",0.040,-0.620
2,14:59,3,10,NYG 25,3,0,Eli Manning pass complete short left to Roger Lewis for 15 yards (tackle by Bradley Roby),-0.620,1.600
2,14:28,1,10,NYG 40,3,0,Orleans Darkwa middle for 47 yards (tackle by Justin Simmons),1.600,4.710
2,13:53,1,10,DEN 13,3,0,Wayne Gallman left end for 8 yards (tackle by Shaquil Barrett and Brandon Marshall),4.710,5.540
2,13:12,2,2,DEN 5,3,0,Orleans Darkwa middle for no gain (tackle by Justin Simmons),5.540,4.780
2,12:36,3,2,DEN 5,9,0,"Eli Manning pass complete short right to Evan Engram for 5 yards, touchdown",4.780,7.000
2,12:30,,,DEN 15,10,0,Aldrick Rosas kicks extra point good,0.000,0.000
2,12:30,,,NYG 35,10,0,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
2,12:30,1,10,DEN 25,10,0,Trevor Siemian pass complete short left to Demaryius Thomas for 8 yards (tackle by Janoris Jenkins),0.610,1.140
2,12:00,2,2,DEN 33,10,0,C.J. Anderson right tackle for 2 yards (tackle by Dalvin Tomlinson),1.140,1.270
2,11:27,1,10,DEN 35,10,0,Trevor Siemian pass complete short left to Demaryius Thomas for 12 yards (tackle by Calvin Munson),1.270,2.060
2,10:56,1,10,DEN 47,10,0,C.J. Anderson left tackle for -2 yards (tackle by Kerry Wynn),2.060,1.250
2,10:15,2,12,DEN 45,10,0,Trevor Siemian pass complete short middle to Demaryius Thomas for 5 yards (tackle by Janoris Jenkins),1.250,1.220
2,9:59,3,7,,10,0,"Trevor Siemian pass incomplete deep right intended for Demaryius Thomas. Penalty on Janoris Jenkins: Defensive Pass Interference, 15 yards (no play)",1.220,3.250
2,9:54,1,10,NYG 35,10,0,Trevor Siemian pass complete short middle to Isaiah McKenzie for no gain,3.250,2.700
2,9:24,2,10,NYG 35,10,0,Trevor Siemian pass incomplete short right intended for Jamaal Charles,2.700,2.010
2,9:21,3,10,NYG 35,10,0,Trevor Siemian pass incomplete deep right intended for Demaryius Thomas is intercepted by Landon Collins at NYG-14 and returned for 21 yards,2.010,-1.270
2,9:12,1,10,NYG 35,10,0,Wayne Gallman middle for 2 yards (tackle by Domata Peko and Todd Davis),1.270,0.990
2,8:49,2,8,NYG 37,10,0,Wayne Gallman middle for no gain (tackle by Derek Wolfe),0.990,0.300
2,8:03,3,8,NYG 37,10,0,"Penalty on Eli Manning: Delay of Game, 5 yards (no play)",0.300,-0.360
2,7:44,3,13,NYG 32,10,0,Eli Manning pass incomplete short right intended for Travis Rudolph (defended by Justin Simmons),-0.360,-1.240
2,7:33,4,13,NYG 32,10,0,"Brad Wing punts 58 yards, returned by Isaiah McKenzie for 10 yards (tackle by Ross Cockrell)",-1.240,-0.280
2,7:27,1,10,DEN 20,10,0,Jamaal Charles right tackle for 5 yards (tackle by Jason Pierre-Paul),0.280,0.410
2,7:06,2,5,DEN 25,10,0,Trevor Siemian pass complete deep middle to Virgil Green for 24 yards (tackle by Darian Thompson and Nat Berhe),0.410,2.190
2,6:33,1,10,DEN 49,10,0,"C.J. Anderson middle for 6 yards (tackle by Kerry Wynn). Penalty on Virgil Green: Offensive Holding, 10 yards (no play)",2.190,1.530
2,6:14,1,20,DEN 39,10,0,Trevor Siemian pass incomplete deep left intended for Bennie Fowler,1.530,0.300
2,6:06,2,20,DEN 39,10,0,Trevor Siemian pass complete short left to Demaryius Thomas for 11 yards (tackle by Ross Cockrell),0.300,1.090
2,5:26,3,9,,10,0,Trevor Siemian pass complete deep left to Demaryius Thomas for 40 yards (tackle by Janoris Jenkins),1.090,0.000
2,4:38,,,,,,Timeout #1 by Denver Broncos,0.000,-4.910
2,4:38,1,10,NYG 10,10,0,Trevor Siemian pass incomplete short left intended for Demaryius Thomas (defended by Keenan Robinson),4.910,4.190
2,4:34,2,10,NYG 10,10,0,Trevor Siemian pass incomplete short left intended for Bennie Fowler (defended by Eli Apple),4.190,3.130
2,4:29,3,10,NYG 10,10,0,Trevor Siemian pass incomplete short middle intended for Bennie Fowler (defended by B.J. Goodson),3.130,2.760
2,4:25,4,10,NYG 10,10,3,Brandon McManus 28 yard field goal good,2.760,3.000
2,4:21,,,DEN 35,10,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,4:21,1,10,NYG 25,10,3,Eli Manning sacked by Adam Gotsis for -4 yards,0.610,-0.480
2,3:42,2,14,NYG 21,10,3,Orleans Darkwa middle for 2 yards (tackle by Domata Peko),-0.480,-0.890
2,3:01,3,12,NYG 23,10,3,Eli Manning pass incomplete short left intended for Tavarres King,-0.890,-1.830
2,2:48,4,12,NYG 23,10,3,"Brad Wing punts 62 yards, returned by Isaiah McKenzie for 7 yards (tackle by Zak DeOssie)",-1.830,-0.410
2,2:32,1,10,DEN 22,10,3,C.J. Anderson left tackle for 5 yards (tackle by Jason Pierre-Paul),0.410,0.540
2,2:00,2,5,DEN 27,10,3,Trevor Siemian pass complete short right to Jamaal Charles for 2 yards (tackle by B.J. Goodson),0.540,0.100
2,1:33,3,3,DEN 29,10,3,Trevor Siemian middle for 9 yards,0.100,1.470
2,1:09,1,10,DEN 38,10,3,Trevor Siemian pass incomplete short middle intended for Jamaal Charles (defended by Devon Kennard),1.470,0.920
2,1:06,2,10,DEN 38,10,3,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders,0.920,0.230
2,1:01,3,10,DEN 38,16,3,"Trevor Siemian pass incomplete short left intended for Bennie Fowler is intercepted by Janoris Jenkins at DEN-43 and returned for 43 yards, touchdown",0.230,-7.000
2,,,,DEN 15,17,3,Aldrick Rosas kicks extra point good,,
2,0:48,,,NYG 35,17,3,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
2,0:48,1,10,DEN 25,17,3,Brock Osweiler pass complete short middle to Bennie Fowler for 9 yards (tackle by Keenan Robinson),0.610,0.000
2,0:42,,,,,,Timeout #2 by Denver Broncos,0.000,-1.280
2,0:42,2,1,DEN 34,17,3,Brock Osweiler pass incomplete short right intended for Devontae Booker,1.280,0.560
2,0:37,3,1,DEN 34,17,3,Devontae Booker middle for 2 yards (tackle by Robert Thomas and Jason Pierre-Paul),0.560,0.000
2,0:30,,,,,,Timeout #3 by Denver Broncos,0.000,-1.330
2,0:30,1,10,DEN 36,17,3,"Brock Osweiler pass incomplete deep right intended for Emmanuel Sanders. Penalty on Ronald Leary: Face Mask (15 Yards), 15 yards (no play)",1.330,0.340
2,0:22,1,25,DEN 21,17,3,Brock Osweiler pass complete short left to Devontae Booker for 9 yards (tackle by Kerry Wynn),0.340,-0.020
2,0:02,2,16,DEN 30,17,3,Brock Osweiler spiked the ball,-0.020,-0.690
2,0:02,3,16,DEN 30,17,3,Brock Osweiler kneels for -1 yards,-0.690,-1.440
Quarter,Time,Down,ToGo,Location,NYG,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,17,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NYG 25,17,3,Orleans Darkwa right end for 14 yards (tackle by Justin Simmons),0.610,1.530
3,14:22,1,10,NYG 39,17,3,Orleans Darkwa middle for -2 yards (tackle by Justin Simmons and Domata Peko),1.530,0.720
3,13:41,2,12,NYG 37,17,3,Eli Manning pass complete short middle to Wayne Gallman for 7 yards (tackle by Todd Davis),0.720,0.960
3,12:56,3,5,NYG 44,17,3,Eli Manning pass incomplete short left intended for Roger Lewis,0.960,-0.460
3,12:50,4,5,NYG 44,17,3,"Brad Wing punts 46 yards, fair catch by Isaiah McKenzie",-0.460,0.380
3,12:42,1,10,DEN 10,17,3,Trevor Siemian pass complete short middle to Emmanuel Sanders for 11 yards (tackle by Ross Cockrell),-0.380,0.340
3,12:14,1,10,DEN 21,17,3,C.J. Anderson middle for 6 yards (tackle by B.J. Goodson),0.340,0.610
3,11:47,2,4,DEN 27,17,3,C.J. Anderson right tackle for 1 yard (tackle by Damon Harrison),0.610,0.040
3,11:09,3,3,DEN 28,17,3,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders (defended by Eli Apple),0.040,-1.500
3,11:04,4,3,DEN 28,17,3,"Riley Dixon punts 55 yards, returned by Ed Eagan for 20 yards (tackle by Andy Janovich)",-1.500,-1.400
3,10:53,1,10,NYG 37,17,3,Orleans Darkwa middle for 2 yards (tackle by Derek Wolfe),1.400,1.130
3,10:13,2,8,NYG 39,17,3,Eli Manning pass complete short right to Evan Engram for 21 yards (tackle by Todd Davis),1.130,2.920
3,9:35,1,10,DEN 40,17,3,Orleans Darkwa right guard for no gain (tackle by Darian Stewart),2.920,2.370
3,8:56,2,10,DEN 40,17,3,Eli Manning pass complete short left to Tavarres King for 7 yards (tackle by Todd Davis),2.370,2.610
3,8:19,3,3,DEN 33,17,3,Eli Manning pass incomplete short middle intended for Tavarres King (defended by Bradley Roby),2.610,1.190
3,8:13,4,3,DEN 33,20,3,Aldrick Rosas 51 yard field goal good,1.190,3.000
3,8:08,,,NYG 35,20,3,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
3,8:08,1,10,DEN 25,20,3,Trevor Siemian pass complete short left to Demaryius Thomas for 24 yards (tackle by Darian Thompson),0.610,2.190
3,7:23,1,10,DEN 49,20,3,Trevor Siemian pass incomplete short right intended for Andy Janovich,2.190,1.650
3,7:18,2,10,DEN 49,20,3,Jamaal Charles right guard for 3 yards (tackle by Darian Thompson),1.650,1.360
3,6:41,3,7,NYG 48,20,3,"Trevor Siemian for 8 yards. Penalty on Garett Bolles: Offensive Holding (Offsetting), Penalty on B.J. Goodson: Defensive Holding (Offsetting) (no play)",1.360,1.360
3,6:18,3,7,NYG 48,20,3,Trevor Siemian pass complete short right to Emmanuel Sanders for 11 yards (tackle by Eli Apple),1.360,3.120
3,5:42,1,10,NYG 37,20,3,Trevor Siemian sacked by Damon Harrison for -11 yards,3.120,1.090
3,5:03,2,21,NYG 48,20,3,Trevor Siemian pass complete short right to Emmanuel Sanders for 13 yards (tackle by Donte Deayon),1.090,2.150
3,4:23,3,8,NYG 35,20,3,Trevor Siemian pass incomplete short right intended for A.J. Derby (defended by Keenan Robinson),2.150,0.970
3,4:18,4,8,NYG 35,20,3,"Brandon McManus 53 yard field goal no good, blocked by Kerry Wynn",0.970,-1.800
3,4:13,1,10,NYG 43,20,3,Eli Manning pass complete short left to Evan Engram for 19 yards (tackle by Darian Stewart),1.800,3.050
3,3:38,1,10,DEN 38,20,3,Wayne Gallman middle for 3 yards (tackle by Shaquil Barrett),3.050,2.910
3,2:59,2,7,DEN 35,20,3,Wayne Gallman right guard for 4 yards (tackle by Todd Davis and Chris Harris),2.910,2.740
3,2:20,3,3,DEN 31,20,3,Eli Manning pass incomplete short right intended for Evan Engram (defended by Justin Simmons),2.740,1.380
3,2:15,4,3,DEN 31,20,3,"Aldrick Rosas 49 yard field goal no good, blocked by Adam Gotsis",1.380,-1.530
3,2:10,1,10,DEN 39,20,3,C.J. Anderson middle for 3 yards (tackle by Damon Harrison),1.530,1.390
3,1:46,2,7,DEN 42,20,3,Trevor Siemian pass complete short left to Emmanuel Sanders for 8 yards,1.390,2.260
3,1:15,1,10,,20,3,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders,2.260,1.710
3,1:11,2,10,,20,3,Trevor Siemian sacked by Jason Pierre-Paul for -2 yards,1.710,0.760
3,0:31,3,12,DEN 48,20,3,Trevor Siemian pass complete short left to Jordan Taylor for 7 yards (tackle by Devon Kennard),0.760,0.270
Quarter,Time,Down,ToGo,Location,NYG,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,NYG 45,20,3,Trevor Siemian pass complete short right to Demaryius Thomas for 6 yards (tackle by Janoris Jenkins). Demaryius Thomas fumbles (forced by Janoris Jenkins),0.270,-1.530
4,14:54,1,10,NYG 39,20,3,Orleans Darkwa right tackle for 1 yard (tackle by Shelby Harris),1.530,1.120
4,14:15,2,9,NYG 40,20,3,Orleans Darkwa middle for 2 yards (tackle by Todd Davis),1.120,0.700
4,13:34,3,7,NYG 42,20,3,Eli Manning sacked by Von Miller for -4 yards,0.700,-0.850
4,12:57,4,11,NYG 38,20,3,"Brad Wing punts 44 yards, muffed catch by Isaiah McKenzie, recovered by Isaiah McKenzie and returned for no gain",-0.850,0.220
4,12:45,1,10,DEN 15,20,3,Trevor Siemian pass incomplete deep middle intended for Isaiah McKenzie (defended by B.J. Goodson),-0.220,-0.710
4,12:38,2,10,DEN 15,20,3,Trevor Siemian pass complete short left to Devontae Booker for 17 yards (tackle by Keenan Robinson),-0.710,1.070
4,12:08,1,10,DEN 32,20,3,Trevor Siemian pass complete short right to Jordan Taylor for 8 yards (tackle by Eli Apple),1.070,1.610
4,11:44,2,2,DEN 40,20,3,Trevor Siemian pass complete deep middle to Demaryius Thomas for 21 yards (tackle by Janoris Jenkins),1.610,2.980
4,11:12,1,10,NYG 39,20,3,Trevor Siemian sacked by Jason Pierre-Paul for -11 yards,2.980,0.960
4,10:42,2,21,,20,3,Trevor Siemian pass complete short middle to Jeff Heuerman for 11 yards (tackle by B.J. Goodson),0.960,1.750
4,10:15,3,10,NYG 39,20,3,Trevor Siemian pass incomplete short left intended for Demaryius Thomas,1.750,0.660
4,10:09,4,10,NYG 39,20,3,"Penalty on Billy Turner: False Start, 6 yards (no play)",0.660,0.270
4,10:07,4,16,NYG 45,20,3,"Trevor Siemian pass incomplete deep middle intended for Demaryius Thomas. Penalty on Janoris Jenkins: Defensive Pass Interference, 37 yards (no play)",0.270,5.370
4,10:00,1,8,NYG 8,20,3,Trevor Siemian pass complete short middle to Demaryius Thomas for 3 yards (tackle by B.J. Goodson),5.370,5.150
4,9:19,2,5,NYG 5,20,3,Trevor Siemian pass incomplete short middle intended for Jordan Taylor (defended by Ross Cockrell),5.150,4.260
4,9:14,3,5,NYG 5,20,3,Trevor Siemian pass complete short middle to Bennie Fowler for 4 yards (tackle by Ross Cockrell),4.260,3.550
4,8:30,4,1,NYG 1,20,3,C.J. Anderson right guard for no gain (tackle by Janoris Jenkins),3.550,0.380
4,8:23,1,10,NYG 1,20,3,Orleans Darkwa middle for 15 yards (tackle by Justin Simmons),-0.380,-0.140
4,7:39,1,10,NYG 16,20,3,Orleans Darkwa right end for 1 yard (tackle by Justin Simmons),-0.140,-0.510
4,6:57,2,9,NYG 17,20,3,Orleans Darkwa middle for 3 yards (tackle by Corey Nelson and Domata Peko),-0.510,-0.820
4,6:26,3,6,NYG 20,20,3,Orleans Darkwa middle for -2 yards (tackle by Justin Simmons),-0.820,0.000
4,6:21,,,,,,Timeout #2 by Denver Broncos,0.000,2.240
4,6:21,4,8,NYG 18,20,3,"Brad Wing punts 46 yards, returned by Brendan Langley for 6 yards (tackle by Curtis Grant). Penalty on Kasim Edebali: Defensive Offside (Declined)",-2.240,-1.730
4,6:10,1,10,DEN 42,20,3,Trevor Siemian pass incomplete short right intended for Bennie Fowler (defended by Eli Apple),1.730,1.190
4,6:03,2,10,DEN 42,20,3,Trevor Siemian pass complete short middle to Devontae Booker for 23 yards (tackle by B.J. Goodson),1.190,3.250
4,5:36,1,10,NYG 35,20,3,Trevor Siemian pass complete short left to Jordan Taylor for 11 yards (tackle by Keenan Robinson),3.250,3.970
4,5:09,1,10,NYG 24,20,3,Trevor Siemian pass complete short right to Bennie Fowler for 8 yards (tackle by Keenan Robinson),3.970,4.650
4,4:42,2,2,NYG 16,20,3,Trevor Siemian pass incomplete deep middle intended for A.J. Derby,4.650,3.950
4,4:38,3,2,NYG 16,20,3,Jamaal Charles middle for 3 yards (tackle by Keenan Robinson),3.950,4.710
4,4:13,1,10,NYG 13,20,9,"Trevor Siemian pass complete short middle to Jeff Heuerman for 13 yards, touchdown",4.710,7.000
4,4:07,,,NYG 15,20,10,Brandon McManus kicks extra point good,0.000,0.000
4,4:07,,,DEN 35,20,10,"Brandon McManus kicks onside 11 yards, recovered by Roger Lewis. Penalty on Justin Simmons: Offside on Free Kick, 5 yards",0.000,-2.850
4,4:06,1,10,DEN 41,20,10,Orleans Darkwa middle for no gain (tackle by Derek Wolfe),2.850,2.310
4,3:25,2,10,DEN 41,20,10,Orleans Darkwa middle for 1 yard (tackle by Brandon Marshall and Todd Davis),2.310,1.750
4,3:19,3,9,DEN 40,20,10,Orleans Darkwa left tackle for 19 yards (tackle by Darian Stewart),1.750,0.000
4,3:19,,,,,,Timeout #3 by Denver Broncos,0.000,-4.170
4,2:34,1,10,DEN 21,20,10,"Eli Manning for no gain. Eli Manning fumbles, recovered by Eli Manning at DEN-26",4.170,2.950
4,2:00,2,15,DEN 26,20,10,Wayne Gallman left end for 2 yards (tackle by Justin Simmons),2.950,2.540
4,1:18,3,13,DEN 24,20,10,Wayne Gallman left guard for 2 yards (tackle by Domata Peko),2.540,0.000
4,0:31,,,,,,Timeout #1 by New York Giants,0.000,-1.990
4,0:31,4,11,DEN 22,23,10,Aldrick Rosas 40 yard field goal good,1.990,3.000
4,0:27,,,NYG 35,23,10,"Aldrick Rosas kicks off 74 yards, returned by Brendan Langley for 47 yards (tackle by Aldrick Rosas)",0.000,-1.470
4,0:19,1,10,DEN 38,23,10,Trevor Siemian pass complete short right to Devontae Booker for 29 yards (tackle by Darian Thompson),1.470,3.380
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
