Quarter,Time,Tm,Detail,NYG,DEN
1.0,6:54,Giants,Aldrick Rosas 25 yard field goal,3,0
2.0,12:30,Giants,Evan Engram 5 yard pass from Eli Manning (Aldrick Rosas kick),10,0
,4:21,Broncos,Brandon McManus 28 yard field goal,10,3
,0:48,Giants,Jackrabbit Jenkins 43 yard interception return (Aldrick Rosas kick),17,3
3.0,8:08,Giants,Aldrick Rosas 51 yard field goal,20,3
4.0,4:07,Broncos,Jeff Heuerman 13 yard pass from Trevor Siemian (Brandon McManus kick),20,10
,0:27,Giants,Aldrick Rosas 40 yard field goal,23,10
