Unnamed: 0,NYG,DEN
First Downs,12,20
Rush-Yds-TDs,32-148-0,17-46-0
Cmp-Att-Yd-TD-INT,11-19-128-1-0,31-54-394-1-2
Sacked-Yards,3-10,4-28
Net Pass Yards,118,366
Total Yards,266,412
Fumbles-Lost,1-0,3-1
Turnovers,0,3
Penalties-Yards,5-77,5-46
Third Down Conv.,4-14,5-17
Fourth Down Conv.,0-0,0-2
Time of Possession,30:36,29:24
