Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA
1,0:51,3,6,CHI 19,0,7,Marcus Mariota pass complete short right to Delanie Walker for 8 yards (tackle by Adrian Amos),3.340,4.840
1,0:10,1,10,CHI 11,6,7,"Derrick Henry left tackle for 11 yards, touchdown",4.840,7.000
1,0:04,,,CHI 15,7,7,Ryan Succop kicks extra point good,0.000,0.000
1,0:04,,,TEN 35,7,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,0:04,1,10,CHI 25,7,7,Jeremy Langford left tackle for 5 yards (tackle by Karl Klug),0.610,0.740
Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,CHI 30,7,7,Jordan Howard right end for no gain (tackle by Sean Spence),0.740,0.040
2,14:24,3,5,CHI 30,7,7,Matt Barkley pass incomplete short left intended for Cameron Meredith,0.040,-1.370
2,14:17,4,5,CHI 30,7,7,"Penalty on Sherrick McManis: False Start, 5 yards (no play)",-1.370,-1.700
2,14:17,4,10,CHI 25,7,7,"Pat O'Donnell punts 39 yards, fair catch by Marc Mariani",-1.700,-1.330
2,14:11,1,10,TEN 36,7,7,Marcus Mariota right end for 7 yards,1.330,1.740
2,13:25,2,3,TEN 43,7,7,DeMarco Murray left end for 6 yards (tackle by Cre'von LeBlanc),1.740,2.190
2,12:42,1,10,TEN 49,7,7,Marcus Mariota right end for 11 yards (tackle by Pernell McPhee),2.190,2.920
2,12:02,1,10,CHI 40,7,7,Marcus Mariota pass complete short right to DeMarco Murray for 14 yards (tackle by Cornelius Washington),2.920,3.840
2,11:16,1,10,CHI 26,7,7,Derrick Henry left guard for 17 yards (tackle by Deon Bush),3.840,5.140
2,10:40,1,9,CHI 9,7,7,Derrick Henry left guard for 6 yards (tackle by Adrian Amos and Nick Kwiatkoski),5.140,5.530
2,10:01,2,3,CHI 3,7,7,DeMarco Murray left tackle for -1 yards (tackle by Nick Kwiatkoski and Pernell McPhee),5.530,4.490
2,9:16,3,4,CHI 4,13,7,"Marcus Mariota pass complete short middle to Delanie Walker for 4 yards, touchdown",4.490,7.000
2,9:11,,,CHI 15,14,7,Ryan Succop kicks extra point good,0.000,0.000
2,9:11,,,TEN 35,14,7,"Ryan Succop kicks off 53 yards, returned by Ka'Deem Carey for 22 yards (tackle by Nate Palmer)",0.000,-1.200
2,9:05,1,10,CHI 34,14,7,"Matt Barkley pass incomplete deep right intended for Deonte Thompson. Penalty on LeShaun Sims: Defensive Pass Interference, 45 yards (no play)",1.200,4.170
2,8:57,1,10,TEN 21,14,7,Matt Barkley pass complete short right to Marquess Wilson for 5 yards (tackle by LeShaun Sims),4.170,4.370
2,8:25,2,5,TEN 16,14,7,Matt Barkley pass incomplete short middle intended for Ben Braunecker is intercepted by Wesley Woodyard at TEN-12 and returned for 21 yards,4.370,-1.140
2,8:15,1,10,TEN 33,14,7,Marcus Mariota pass incomplete short right intended for Anthony Fasano (defended by Adrian Amos),1.140,0.590
2,8:08,2,10,TEN 33,14,7,DeMarco Murray left tackle for no gain (tackle by Eddie Goldman),0.590,-0.100
2,7:23,3,10,TEN 33,14,7,"Marcus Mariota pass incomplete short right intended for Tajae Sharpe. Penalty on Bryce Callahan: Defensive Holding, 5 yards (no play)",-0.100,1.470
2,7:18,1,10,TEN 38,14,7,DeMarco Murray right tackle for 4 yards (tackle by Pernell McPhee),1.470,1.460
2,6:38,2,6,TEN 42,14,7,DeMarco Murray right guard for 3 yards (tackle by Sam Acho),1.460,1.160
2,5:53,3,3,TEN 45,14,7,Marcus Mariota pass incomplete short left intended for Rishard Matthews,1.160,-0.390
2,5:48,4,3,TEN 45,14,7,"Brett Kern punts 44 yards, fair catch by Eddie Royal",-0.390,0.370
2,5:40,1,10,CHI 11,14,7,Jordan Howard right tackle for 10 yards (tackle by Wesley Woodyard),-0.370,0.340
2,5:05,1,10,CHI 21,14,7,Jordan Howard left end for 3 yards (tackle by Avery Williamson),0.340,0.210
2,4:19,2,7,CHI 24,14,7,"Matt Barkley pass complete short middle to Logan Paulsen for 18 yards (tackle by Da'Norris Searcy and Kevin Byard). Penalty on Logan Paulsen: Offensive Pass Interference, 10 yards (no play)",0.210,-1.250
2,3:53,2,17,CHI 14,14,7,Matt Barkley pass complete short left to Eddie Royal for -6 yards (tackle by Wesley Woodyard),-1.250,-2.940
2,3:15,3,23,CHI 8,14,7,Jordan Howard right guard for 10 yards (tackle by Avery Williamson and Da'Norris Searcy),-2.940,-2.240
2,2:25,4,13,CHI 18,14,7,"Pat O'Donnell punts 55 yards, returned by Marc Mariani for 8 yards (tackle by John Timu)",-2.240,-1.270
2,2:15,1,10,TEN 35,14,7,Marcus Mariota pass complete short left to Tajae Sharpe for 6 yards (tackle by Cre'von LeBlanc),1.270,1.530
2,2:00,2,4,TEN 41,14,7,"Marcus Mariota pass complete short left to Harry Douglas for 5 yards (tackle by Cre'von LeBlanc). Penalty on Akiem Hicks: Illegal Use of Hands, 5 yards (no play)",1.530,1.990
2,1:47,1,10,TEN 46,14,7,Marcus Mariota pass complete deep middle to Harry Douglas for 25 yards (tackle by Bryce Callahan),1.990,3.640
2,1:30,1,10,CHI 29,14,7,Marcus Mariota pass incomplete short left intended for Rishard Matthews,3.640,3.100
2,1:25,2,10,CHI 29,14,7,Marcus Mariota pass incomplete short middle intended for Rishard Matthews (defended by Tracy Porter),3.100,2.410
2,1:23,3,10,CHI 29,20,7,"Marcus Mariota pass complete deep middle to Rishard Matthews for 29 yards, touchdown",2.410,7.000
2,1:15,,,CHI 15,21,7,Ryan Succop kicks extra point good,0.000,0.000
2,1:15,,,TEN 35,21,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,1:15,1,10,CHI 25,21,7,Matt Barkley pass incomplete short left intended for Jeremy Langford,0.610,0.060
2,1:12,2,10,CHI 25,21,7,Matt Barkley pass complete short left to Josh Bellamy for 9 yards (tackle by Jason McCourty),0.060,0.560
2,0:49,3,1,CHI 34,21,7,Matt Barkley pass incomplete short left intended for Josh Bellamy,0.560,-1.110
2,0:44,4,1,CHI 34,21,7,"Pat O'Donnell punts 45 yards, fair catch by Marc Mariani",-1.110,-0.340
2,0:37,1,10,TEN 21,21,7,"Marcus Mariota left end for 7 yards (tackle by Nick Kwiatkoski). Penalty on Taylor Lewan: Face Mask (15 Yards), 10 yards (no play)",0.340,-0.720
2,0:29,1,20,TEN 11,21,7,DeMarco Murray left tackle for 6 yards (tackle by Eddie Goldman),-0.720,-0.860
Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,21,7,"Connor Barth kicks onside 8 yards, recovered by Adrian Amos (onside kick successful)",0.000,1.800
3,14:58,1,10,CHI 43,21,7,Jordan Howard right guard for 5 yards (tackle by Wesley Woodyard),1.800,1.930
3,14:28,2,5,CHI 48,21,7,Jordan Howard left tackle for 2 yards (tackle by Avery Williamson),1.930,1.490
3,13:44,3,3,,21,7,Matt Barkley pass complete short right to Ka'Deem Carey for 12 yards (tackle by Avery Williamson),1.490,3.050
3,13:17,1,10,TEN 38,21,7,Matt Barkley pass complete short right to Ben Braunecker for 14 yards (tackle by Kevin Byard),3.050,3.970
3,12:45,1,10,TEN 24,21,7,Jordan Howard left guard for 1 yard (tackle by Jurrell Casey),3.970,3.570
3,12:08,2,9,TEN 23,21,7,Matt Barkley pass complete short right to Marquess Wilson for 17 yards (tackle by Brice McCain),3.570,5.830
3,11:29,1,6,TEN 6,21,7,Jordan Howard left guard for 1 yard (tackle by Brian Orakpo),5.830,5.150
3,10:48,2,5,TEN 5,21,7,Matt Barkley pass incomplete short middle intended for Cameron Meredith,5.150,4.260
3,10:44,3,5,TEN 5,21,7,Matt Barkley pass incomplete short right intended for Cameron Meredith is intercepted by Da'Norris Searcy at TEN--4,4.260,-0.280
3,10:36,1,10,TEN 20,21,7,Marcus Mariota pass complete short right to Rishard Matthews for 24 yards (tackle by Bryce Callahan),0.280,1.860
3,10:03,1,10,TEN 44,21,7,DeMarco Murray right guard for 1 yard (tackle by Cornelius Washington),1.860,1.450
3,9:19,2,9,TEN 45,21,7,Marcus Mariota pass incomplete deep right intended for Kendall Wright,1.450,0.760
3,9:11,3,9,TEN 45,21,7,Marcus Mariota pass complete short left to Rishard Matthews for 11 yards (tackle by Nick Kwiatkoski),0.760,2.650
3,8:31,1,10,CHI 44,21,7,DeMarco Murray right tackle for 3 yards (tackle by Pernell McPhee),2.650,2.520
3,7:51,2,7,CHI 41,21,7,Derrick Henry right tackle for 6 yards (tackle by Danny Trevathan),2.520,2.610
3,7:09,3,1,CHI 35,21,7,Marcus Mariota right tackle for 29 yards (tackle by Deon Bush),2.610,5.830
3,6:20,1,6,CHI 6,21,7,"DeMarco Murray right end for 3 yards (tackle by Tracy Porter). DeMarco Murray fumbles (forced by Tracy Porter), recovered by Anthony Fasano at CHI-3",5.830,5.530
3,5:38,2,3,CHI 3,21,7,DeMarco Murray right tackle for 2 yards (tackle by Cornelius Washington),5.530,5.170
3,4:59,3,1,CHI 1,21,7,DeMarco Murray right guard for no gain (tackle by C.J. Wilson and Sam Acho),5.170,3.550
3,4:12,4,1,CHI 1,24,7,Ryan Succop 19 yard field goal good,3.550,3.000
3,4:07,,,TEN 35,24,7,"Ryan Succop kicks off 66 yards, returned by Deonte Thompson for 19 yards (tackle by Kevin Byard). Penalty on Ben Braunecker: Offensive Holding, 8 yards",0.000,0.380
3,4:00,1,10,CHI 8,24,7,Jordan Howard left end for 2 yards (tackle by Austin Johnson),-0.380,-0.630
3,3:26,2,8,CHI 10,24,7,Jordan Howard left guard for 7 yards (tackle by Wesley Woodyard),-0.630,-0.370
3,2:45,3,1,CHI 17,24,7,"Matt Barkley for no gain. Cody Whitehair fumbles, recovered by Jordan Howard at CHI-5",-0.370,-2.490
3,2:06,4,13,CHI 5,24,7,"Pat O'Donnell punts 43 yards, fair catch by Marc Mariani",-2.490,-2.390
3,1:58,1,10,CHI 48,24,7,DeMarco Murray right tackle for 10 yards (tackle by Nick Kwiatkoski),2.390,3.050
3,1:18,1,10,CHI 38,24,7,"Derrick Henry left guard for 4 yards (tackle by Jonathan Bullard). Penalty on Anthony Fasano: Offensive Holding, 10 yards (no play)",3.050,2.390
3,0:49,1,20,CHI 48,24,7,DeMarco Murray left tackle for -1 yards (tackle by Danny Trevathan and Jonathan Bullard),2.390,1.020
3,0:05,2,21,CHI 49,24,7,Marcus Mariota pass complete deep left to Harry Douglas for 35 yards (tackle by Bryce Callahan),1.020,4.650
Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 14,24,7,Marcus Mariota pass incomplete short right intended for Rishard Matthews,4.650,4.000
4,14:53,2,10,CHI 14,24,7,"Marcus Mariota pass incomplete short right intended for Rishard Matthews. Penalty on Taylor Lewan: Face Mask (15 Yards), 15 yards (no play)",4.000,2.070
4,14:46,2,25,CHI 29,24,7,Marcus Mariota pass incomplete deep right intended for Delanie Walker,2.070,1.420
4,14:37,3,25,CHI 29,24,7,Marcus Mariota pass complete short left to DeMarco Murray for 16 yards (tackle by Adrian Amos),1.420,2.570
4,13:50,4,9,CHI 13,27,7,Ryan Succop 31 yard field goal good,2.570,3.000
4,13:45,,,TEN 35,27,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
4,13:45,1,10,CHI 25,27,7,Matt Barkley pass complete short middle to Deonte Thompson for 14 yards (tackle by Jason McCourty),0.610,1.530
4,13:14,1,10,CHI 39,27,7,Jordan Howard left guard for 5 yards (tackle by Al Woods),1.530,1.660
4,12:37,2,5,CHI 44,27,7,Matt Barkley pass incomplete deep left intended for Marquess Wilson,1.660,0.960
4,12:29,3,5,CHI 44,27,7,Matt Barkley pass complete short right to Daniel Brown for 8 yards (tackle by Kevin Byard),0.960,2.390
4,12:02,1,10,TEN 48,27,7,Matt Barkley pass incomplete short left intended for Josh Bellamy,2.390,1.850
4,11:58,2,10,TEN 48,27,7,Matt Barkley pass complete short right to Jordan Howard for 5 yards (tackle by Jurrell Casey),1.850,1.820
4,11:20,3,5,TEN 43,27,7,Matt Barkley pass complete short middle to Cameron Meredith for 8 yards (tackle by Avery Williamson),1.820,3.250
4,10:45,1,10,TEN 35,27,7,Matt Barkley pass complete short middle to Daniel Brown for 9 yards (tackle by Kevin Byard),3.250,3.920
4,10:06,2,1,TEN 26,27,7,Jordan Howard right guard for 2 yards (tackle by Rashad Johnson and Karl Klug),3.920,3.970
4,9:34,1,10,TEN 24,27,7,Matt Barkley pass incomplete deep left intended for Jeremy Langford (defended by Wesley Woodyard),3.970,3.430
4,9:28,2,10,TEN 24,27,7,Matt Barkley pass incomplete deep middle intended for Marquess Wilson,3.430,2.740
4,9:24,3,10,TEN 24,27,7,Matt Barkley pass complete short right to Cameron Meredith for 11 yards (tackle by Perrish Cox),2.740,4.710
4,8:55,1,10,TEN 13,27,7,Matt Barkley pass complete short middle to Josh Bellamy for 5 yards (tackle by Avery Williamson),4.710,4.960
4,8:28,2,5,TEN 8,27,13,"Matt Barkley pass complete short middle to Marquess Wilson for 8 yards, touchdown",4.960,7.000
4,8:23,,,TEN 15,27,14,Connor Barth kicks extra point good,0.000,0.000
4,8:23,,,CHI 35,27,14,"Connor Barth kicks off 61 yards, returned by Kendall Wright for 15 yards (tackle by Christian Jones)",0.000,-0.150
4,8:16,1,10,TEN 19,27,14,DeMarco Murray right guard for -2 yards (tackle by Adrian Amos),0.150,-0.720
4,7:41,2,12,TEN 17,27,14,DeMarco Murray left tackle for 5 yards (tackle by Willie Young),-0.720,-0.680
4,6:53,3,7,TEN 22,27,14,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe,-0.680,-1.900
4,6:42,4,7,TEN 22,27,14,"Brett Kern punts 47 yards, fair catch by Eddie Royal",-1.900,-1.000
4,6:35,1,10,CHI 31,27,14,Matt Barkley pass incomplete deep left intended for Deonte Thompson,1.000,0.460
4,6:29,2,10,CHI 31,27,14,Matt Barkley pass complete short left to Jordan Howard for 15 yards (tackle by Derrick Morgan),0.460,1.990
4,5:59,1,10,CHI 46,27,14,Matt Barkley pass incomplete deep right intended for Cameron Meredith (defended by Kevin Byard),1.990,1.450
4,5:52,2,10,CHI 46,27,14,Matt Barkley pass incomplete short right intended for Cameron Meredith,1.450,0.760
4,5:49,3,10,CHI 46,27,14,Matt Barkley pass complete short middle to Marquess Wilson for 19 yards (tackle by Kevin Byard),0.760,3.250
4,5:20,1,10,TEN 35,27,14,Matt Barkley pass complete short right to Deonte Thompson for 9 yards (tackle by Perrish Cox),3.250,3.920
4,4:47,2,1,TEN 26,27,14,"Jeremy Langford right tackle for 3 yards (tackle by Sean Spence). Penalty on Cody Whitehair: Offensive Holding, 10 yards (no play)",3.920,2.570
4,4:42,2,11,TEN 36,27,14,Matt Barkley pass incomplete deep left intended for Josh Bellamy,2.570,1.880
4,4:36,3,11,TEN 36,27,14,Matt Barkley pass complete short middle to Josh Bellamy for 12 yards (tackle by LeShaun Sims),1.880,3.970
4,4:08,1,10,TEN 24,27,14,"Penalty on Cameron Meredith: False Start, 5 yards (no play)",3.970,3.640
4,4:08,1,15,TEN 29,27,14,Matt Barkley pass complete short right to Josh Bellamy for 15 yards (tackle by Perrish Cox),3.640,4.650
4,3:37,1,10,TEN 14,27,14,Matt Barkley pass incomplete short left intended for Marquess Wilson,4.650,4.000
4,3:32,2,10,TEN 14,27,14,Matt Barkley pass incomplete short middle intended for Cameron Meredith,4.000,3.110
4,3:28,3,10,TEN 14,27,14,Matt Barkley pass complete short right to Deonte Thompson for 8 yards (tackle by LeShaun Sims),3.110,0.000
4,3:11,,,,27,14,Timeout #1 by Chicago Bears,0.000,-3.010
4,3:11,4,2,TEN 6,27,20,"Matt Barkley pass complete short right to Deonte Thompson for 6 yards, touchdown",3.010,7.000
4,3:06,,,TEN 15,27,21,Connor Barth kicks extra point good,0.000,0.000
4,3:06,,,CHI 35,27,21,"Connor Barth kicks off 61 yards, returned by Kendall Wright for 13 yards (tackle by Chris Prosinski)",0.000,0.060
4,3:00,1,10,TEN 17,27,21,Derrick Henry left end for 5 yards (tackle by Cre'von LeBlanc),-0.060,0.000
4,2:52,,,,27,21,Timeout #2 by Chicago Bears,0.000,-0.210
4,2:52,2,5,TEN 22,27,21,Derrick Henry right guard for 3 yards (tackle by C.J. Wilson),0.210,-0.240
4,2:10,3,2,TEN 25,27,21,Marcus Mariota pass complete short middle to DeMarco Murray for 1 yard (tackle by Eddie Goldman),-0.240,0.000
4,2:06,,,,27,21,Timeout #3 by Chicago Bears,0.000,1.630
4,2:06,4,1,TEN 26,27,21,"Brett Kern punts 43 yards, returned by Eddie Royal for 4 yards (tackle by Kevin Byard)",-1.630,-1.270
4,1:56,1,10,CHI 35,27,21,Matt Barkley pass complete short middle to Marquess Wilson for 14 yards (tackle by LeShaun Sims),1.270,2.190
4,1:34,1,10,CHI 49,27,21,Matt Barkley pass incomplete deep right intended for Deonte Thompson,2.190,1.650
4,1:29,2,10,CHI 49,27,21,Matt Barkley pass complete deep middle to Marquess Wilson for 21 yards (tackle by Da'Norris Searcy),1.650,3.580
4,1:04,1,10,TEN 30,27,21,Matt Barkley pass complete deep left to Marquess Wilson for 23 yards (tackle by LeShaun Sims),3.580,0.000
4,0:47,,,,27,21,Timeout #1 by Tennessee Titans,0.000,-5.600
4,0:47,1,7,TEN 7,27,21,Matt Barkley pass incomplete short right intended for Josh Bellamy,5.600,4.760
4,0:42,2,7,TEN 7,27,21,Matt Barkley pass incomplete short middle intended for Daniel Brown (defended by Wesley Woodyard),4.760,3.810
4,0:38,3,7,TEN 7,27,21,Matt Barkley pass incomplete short left intended for Deonte Thompson (defended by Brice McCain),3.810,2.970
4,0:34,4,7,TEN 7,27,21,Matt Barkley pass incomplete short middle intended for Deonte Thompson,2.970,0.380
4,0:29,1,10,TEN 7,27,21,Marcus Mariota kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
