Unnamed: 0,TEN,CHI
First Downs,18,25
Rush-Yds-TDs,29-149-1,22-95-0
Cmp-Att-Yd-TD-INT,15-23-226-2-0,28-54-316-3-2
Sacked-Yards,0-0,0-0
Net Pass Yards,226,316
Total Yards,375,411
Fumbles-Lost,1-0,2-0
Turnovers,0,2
Penalties-Yards,6-118,7-48
Third Down Conv.,5-11,9-17
Fourth Down Conv.,0-0,1-3
Time of Possession,29:25,30:35
