Unnamed: 0,NYG,SFO
First Downs,19,9
Rush-Yds-TDs,32-93-2,22-52-0
Cmp-Att-Yd-TD-INT,18-33-251-1-0,12-21-102-0-1
Sacked-Yards,0-0,3-16
Net Pass Yards,251,86
Total Yards,344,138
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,10-81,12-80
Third Down Conv.,6-16,3-14
Fourth Down Conv.,2-3,1-1
Time of Possession,33:05,26:55
