Unnamed: 0,DET,MIN
First Downs,13,18
Rush-Yds-TDs,11-16-1,30-135-0
Cmp-Att-Yd-TD-INT,23-42-225-1-3,26-34-201-1-1
Sacked-Yards,5-24,0-0
Net Pass Yards,201,201
Total Yards,217,336
Fumbles-Lost,1-1,3-2
Turnovers,4,3
Penalties-Yards,7-50,5-40
Third Down Conv.,3-12,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,23:21,36:39
