Quarter,Time,Tm,Detail,DET,MIN
1.0,4:23,Vikings,Ryan Longwell 26 yard field goal,0,3
2.0,2:17,Lions,Jon Kitna 8 yard rush (Jason Hanson kick),7,3
,0:33,Lions,Jason Hanson 53 yard field goal,10,3
3.0,5:11,Lions,Dan Campbell 12 yard pass from Jon Kitna (Jason Hanson kick),17,3
4.0,14:14,Vikings,Travis Taylor 3 yard pass from Brad Johnson (Ryan Longwell kick),17,10
,13:12,Vikings,Ben Leber defensive fumble recovery in end zone (Ryan Longwell kick failed),17,16
,3:00,Vikings,Ryan Longwell 20 yard field goal,17,19
,1:31,Vikings,E.J. Henderson 45 yard interception return (Ryan Longwell kick),17,26
