Quarter,Time,Tm,Detail,KAN,LVR
1.0,11:25,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),0,7
,4:01,Chiefs,Tyreek Hill 3 yard pass from Patrick Mahomes (Harrison Butker kick),7,7
,0:00,Raiders,Nelson Agholor 17 yard pass from Derek Carr (Daniel Carlson kick),7,14
2.0,11:16,Chiefs,Clyde Edwards-Helaire 3 yard rush (Harrison Butker kick),14,14
,4:36,Raiders,Daniel Carlson 35 yard field goal,14,17
3.0,6:23,Chiefs,Clyde Edwards-Helaire 14 yard rush (Harrison Butker kick),21,17
4.0,14:54,Raiders,Darren Waller 3 yard pass from Derek Carr (Daniel Carlson kick),21,24
,5:54,Chiefs,Le'Veon Bell 6 yard rush (Harrison Butker kick),28,24
,1:43,Raiders,Jason Witten 1 yard pass from Derek Carr (Daniel Carlson kick),28,31
,0:28,Chiefs,Travis Kelce 22 yard pass from Patrick Mahomes (Harrison Butker kick),35,31
