Unnamed: 0,KAN,LVR
First Downs,36,25
Rush-Yds-TDs,27-108-3,26-89-1
Cmp-Att-Yd-TD-INT,35-46-352-2-1,23-31-275-3-1
Sacked-Yards,0-0,0-0
Net Pass Yards,352,275
Total Yards,460,364
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,10-89,8-72
Third Down Conv.,5-9,6-9
Fourth Down Conv.,2-2,0-0
Time of Possession,32:05,27:55
