Quarter,Time,Tm,Detail,JAX,BAL
1.0,10:57,Ravens,"Safety, Gardner Minshew II sacked in end zone by Matthew Judon",0,2
,6:35,Ravens,Miles Boykin 4 yard pass from Lamar Jackson (Justin Tucker kick),0,9
2.0,14:14,Ravens,J.K. Dobbins 2 yard rush (Justin Tucker kick),0,16
,7:44,Ravens,Justin Tucker 46 yard field goal,0,19
,1:20,Ravens,Dez Bryant 11 yard pass from Lamar Jackson (Justin Tucker kick),0,26
3.0,9:09,Jaguars,James Robinson 17 yard pass from Gardner Minshew II (Aldrick Rosas kick),7,26
,4:35,Ravens,Lamar Jackson 5 yard rush (Justin Tucker kick),7,33
4.0,9:46,Ravens,Mark Andrews 3 yard pass from Lamar Jackson (Justin Tucker kick),7,40
,1:44,Jaguars,Chris Conley 13 yard pass from Gardner Minshew II (Aldrick Rosas kick),14,40
