#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:42,JAX 1,2,0:45,-1,Safety
2,1,6:35,JAX 25,9,4:45,24,Downs
3,2,14:14,JAX 25,6,3:31,9,Punt
4,2,7:44,JAX 29,8,4:28,28,Downs
5,2,1:20,JAX 25,4,0:54,1,Punt
6,3,15:00,JAX 25,10,5:51,75,Touchdown
7,3,4:35,JAX 25,8,3:59,61,Fumble
8,4,9:46,JAX 25,3,1:47,-1,Punt
9,4,3:56,JAX 34,6,2:12,66,Touchdown
