Unnamed: 0,JAX,BAL
First Downs,17,26
Rush-Yds-TDs,22-62-0,37-159-2
Cmp-Att-Yd-TD-INT,22-29-226-2-0,19-26-250-3-1
Sacked-Yards,5-21,1-0
Net Pass Yards,205,250
Total Yards,267,409
Fumbles-Lost,2-1,4-0
Turnovers,1,1
Penalties-Yards,7-67,4-40
Third Down Conv.,5-12,8-12
Fourth Down Conv.,1-3,1-2
Time of Possession,28:12,31:48
