Unnamed: 0,TAM,CAR
First Downs,20,20
Rush-Yds-TDs,24-66-0,31-115-1
Cmp-Att-Yd-TD-INT,21-27-367-1-0,16-26-160-0-1
Sacked-Yards,6-41,2-20
Net Pass Yards,326,140
Total Yards,392,255
Fumbles-Lost,3-3,1-0
Turnovers,3,1
Penalties-Yards,12-72,6-50
Third Down Conv.,6-11,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,29:30,30:30
