Unnamed: 0,CHI,MIN
First Downs,19,21
Rush-Yds-TDs,37-183-0,28-124-1
Cmp-Att-Yd-TD-INT,13-20-149-1-2,25-34-250-3-1
Sacked-Yards,2-9,0-0
Net Pass Yards,140,250
Total Yards,323,374
Fumbles-Lost,4-3,0-0
Turnovers,5,1
Penalties-Yards,6-49,2-15
Third Down Conv.,2-9,6-12
Fourth Down Conv.,1-2,0-1
Time of Possession,29:48,30:12
