Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Connor Barth kicks off 70 yards, returned by Cordarrelle Patterson for 35 yards (tackle by Deiondre' Hall)",0.000,-0.940
1,14:55,1,10,MIN 30,0,0,Matt Asiata middle for 2 yards (tackle by Willie Young),0.940,0.660
1,14:21,2,8,MIN 32,0,0,Sam Bradford pass complete short left to Matt Asiata for 5 yards (tackle by Johnthan Banks),0.660,0.630
1,13:38,3,3,MIN 37,0,0,Sam Bradford pass complete short left to Kyle Rudolph for 4 yards (tackle by Willie Young and Johnthan Banks),0.630,1.660
1,12:54,1,10,MIN 41,0,0,Sam Bradford pass complete deep right to Cordarrelle Patterson for 39 yards (tackle by Cre'von LeBlanc),1.660,4.240
1,12:20,1,10,CHI 20,0,0,Jerick McKinnon left guard for 4 yards (tackle by Mitch Unrein),4.240,4.280
1,11:45,2,6,CHI 16,0,6,"Sam Bradford pass complete short left to Jerick McKinnon for 16 yards, touchdown",4.280,7.000
1,11:36,,,CHI 15,0,7,Kai Forbath kicks extra point good,0.000,0.000
1,11:36,,,MIN 35,0,7,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,11:36,1,10,CHI 25,0,7,Jordan Howard left tackle for 3 yards (tackle by Shamar Stephen and Linval Joseph),0.610,0.470
1,11:03,2,7,CHI 28,0,7,Jordan Howard left guard for 2 yards (tackle by Chad Greenway and Shamar Stephen),0.470,0.040
1,10:27,3,5,CHI 30,0,7,Jordan Howard left end for 12 yards (tackle by Eric Kendricks),0.040,1.730
1,9:48,1,10,CHI 42,0,7,Matt Barkley pass complete short left to Bralon Addison for 11 yards (tackle by Xavier Rhodes),1.730,2.460
1,9:21,1,10,MIN 47,0,7,Jordan Howard middle for 5 yards (tackle by Xavier Rhodes),2.460,2.590
1,8:43,2,5,MIN 42,0,7,Josh Bellamy left end for 22 yards (tackle by Trae Waynes),2.590,4.240
1,8:06,1,10,MIN 20,0,7,Jordan Howard left end for 4 yards (tackle by Anthony Barr and Shamar Stephen),4.240,4.280
1,7:33,2,6,MIN 16,0,7,Matt Barkley pass incomplete deep right intended for Alshon Jeffery is intercepted by Xavier Rhodes at MIN-0 and returned for 4 yards,4.280,0.380
1,7:26,1,10,MIN 4,0,7,Sam Bradford pass complete short right to Jarius Wright for 4 yards (tackle by Sam Acho),-0.380,-0.490
1,7:01,2,6,MIN 8,0,7,Sam Bradford pass complete short right to Kyle Rudolph for 15 yards (tackle by Harold Jones-Quartey),-0.490,0.480
1,6:21,1,10,MIN 23,0,7,Matt Asiata right guard for 4 yards (tackle by Cornelius Washington),0.480,0.470
1,5:44,2,6,MIN 27,0,7,Sam Bradford pass complete short middle to Matt Asiata for 17 yards (tackle by Harold Jones-Quartey),0.470,1.860
1,4:59,1,10,MIN 44,0,7,Sam Bradford for 24 yards,1.860,3.450
1,4:24,1,10,CHI 32,0,7,Jerick McKinnon left end for 3 yards (tackle by Jerrell Freeman),3.450,3.310
1,3:39,2,7,CHI 29,0,7,Matt Asiata left guard for 4 yards (tackle by C.J. Wilson),3.310,3.140
1,2:50,3,3,CHI 25,0,7,"Penalty on Sam Bradford: False Start, 5 yards (no play)",3.140,2.480
1,2:42,3,8,CHI 30,0,7,Sam Bradford pass complete short left to Jarius Wright for 9 yards (tackle by Demontre Hurst),2.480,4.170
1,2:19,1,10,CHI 21,0,7,Jerick McKinnon middle for 6 yards (tackle by Jerrell Freeman),4.170,4.550
1,1:48,2,4,CHI 15,0,7,Jerick McKinnon left guard for 8 yards (tackle by Demontre Hurst),4.550,5.600
1,1:14,1,7,CHI 7,0,7,Jerick McKinnon middle for 1 yard (tackle by Nick Kwiatkoski),5.600,4.950
1,0:37,2,6,CHI 6,0,7,Matt Asiata left guard for -1 yards (tackle by Akiem Hicks),4.950,3.810
Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,CHI 7,0,7,"Penalty on Willie Young: Neutral Zone Infraction, 4 yards (no play)",3.810,4.720
2,15:00,3,3,CHI 3,0,7,Sam Bradford pass incomplete short right intended for Kyle Rudolph,4.720,3.040
2,14:57,4,3,CHI 3,0,10,Kai Forbath 21 yard field goal good,3.040,3.000
2,14:53,,,MIN 35,0,10,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
2,14:53,1,10,CHI 25,0,10,Jeremy Langford middle for 4 yards (tackle by Eric Kendricks and Danielle Hunter),0.610,0.600
2,14:20,2,6,CHI 29,0,10,"Jeremy Langford right end for 2 yards. Jeremy Langford fumbles, recovered by Anthony Harris at CHI-35 (tackle by Cameron Meredith)",0.600,-3.250
2,14:13,1,10,CHI 35,0,10,Sam Bradford pass complete short right to Kyle Rudolph for 13 yards (tackle by Tracy Porter),3.250,4.110
2,13:37,1,10,CHI 22,0,10,Matt Asiata middle for no gain (tackle by Nick Kwiatkoski),4.110,3.560
2,12:58,2,10,CHI 22,0,16,"Sam Bradford pass complete short middle to Kyle Rudolph for 22 yards, touchdown",3.560,7.000
2,12:51,,,CHI 15,0,17,Kai Forbath kicks extra point good,0.000,0.000
2,12:51,,,MIN 35,0,17,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
2,12:51,1,10,CHI 25,0,17,"Penalty on Bobby Massie: False Start, 5 yards (no play)",0.610,0.280
2,12:51,1,15,CHI 20,0,17,Jordan Howard left guard for 4 yards (tackle by Everson Griffen),0.280,-0.070
2,12:10,2,11,CHI 24,0,17,Jordan Howard right guard for 6 yards (tackle by Anthony Barr and Linval Joseph),-0.070,0.040
2,11:33,3,5,CHI 30,0,17,Matt Barkley pass incomplete deep left intended for Alshon Jeffery,0.040,-1.370
2,11:28,4,5,CHI 30,0,17,"Pat O'Donnell punts 48 yards, returned by Marcus Sherels for 36 yards (tackle by John Timu)",-1.370,-2.790
2,11:14,1,10,CHI 42,0,17,Sam Bradford pass complete short right to Kyle Rudolph for 5 yards (tackle by Adrian Amos and Sam Acho),2.790,2.920
2,10:37,2,5,CHI 37,0,17,Jerick McKinnon middle for -1 yards (tackle by C.J. Wilson),2.920,2.080
2,9:59,3,6,CHI 38,0,17,Sam Bradford pass incomplete short right intended for Kyle Rudolph,2.080,0.720
2,9:52,4,6,CHI 38,0,17,"Jeff Locke punts 23 yards, fair catch by Bralon Addison",0.720,0.220
2,9:44,1,10,CHI 15,0,17,Jordan Howard right end for 11 yards (tackle by Anthony Harris),-0.220,0.670
2,9:11,1,10,CHI 26,0,17,Jordan Howard middle for 9 yards (tackle by Anthony Harris and Danielle Hunter),0.670,1.350
2,8:37,2,1,CHI 35,0,17,Jordan Howard left guard for 3 yards (tackle by Brian Robison and Linval Joseph),1.350,1.470
2,8:00,1,10,CHI 38,0,17,"Bralon Addison right end for 4 yards (tackle by Chad Greenway). Penalty on Logan Paulsen: Offensive Holding, 10 yards",1.470,1.070
2,7:38,1,16,CHI 32,0,17,Matt Barkley pass complete short right to Cameron Meredith for 10 yards (tackle by Trae Waynes),1.070,1.460
2,7:02,2,6,CHI 42,0,17,Jordan Howard middle for 17 yards (tackle by Anthony Harris),1.460,2.850
2,6:29,1,10,MIN 41,0,17,Jeremy Langford right end for 4 yards (tackle by Shamar Stephen),2.850,2.850
2,5:49,2,6,MIN 37,0,17,Jeremy Langford right end for no gain (tackle by Linval Joseph and Anthony Barr),2.850,2.150
2,5:07,3,6,MIN 37,0,17,Matt Barkley pass incomplete short left intended for Deonte Thompson (defended by Trae Waynes),2.150,0.790
2,5:03,4,6,MIN 37,0,17,Matt Barkley pass complete short left to Cameron Meredith for 8 yards (tackle by Captain Munnerlyn),0.790,3.640
2,4:32,1,10,MIN 29,0,17,Jordan Howard left guard for 5 yards (tackle by Toby Johnson),3.640,3.780
2,3:57,2,5,MIN 24,0,17,Jordan Howard middle for 6 yards (tackle by Shamar Stephen),3.780,4.370
2,3:21,1,10,MIN 18,0,17,"Jordan Howard middle for 5 yards (tackle by Harrison Smith and Anthony Harris). Penalty on Josh Sitton: Offensive Holding, 10 yards",4.370,4.040
2,2:58,1,15,MIN 23,0,17,Matt Barkley pass complete short left to Jeremy Langford for 19 yards (tackle by Anthony Barr),4.040,6.280
2,2:24,1,4,MIN 4,0,17,Jeremy Langford middle for 1 yard (tackle by Brian Robison),6.280,5.530
2,2:00,2,3,MIN 3,0,17,Jordan Howard middle for 1 yard (tackle by Anthony Barr and Emmanuel Lamur),5.530,0.000
2,1:52,,,,0,17,Timeout #1 by Minnesota Vikings,0.000,-4.950
2,1:52,3,2,MIN 2,6,17,"Cameron Meredith pass complete short right to Matt Barkley for 2 yards, touchdown",4.950,7.000
2,1:48,,,MIN 15,7,17,Connor Barth kicks extra point good,0.000,0.000
2,1:48,,,CHI 35,7,17,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,1:48,1,10,MIN 25,7,17,Sam Bradford pass complete short right to Jerick McKinnon for 7 yards (tackle by Harold Jones-Quartey),0.610,1.010
2,1:42,2,3,MIN 32,7,17,Sam Bradford pass complete short left to Jarius Wright for 8 yards,1.010,1.600
2,1:37,1,10,MIN 40,7,17,Sam Bradford pass incomplete short middle intended for Kyle Rudolph (defended by Jerrell Freeman),1.600,1.050
2,1:33,2,10,MIN 40,7,17,"Sam Bradford right end for 10 yards (tackle by Demontre Hurst). Penalty on Jeremiah Sirles: Offensive Holding, 10 yards (no play)",1.050,-0.300
2,1:23,2,20,MIN 30,7,17,Sam Bradford pass incomplete deep middle intended for Isaac Fruechte,-0.300,0.000
2,1:16,,,,7,17,Timeout #1 by Chicago Bears,0.000,0.960
2,1:16,3,20,MIN 30,7,17,Sam Bradford pass complete short right to Kyle Rudolph for 5 yards (tackle by Jerrell Freeman),-0.960,-1.040
2,1:11,4,15,MIN 35,7,17,"Jeff Locke punts 40 yards, muffed catch by Bralon Addison, recovered by Jayron Kearse and returned for no gain",-1.040,4.170
2,1:00,1,10,CHI 21,7,17,Jerick McKinnon left guard for 2 yards (tackle by Nick Kwiatkoski),4.170,3.900
