Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Pat O'Donnell kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SFO 25,0,0,Jimmy Garoppolo pass incomplete short right intended for Louis Murphy,0.610,0.060
1,14:55,2,10,SFO 25,0,0,Carlos Hyde right end for no gain (tackle by Danny Trevathan),0.060,-0.620
1,14:12,3,10,SFO 25,0,0,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 15 yards (tackle by Chris Prosinski),-0.620,1.600
1,13:39,1,10,SFO 40,0,0,Matt Breida left end for 8 yards (tackle by Danny Trevathan),1.600,2.130
1,13:12,2,2,SFO 48,0,0,Matt Breida left guard for 2 yards (tackle by Eddie Goldman and Pernell McPhee),2.130,2.260
1,12:38,1,10,,0,0,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 16 yards (tackle by Eddie Jackson),2.260,3.310
1,12:01,1,10,CHI 34,0,0,Carlos Hyde right tackle for 7 yards (tackle by Christian Jones),3.310,3.720
1,11:19,2,3,CHI 27,0,0,Jimmy Garoppolo pass complete short middle to Garrett Celek for 8 yards (tackle by Christian Jones),3.720,4.310
1,10:40,1,10,CHI 19,0,0,Carlos Hyde right end for -7 yards (tackle by Nick Kwiatkoski),4.310,2.820
1,9:52,2,17,CHI 26,0,0,"Jimmy Garoppolo right end for 8 yards (tackle by Roy Robertson-Harris). Penalty on Roy Robertson-Harris: Unnecessary Roughness, 9 yards",2.820,5.140
1,9:23,1,9,CHI 9,0,0,Jimmy Garoppolo pass incomplete short right intended for Garrett Celek (defended by Kyle Fuller),5.140,4.380
1,9:22,2,9,CHI 9,0,0,"Carlos Hyde right tackle for 6 yards (tackle by Chris Prosinski). Penalty on Trenton Brown: Offensive Holding, 10 yards (no play)",4.380,3.070
1,9:00,2,19,CHI 19,0,0,Jimmy Garoppolo pass complete short middle to Carlos Hyde for 4 yards (tackle by Danny Trevathan),3.070,2.930
