Quarter,Time,Tm,Detail,SFO,CHI
1.0,8:12,49ers,Robbie Gould 33 yard field goal,3,0
,0:10,Bears,Dontrelle Inman 8 yard pass from Mitchell Trubisky (Cairo Santos kick),3,7
2.0,11:57,49ers,Robbie Gould 28 yard field goal,6,7
,5:49,Bears,Tarik Cohen 61 yard punt return (Cairo Santos kick),6,14
,0:24,49ers,Robbie Gould 35 yard field goal,9,14
3.0,1:57,49ers,Robbie Gould 34 yard field goal,12,14
4.0,0:04,49ers,Robbie Gould 24 yard field goal,15,14
