Unnamed: 0,SFO,CHI
First Downs,23,8
Rush-Yds-TDs,34-110-0,19-62-0
Cmp-Att-Yd-TD-INT,26-37-293-0-1,12-15-102-1-0
Sacked-Yards,2-15,2-17
Net Pass Yards,278,85
Total Yards,388,147
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,8-53,4-29
Third Down Conv.,10-18,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,38:47,21:13
