Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Micah Knorr kicks off 62 yards, returned by Brandon Bennett for 16 yards (tackle by Kelly Herndon)",0.000,0.540
1,14:55,1,10,CIN 24,0,0,Corey Dillon right tackle for 4 yards (tackle by Al Wilson and Trevor Pryce),0.540,0.540
1,14:26,2,6,CIN 28,0,0,Corey Dillon left end for 5 yards (tackle by Ian Gold),0.540,0.500
1,13:47,3,1,CIN 33,0,0,Corey Dillon right tackle for no gain (tackle by Trevor Pryce),0.500,-1.180
1,13:09,4,1,CIN 33,0,0,"Nick Harris punts 35 yards, returned by Deltha O'Neal for 8 yards (tackle by Kevin Kaesviharn)",-1.180,-1.600
1,12:59,1,10,DEN 40,0,0,Ashley Lelie left end for 12 yards (tackle by Jeff Burris),1.600,2.390
1,12:19,1,10,CIN 48,0,0,Clinton Portis left guard for 1 yard (tackle by Carl Powell),2.390,1.980
1,11:39,2,9,CIN 47,0,0,Clinton Portis left end for 10 yards (tackle by Tory James),1.980,3.120
1,11:09,1,10,CIN 37,0,0,Jake Plummer pass complete to Clinton Portis for 6 yards (tackle by Brian Simmons),3.120,3.380
1,10:27,2,4,CIN 31,0,0,"Jake Plummer pass complete to Shannon Sharpe for 24 yards (tackle by Marquand Manuel). Penalty on Ephraim Salaam: Illegal Use of Hands, 10 yards (no play)",3.380,2.030
1,9:57,2,14,CIN 41,0,0,Jake Plummer pass complete to Rod Smith for 8 yards (tackle by Tory James),2.030,2.410
1,9:17,3,6,CIN 33,0,0,Jake Plummer pass incomplete intended for Shannon Sharpe (defended by Tory James),2.410,1.160
1,9:09,4,6,CIN 33,3,0,Jason Elam 51 yard field goal good,1.160,3.000
1,,,,DEN 30,3,0,"Micah Knorr kicks off 71 yards, returned by Brandon Bennett for 24 yards (tackle by Keith Burns)",0.000,0.480
1,8:59,1,10,CIN 23,3,0,Corey Dillon left tackle for 6 yards (tackle by John Mobley),0.480,0.740
1,8:26,2,4,CIN 29,3,0,Jon Kitna pass complete to Chad Ochocinco for 12 yards (tackle by Deltha O'Neal),0.740,1.660
1,7:53,1,10,CIN 41,3,0,Corey Dillon right tackle for 1 yard (tackle by Al Wilson and Sam Brandon),1.660,1.260
1,7:16,2,9,CIN 42,3,0,Jon Kitna pass incomplete intended for Chad Ochocinco (defended by Darius Holland),1.260,0.560
1,7:11,3,9,CIN 42,3,0,"Jon Kitna pass incomplete intended for Peter Warrick. Penalty on Kelly Herndon: Defensive Pass Interference, 13 yards (no play)",0.560,2.590
1,7:06,1,10,DEN 45,3,0,Brandon Bennett left tackle for 1 yard (tackle by John Mobley),2.590,2.180
1,6:29,2,9,DEN 44,3,0,Jon Kitna for 6 yards (tackle by Sam Brandon),2.180,2.280
1,5:44,3,3,DEN 38,3,0,Jon Kitna pass complete to Chad Ochocinco for 5 yards (tackle by Deltha O'Neal),2.280,3.380
1,5:21,1,10,DEN 33,3,0,Jon Kitna pass incomplete intended for Peter Warrick,3.380,2.840
1,5:14,2,10,DEN 33,3,0,Corey Dillon right end for no gain (tackle by John Mobley),2.840,2.150
1,4:31,3,10,DEN 33,3,0,Jon Kitna pass incomplete intended for Kelley Washington (defended by Lenny Walls),2.150,1.150
1,4:23,4,10,DEN 33,3,0,Jon Kitna pass complete to Matt Schobel for 6 yards (tackle by Al Wilson),1.150,-0.740
1,4:17,1,10,DEN 27,3,0,Clinton Portis left end for 6 yards (tackle by Brian Simmons and Mark Roman),0.740,1.010
1,3:35,2,4,DEN 33,3,0,Jake Plummer pass complete to Clinton Portis for 13 yards (tackle by Brian Simmons),1.010,1.990
1,3:03,1,10,DEN 46,3,0,Jake Plummer pass complete to Clinton Portis for 5 yards (tackle by Brian Simmons),1.990,2.130
1,2:32,2,5,CIN 49,3,0,Clinton Portis left guard for 3 yards (tackle by Oliver Gibson),2.130,1.820
1,1:49,3,2,CIN 46,3,0,Jake Plummer pass incomplete intended for Shannon Sharpe (defended by Mark Roman),1.820,0.200
1,1:41,4,2,CIN 46,3,0,"Micah Knorr punts 46 yards, touchback",0.200,-0.280
1,1:33,1,10,CIN 20,3,0,Jon Kitna pass complete to Corey Dillon for 2 yards (tackle by Al Wilson),0.280,0.000
1,1:02,2,8,CIN 22,3,0,"Penalty on Eric Steinbach: False Start, 5 yards (no play)",0.000,-0.790
1,0:43,2,13,CIN 17,3,0,Jon Kitna sacked by Bertrand Berry for -2 yards,-0.790,-1.860
1,0:03,3,15,CIN 15,3,0,Jon Kitna pass incomplete intended for Matt Schobel,-1.860,-2.440
Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,15,CIN 15,3,0,"Nick Harris punts 43 yards, returned by Deltha O'Neal for 12 yards (tackle by Marquand Manuel)",-2.440,-2.520
2,14:45,1,10,CIN 46,3,0,Clinton Portis left end for 10 yards (tackle by Tory James),2.520,3.180
2,14:06,1,10,CIN 36,3,0,Clinton Portis right end for 7 yards (tackle by Jeff Burris),3.180,3.580
2,13:33,,,,3,0,Timeout #1 by Denver Broncos,0.000,3.580
2,13:33,2,3,CIN 29,3,0,Clinton Portis left end for 3 yards (tackle by Justin Smith),3.580,3.840
2,12:50,1,10,CIN 26,3,0,Rod Smith right end for 12 yards (tackle by Rogers Beckett),3.840,4.650
2,12:19,1,10,CIN 14,3,0,Clinton Portis right guard for 3 yards (tackle by Tony Williams),4.650,4.520
2,11:41,2,7,CIN 11,3,0,Jake Plummer pass incomplete intended for Ashley Lelie,4.520,3.620
2,11:38,3,7,CIN 11,3,0,Clinton Portis right tackle for 9 yards (tackle by Jeff Burris and Artrell Hawkins),3.620,6.740
2,10:58,1,2,CIN 2,9,0,"Clinton Portis right guard for 2 yards, touchdown",6.740,7.000
2,,,,CIN 2,10,0,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,10,0,"Micah Knorr kicks off 55 yards, returned by Brandon Bennett for 14 yards (tackle by Keith Burns)",0.000,0.870
2,10:47,1,10,CIN 29,10,0,Peter Warrick for -3 yards (tackle by Lenny Walls),0.870,-0.080
2,10:02,2,13,CIN 26,10,0,"Corey Dillon left end for 7 yards (tackle by Kenoy Kennedy). Penalty on Mike Goff: Offensive Holding, 10 yards",-0.080,-0.480
2,9:32,2,16,CIN 23,10,0,Jon Kitna pass incomplete intended for Peter Warrick is intercepted by Kelly Herndon at CIN-42 and returned for 3 yards (tackle by Matt Schobel),-0.480,-2.980
