Unnamed: 0,DEN,CIN
First Downs,19,15
Rush-Yds-TDs,40-184-2,22-51-0
Cmp-Att-Yd-TD-INT,12-25-115-0-3,20-37-264-1-2
Sacked-Yards,1-6,4-21
Net Pass Yards,109,243
Total Yards,293,294
Fumbles-Lost,0-0,3-2
Turnovers,3,4
Penalties-Yards,5-58,4-25
Third Down Conv.,6-14,3-12
Fourth Down Conv.,0-0,0-3
Time of Possession,32:18,27:42
