Quarter,Time,Tm,Detail,DET,GNB
1.0,11:59,Packers,Anders Carlson 34 yard field goal,0,3
,8:16,Lions,Amon-Ra St. Brown 24 yard pass from Jared Goff (Riley Patterson kick),7,3
,2:54,Lions,David Montgomery 3 yard rush (Riley Patterson kick),14,3
2.0,14:07,Lions,Riley Patterson 33 yard field goal,17,3
,13:19,Lions,David Montgomery 2 yard rush (Riley Patterson kick),24,3
,0:34,Lions,Riley Patterson 37 yard field goal,27,3
3.0,8:17,Packers,Christian Watson 1 yard pass from Jordan Love (Jayden Reed pass from Jordan Love),27,11
4.0,14:52,Packers,Jordan Love 9 yard rush (run failed),27,17
,6:00,Lions,David Montgomery 1 yard rush (Riley Patterson kick),34,17
,2:52,Packers,Anders Carlson 50 yard field goal,34,20
